Formal Name,Course Name,Prerequisites,Corequisites
CE 1105,Introduction to Civil Engineering,[None],[None]
CHEM 1465,Chemistry for Engineers,[None],['MATH 1421']
ENGL 1301,Rhetoric and Composition I,[None],[None]
CE 1252,Computer Tools,[None],['MATH 1402']
UNIV 1131 or ENGR 1101,Entrance to Engineering for Transfer Students,[None],[None]
MATH 1426,Calculus I,[None],[None]
IE 2308,Engineering Economy,[None],['MATH 1426']
MATH 2425,Calculus II,['MATH 1426'],[None]
PHYS 1443,General Technical Physics I,['MATH 1426'],[None]
POLS 2311,Government of the US,[None],[None]
HIST 13XX,U.S. History Elective,[None],[None]
CE 2311,Statics,['PHYS 1443'],[None]
CE 2153,Computer Tools-Civil 3D,['CE 1252'],[None]
COMS 2302,Professional & Technical Communication for Scientists & Engineers,"['30 Semester Credit hours', 'ENGL 1301']",[None]
MATH 2326,Calculus III,['MATH 2425'],[None]
PHYS 1444,General Technical Physics II,['PHYS 1443'],['MATH 2425']
HIST 13XX,U.S. History Elective,[None],[None]
CE 2221,Dynamics,"['CE 2311', 'MATH 2425']",[None]
CE 2313,Mechanics of Materials,"['CE 2311', 'MATH 2425']",[None]
CE 2331,Engineering Measurement & Computer Modeling,['CE 2153'],[None]
MATH 3319,Differential Equations & Linear Algebra,[None],['MATH 2326']
CE 3301,Stochastic Models,['MATH 2425'],[None]
GEOL 3340,Geology for Engineers,"['CHEM 1465', 'PHYS 1443']",[None]
CE 3210,CE Communications,['COMS 2302'],[None]
CE 3253,Applications of Computer-Based Design Programs in CE,"['CE 2153', 'CE 2331']",[None]
CE 3305,Basic Fluid Mechanics,['CE 2311'],"['MATH 3319', 'CE 3142']"
CE 3142,Applied Fluid Mechanics Lab,[None],['CE 3305']
CE 3341,Structural Analysis,['CE 2313'],[None]
CE 3343,Soil Mechanics,['CE 2313'],['CE 3143']
CE 3143,Properties & Behavior of Soils,[None],['CE 3343']
POLS 2312,State and Local Government,[None],[None]
CE 3302,Transportation Engineering,"['CE 2331', 'CE 3301']",[None]
CE 3361,Properties & Behavior of CE Materials,['CE 3143'],[None]
CE 3311,Construction Engineering,['IE 2308'],[None]
CE 3342,Introduction to Water Resources,"['CE 3301', 'CE 3305']",[None]
CE 3334,Principles of Environmental Engineering,"['CHEM 1465', 'CE 3305']",['CE 3131']
CE 3131,Environmental Analysis,[None],['CE 3334']
CE 4347,Reinforced Concrete Design,['CE 3341'],[None]
CE 4328,Water System Design,['CE 3342'],[None]
CE 4352,Professional Practice,['CE 3311'],[None]
CE 4383,Senior Project,"['CE 4352', 'CE4328 or CE4347', 'All CE 3000 level courses']",[None]
CE 43XX ,Senior Technical Elective (1),[None],[None]
CE 43XX ,Senior Technical Elective (2),[None],[None]
CE 43XX ,Senior Technical Elective (3),[None],[None]
CE 43XX ,Senior Technical Elective (4),[None],[None]
LPC XXXX,"Language, Philosophy, and Culture Elective",[None],[None]
CA XXXX,Creative Arts,[None],[None]
CE 4305,Trenchless Technology Methods,['CE 3311'],[None]
CE 4306,Infrastructure Asset Management,['CE 3311'],[None]
CE 4332,"Construction Equipment, Methods, & Management",['CE 3311'],[None]
CE 4350,Introduction to Air Pollution,['CE 3334'],[None]
CE 4351,Physical Unit Processes,"['CE 3131', 'CE 3334']",[None]
CE 4353,Water Chemistry,"['CE 3334', 'CE 3131']",[None]
CE 4354,Introduction to Solid Waste Engineering,['CE 3334'],[None]
CE 4355,Design of Water and Wastewater Treatment Facilities,"['CE 3334', 'CE 3142']",[None]
CE 4320,Earth Structures Design,['CE 3343'],[None]
CE 4321,Foundation Engineering,"['CE 3341', 'CE 3343']",[None]
CE 4322,Applications with Geosynthetics,['CE 3343'],[None]
CE 4323,Landfill Design,['CE 3343'],[None]
CE 4336,Hot Mix Asphalt Design & Construction,['CE 3361'],[None]
CE 4337,Portland Cement Concrete Pavements,['CE 3361'],[None]
CE 4324,Mechanics of Materials II,['CE 2313'],[None]
CE 4325,Fundamentals of Finite Element Method,['CE 3341'],[None]
CE 4348,Structural Design in Steel,['CE 3341'],[None]
CE 4356,Advanced Steel Design,['CE 4348'],[None]
CE 4360,Design of Structural Masonry,['CE 3341'],[None]
CE 4361,Advanced Reinforced Concrete Design,['CE 4347'],[None]
CE 4363,Fundamentals of Prestressed Concrete,['CE 4347'],[None]
CE 4365,Structural Wood Design,['CE 3341'],[None]
CE 4366,Fundamentals of Fiber Reinforced Composites,['CE 3341'],[None]
CE 4368,Advanced Structural Analysis,['CE 3341'],[None]
CE 4369,Loads on Structures,['CE 3341'],[None]
CE 4310,System Evaluation in Civil Engineering,"['IE 2308', 'CE 3301']",[None]
CE 4311,Urban Transportation Infrastructure Planning,['CE 3302'],[None]
CE 4312,Street and Highway Design,['CE 3302'],[None]
CE 4313,Traffic Engineering,['CE 3302'],[None]
CE 4314,Introduction to Railroad Engineering,['CE 3302'],[None]
CE 4326,GIS/Hydrologic and Hydraulic Modeling,['CE 3342'],[None]
CE 4330,Hydraulic Design,['CE 3342'],[None]
CE 4358,Open Conduit System,['CE 3342'],[None]
