Formal Name,Course Name,Prerequisites,Corequisites
MATH 1302,College Algebra,[None],[None]
MATH 1402,Pre-Calculus,MATH 1302,[None]
MATH 1426,Calculus I,MATH 1402,[None]
MATH 2425,Calculus II,MATH 1426,[None]
MATH 2326,Calculus III,MATH 2425,[None]
MATH 3319,Differential Equations & Linear Algebra,MATH 2425,[None]
CHEM 1441,General Chemistry I,[None],[None]
PHYS 1443,General Technical Physics I,MATH 1426,[None]
PHYS 1444,General Technical Physics II,"PHYS 1443, MATH 2425",[None]
ENGL 1301,Rhetoric and Composition I,[None],[None]
COMS 2302,Professional & Technical Communication,ENGL 1301,[None]
POLS 2311,Government of the US,[None],[None]
POLS 2312,State and Local Government,[None],[None]
HIST 13XX,U.S. History Elective,[None],[None]
ENGR 1101,Entrance to Engineering for Transfer Students,[None],[None]
UNIV 1131,Student Success,[None],[None]
EE 1101,Introduction to Electrical Engineering,[None],[None]
EE 1201,Introduction to Electrical Engineering (2hr),MATH 1426,[None]
EE 1106,Electrical Engineering Freshman Practicum,EE 1201,[None]
EE 1311,Computing System and Algorithmic Solutions,MATH 1426,[None]
EE 2302,Principles of Active and Passive Devices,PHYS 1444,[None]
EE 2315,Circuit Analysis I,"EE 1106, MATH 2425, PHYS 1444",[None]
EE 2347,Mathematical Foundations of Electrical Engineering,"EE 1311, MATH 2425, MATH 3319",[None]
EE 2341,Digital Circuits and Systems,"EE 1311, EE 2315",[None]
EE 2415,Circuit Analysis I (4hr),"EE 1106, MATH 2425",[None]
EE 2403,Electronics I (4hr),"EE 2415, MATH 2326",[None]
EE 2303,Electronics I,"EE 2302, EE 2315, MATH 3319",[None]
EE 2441,Digital Design and Programmable Microcontrollers,EE 1311,[None]
EE 3316,Continuous and Discrete Signals and Systems,"EE 2347, EE 2315",[None]
EE 3330,Probability and Statistical Methods,"EE 2347, EE 3316",[None]
EE 3318,Analog and Digital Signal Processing,"EE 3316, EE 3330",[None]
EE 3310,Advanced Microcontrollers,"EE 2441, EE 2403",[None]
EE 3314,Fundamentals of Embedded Control Systems,"EE 2341, EE 3316, EE 3318",[None]
EE 3346,Circuit Analysis II,"EE 2347, EE 2415",[None]
EE 3446,Circuit Analysis II (4hr),"EE 2347, EE 2415",[None]
EE 3407,Electromagnetics,"EE 2347, PHYS 1444, EE 3346",[None]
EE 3302,Fundamentals of Power Systems,"EE 3346, EE 3407",[None]
EE 3444,Electronics II,"EE 2303, EE 3346",[None]
EE 4310,Microprocessor Systems,EE 3314,[None]
EE 4311,Embedded Microcontroller Systems,EE 3314,[None]
EE 4314,Control Systems,EE 3316,[None]
EE 4315,Introduction to Robotics,EE 4314,[None]
EE 4318,Digital Signal Processing,"EE 3316, EE 3318",[None]
EE 4330,Fundamentals of Telecommunications Systems,"EE 3316, EE 3330",[None]
EE 4375,Introduction to Power Electronics,"EE 2403, EE 3346",[None]
EE 4380,Principles of Photonics and Optical Engineering,EE 3407,[None]
EE 4301,Power Systems Analysis and Control,EE 3302,[None]
EE 4340,Concepts and Exercises in Engineering Practice,"COMS 2302, EE 3330, EE 3446, EE 3407",[None]
EE 4349,Engineering Design Project,EE 4340,[None]
EE 43XX,EE Technical Elective (1),[None],[None]
EE 43XX,EE Technical Elective (2),[None],[None]
LPC XXXX,Language Philosophy and Culture Elective,[None],[None]
CA XXXX,Creative Arts Elective,[None],[None]
