Formal Name,Course Name,Prerequisites,Corequisites
MATH 1302,College Algebra,[None],[None]
MATH 1402,Pre-Calculus,MATH 1302,[None]
MATH 1426,Calculus I,MATH 1402,[None]
MATH 2425,Calculus II,MATH 1426,[None]
MATH 2326,Calculus III,MATH 2425,[None]
MATH 3319,Differential Equations & Linear Algebra,MATH 2425,[None]
CHEM 1441,General Chemistry I,[None],[None]
PHYS 1443,General Technical Physics I,MATH 1426,[None]
ENGL 1301,Rhetoric and Composition I,[None],[None]
COMS 2302,Professional & Technical Communication,ENGL 1301,[None]
POLS 2311,Government of the US,[None],[None]
POLS 2312,State and Local Government,[None],[None]
HIST 13XX,U.S. History Elective,[None],[None]
ENGR 1101,Entrance to Engineering for Transfer Students,[None],[None]
UNIV 1131,Student Success,[None],[None]
IE 1110,First Semester Industrial and Systems Engineering Seminar,[None],[None]
IE 1205,Introduction to Industrial Engineering and Computing,[None],[None]
IE 1325,Introduction to Data Analysis,IE 1110,[None]
IE 2305,Computer Applications in Industrial Engineering,IE 1325,[None]
IE 2308,Economics for Engineers,MATH 1426,[None]
IE 3301,Engineering Probability,MATH 2425,[None]
IE 3314,Engineering Research Methods,"IE 3301, MATH 2326",[None]
IE 3315,Operations Research I,MATH 2326,[None]
IE 3343,Metrics and Measurement,"MATH 2326, IE 2308, IE 3301",[None]
IE 3351,Fundamentals of Systems Engineering,MATH 2425,[None]
IE 4303,Production and Inventory Control,"IE 2305, IE 3301, IE 3315",[None]
IE 4305,Engineering Decision Making with Data,IE 3301,[None]
IE 4308,Quality Systems,IE 3301,[None]
IE 4314,Data Mining and Analytics,IE 3301,[None]
IE 4315,Operations Research II,"IE 3301, IE 3315, MATH 3319",[None]
IE 4322,Simulation of Complex Systems,"IE 3314, IE 4315",[None]
IE 4325,Automation and Robotics for Service and Manufacturing,IE 4303,[None]
IE 4340,Engineering Project Management,[None],[None]
IE 4343,Facilities Planning and Design,IE 4303,[None]
IE 4344,Human Factors Engineering and Complex Systems,"IE 3301, IE 2308, IE 3343",[None]
IE 4350,Industrial and Systems Engineering Capstone Design,"IE 4303, IE 4308, IE 4315",[None]
IE 43XX,IE Technical Elective (1),[None],[None]
IE 43XX,IE Technical Elective (2),[None],[None]
LPC XXXX,Language Philosophy and Culture Elective,[None],[None]
CA XXXX,Creative Arts Elective,[None],[None]
