Formal Name,Course Name,Prerequisites,Corequisites
MATH 1302,College Algebra,[None],[None]
MATH 1402,Pre-Calculus,MATH 1302,[None]
MATH 1426,Calculus I,MATH 1402,[None]
MATH 2425,Calculus II,MATH 1426,[None]
MATH 2326,Calculus III,MATH 2425,[None]
MATH 3319,Differential Equations & Linear Algebra,MATH 2425,[None]
MATH 3330,Introduction to Linear Algebra and Vector Spaces,MATH 2425,[None]
CHEM 1441,General Chemistry I,[None],[None]
PHYS 1443,General Technical Physics I,MATH 1426,[None]
PHYS 1444,General Technical Physics II,"PHYS 1443, MATH 2425",[None]
ENGL 1301,Rhetoric and Composition I,[None],[None]
COMS 2302,Professional & Technical Communication,ENGL 1301,[None]
POLS 2311,Government of the US,[None],[None]
POLS 2312,State and Local Government,[None],[None]
HIST 13XX,U.S. History Elective,[None],[None]
ENGR 1101,Entrance to Engineering for Transfer Students,[None],[None]
UNIV 1131,Student Success,[None],[None]
EE 2320,Circuit Analysis,"MATH 2425, PHYS 1444",[None]
MAE 1106,Introduction to Aerospace Engineering,MATH 1426,[None]
MAE 1107,Introduction to Mechanical Engineering,MATH 1426,[None]
MAE 1140,Problems in Mechanical and Aerospace Engineering,MATH 1426,[None]
MAE 1312,Engineering Statics,"MAE 1140, MATH 1426, PHYS 1443",[None]
MAE 1351,Introduction to Engineering Design,MATH 1426,[None]
MAE 2360,Numerical Analysis and Programming,MATH 1426,[None]
MAE 2312,Solid Mechanics,"MAE 1140, MAE 1312",[None]
MAE 2323,Dynamics,"MAE 1140, MAE 1312, MATH 2425",[None]
MAE 2381,Experimental Methods and Measurements,"MAE 1351, MATH 2425, PHYS 1443",[None]
MAE 3310,Thermodynamics I,"CHEM 1441, MATH 2425, PHYS 1444",[None]
MAE 3324,Structure and Mechanical Behavior of Materials,"CHEM 1441, MAE 2312, PHYS 1444",[None]
MAE 3360,Engineering Analysis,"MATH 2326, MAE 2360",[None]
MAE 3313,Fluid Mechanics,"MAE 2323, MAE 2360, MAE 3310, MAE 3360",[None]
MAE 3311,Thermodynamics II,"MAE 3310, MAE 3313",[None]
MAE 3314,Heat Transfer,MAE 3313,[None]
MAE 3315,Aerospace Structural Statics,MAE 2312,[None]
MAE 3318,Kinematics and Dynamics of Machines,MAE 2323,[None]
MAE 3319,Dynamic Systems Modeling and Simulation,"MAE 3314, EE 2320, MATH 3330",[None]
MAE 3242,Mechanical Design I,"MAE 2312, MAE 2323, MAE 3324",[None]
MAE 3301,Fluid Dynamics,"MAE 1106, MAE 2323, MAE 3310, MAE 3360",[None]
MAE 3302,Incompressible Aerodynamics,"MAE 3301, MAE 2323, MAE 3310, MAE 3360",[None]
MAE 3303,Compressible Flow,"MAE 3301, MAE 2323, MAE 3310, MAE 3360",[None]
MAE 3304,Astronautics I,"MATH 3330, PHYS 1443, PHYS 1444, MATH 2326",[None]
MAE 3306,Flight Performance Stability and Control,"MAE 3302, MAE 3303",[None]
MAE 3405,Flight Dynamics,"MAE 3306, MATH 3330",[None]
MAE 4344,Computer-Aided Engineering,"MAE 3242, MAE 3314, MAE 3318",[None]
MAE 4310,Introduction to Automatic Control,"MAE 3314, MAE 3319",[None]
MAE 4314,Mechanical Vibrations,"MAE 2312, MAE 2323, MAE 3360, MATH 3330",[None]
MAE 4321,Aerospace Propulsion,MAE 3303,[None]
MAE 4350,Aerospace Vehicle Design I,"MAE 3405, MAE 3306",[None]
MAE 4287,Design Project I,"MAE 3319, MAE 4344",[None]
MAE 4188,Design Project II,MAE 4287,[None]
MAE 43XX,MAE Technical Elective (1),[None],[None]
MAE 43XX,MAE Technical Elective (2),[None],[None]
LPC XXXX,Language Philosophy and Culture Elective,[None],[None]
CA XXXX,Creative Arts Elective,[None],[None]
