Formal Name,Course Name,Prerequisites,Corequisites,Requirement
AAST 2300,INTRODUCTION TO AFRICAN AMERICAN STUDIES,[None],[None],required
AAST 2303,HISTORY AND APPRECIATION OF HIP HOP AND R&B MUSIC,[None],[None],required
AAST 2337,ECONOMICS OF SOCIAL ISSUES,[None],[None],required
AAST 2371,LANGUAGE IN A MULTICULTURAL USA,[None],[None],required
AAST 3300,"TOPICS IN GENDER, WOMEN & SEXUALITY STUDIES",[None],[None],required
AAST 3301,THEORIES OF HUMAN BEHAVIOR,[None],[None],required
AAST 3310,BLACK FAMILIES,[None],[None],required
AAST 3314,CIVIL WAR AND RECONSTRUCTION,[None],[None],required
AAST 3317,DIVERSE POPULATIONS,[None],[None],required
AAST 3319,U.S. IMMIGRATION POLICY AND THE AMERICAN DREAM,[None],[None],required
AAST 3320,BLACK WOMEN IN SOCIETY,[None],[None],required
AAST 3321,THE LATINA EXPERIENCE,[None],[None],required
AAST 3322,AFRICAN AMERICAN HISTORY TO 1863,[None],[None],required
AAST 3323,AFRICAN AMERICAN HISTORY SINCE EMANCIPATION,[None],[None],required
AAST 3328,"RACE, REPRESENTATION, AND THE MOVIES",[None],[None],required
AAST 3329,CONTEMPORARY AFRICAN CULTURES,[None],[None],required
AAST 3330,CULTURAL DIVERSITY AND IDENTITY,[None],[None],required
AAST 3337,RACIAL & ETHNIC GROUPS IN US,[None],[None],required
AAST 3339,"RACE, SPORT AND MEDIA",[None],[None],required
AAST 3341,"THE OLD SOUTH, 1607-1863",[None],[None],required
AAST 3342,RELIGION IN MODERN AMERICA,[None],[None],required
AAST 3343,"THE NEW SOUTH, 1863-PRESENT",[None],[None],required
AAST 3344,SOCIOLOGY OF THE 1960S,[None],[None],required
AAST 3345,AFRICAN-AMERICAN LITERATURE,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
AAST 3347,TOPICS IN MULTICULTURAL AMERICAN LITERATURES,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
AAST 3350,BLACK POLITICAL AND SOCIAL THOUGHT,[None],[None],required
AAST 3353,SOCIAL CLIMATE OF CITIES,[None],[None],required
AAST 3373,ARCHAEOLOGY OF EGYPT,[None],[None],required
AAST 3378,HISTORY OF THE CARIBBEAN,[None],[None],required
AAST 3380,"RACE, CRIME, AND JUSTICE",['CRCJ 2334'],[None],required
AAST 3385,AFRICAN HISTORY I,[None],[None],required
AAST 3386,AFRICAN HISTORY II,[None],[None],required
AAST 4317,ETHNIC GROUP POLITICS IN THE UNITED STATES,"['POLS 2311', 'POLS 2312']",[None],required
AAST 4318,POLITICS OF AFRICAN AMERICANS,"['POLS 2311', 'POLS 2312']",[None],required
AAST 4325,HISTORY OF HIP HOP,[None],[None],required
AAST 4326,DIVERSITY IN ORGANIZATIONS,[None],[None],required
AAST 4331,"RACE, ETHNICITY & FAMILY FORMATION",[None],[None],required
AAST 4333,COMPARATIVE CIVIL RIGHTS HISTORY,[None],[None],required
AAST 4339,TOPICS IN AFRICAN-AMERICAN LITERATURE,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
AAST 4341,INEQUALITIES IN PUBLIC EDUCATION,[None],[None],required
AAST 4342,TOPICS IN CULTURAL ANTHROPOLOGY,[None],[None],required
AAST 4350,SPECIAL TOPICS IN AFRICAN AMERICAN STUDIES,[None],[None],required
AAST 4376,AFRICAN DIASPORA I,[None],[None],required
AAST 4377,AFRICAN DIASPORA II,[None],[None],required
AAST 4378,WEST AFRICA AND THE ATLANTIC DIASPORA,[None],[None],required
AAST 4391,CONFERENCE COURSE,[None],[None],required
AAST 4399,CAPSTONE AFRICAN AMERICAN STUDIES,['AAST 2300'],[None],required
AAST 6391,CONFERENCE COURSE,[None],[None],required
