Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ACCT 2301,PRINCIPLES OF ACCOUNTING I,[None],[None],required
ACCT 2302,PRINCIPLES OF ACCOUNTING II,['ACCT 2301'],[None],required
ACCT 2303,ACCOUNTING AND COMPLIANCE OF NON-PROFIT ORGANIZATIONS,[None],[None],required
ACCT 3133,PROFESSIONALISM IN ACCOUNTING,['ACCT 3311'],[None],required
ACCT 3303,INTRODUCTION TO ACCOUNTING INFORMATION SYSTEMS,"['ACCT 2302', 'INSY 2303']",[None],required
ACCT 3308,FINANCIAL STATEMENT ANALYSIS FOR BANKING,['ACCT 2301'],[None],required
ACCT 3309,ACCOUNTING FOR MANAGERS,['ACCT 2302'],[None],required
ACCT 3311,FINANCIAL ACCOUNTING I,['ACCT 2301'],[None],required
ACCT 3312,FINANCIAL ACCOUNTING II,['ACCT 3311'],[None],required
ACCT 3315,PRINCIPLES OF FEDERAL INCOME TAX,['ACCT 3311'],[None],required
ACCT 3316,DATA ANALYTICS FOR ACCOUNTING,['ACCT 2302'],[None],required
ACCT 4191,STUDIES IN ACCOUNTING,[None],[None],required
ACCT 4193,ACCOUNTING INTERNSHIP,['ACCT 4393'],[None],required
ACCT 4291,STUDIES IN ACCOUNTING,[None],[None],required
ACCT 4302,COST ANALYSIS AND DECISION MAKING,['ACCT 3303'],[None],required
ACCT 4304,MANAGEMENT PLANNING AND CONTROL,['ACCT 4302'],[None],required
ACCT 4318,AUDITING,"['ACCT 3303', 'ACCT 3312']",[None],required
ACCT 4319,FINANCIAL ACCOUNTING III,['ACCT 3312'],[None],required
ACCT 4323,CORPORATE SUSTAINABILITY REPORTING,[None],[None],required
ACCT 4325,GOVERNMENTAL ACCOUNTING,['ACCT 3312'],[None],required
ACCT 4331,SEMINAR IN ACCOUNTING,[None],[None],required
ACCT 4332,INTERNAL AUDITING I,['ACCT 3303'],[None],required
ACCT 4333,INTERNAL AUDITING II,['ACCT 4332'],[None],required
ACCT 4340,STUDY OF FEDERAL INCOME TAX FOR ENTITIES OTHER THAN INDIVIDUALS,['ACCT 3315'],[None],required
ACCT 4380,ETHICS IN ACCOUNTING,['ACCT 3312'],[None],required
ACCT 4391,STUDIES IN ACCOUNTING,[None],[None],required
ACCT 4393,ACCOUNTING INTERNSHIP,[None],[None],required
ACCT 5133,PROFESSIONALISM IN ACCOUNTING,['ACCT 5311'],[None],required
ACCT 5199,GRADUATE ACCOUNTING INTERNSHIP,[None],[None],required
ACCT 5299,GRADUATE ACCOUNTING INTERNSHIP,[None],[None],required
ACCT 5301,ACCOUNTING ANALYSIS I,[None],[None],required
ACCT 5302,ACCOUNTING ANALYSIS II,['ACCT 5301'],[None],required
ACCT 5307,MEASUREMENT AND ANALYSIS FOR BUSINESS DECISION-MAKING,[None],[None],required
ACCT 5311,FINANCIAL ACCOUNTING I,['ACCT 5301'],[None],required
ACCT 5312,FINANCIAL ACCOUNTING II,['ACCT 5311'],[None],required
ACCT 5313,SOFTWARE TOOLS,['ACCT 5302'],[None],required
ACCT 5314,PRINCIPLES OF FEDERAL INCOME TAX,['ACCT 5301'],[None],required
ACCT 5315,ACCOUNTING SYSTEMS ANALYSIS,['ACCT 5302'],[None],required
ACCT 5316,AUDITING CONCEPTS AND PRACTICES,"['ACCT 5312', 'ACCT 5315']",[None],required
ACCT 5317,COST ANALYSIS AND DECISION MAKING,['ACCT 5302'],[None],required
ACCT 5318,STUDIES IN AUDITING,['ACCT 5316'],[None],required
ACCT 5319,FINANCIAL ACCOUNTING III,['ACCT 5312'],[None],required
ACCT 5320,GOVERNMENTAL AND NONPROFIT ACCOUNTING,['ACCT 5312'],[None],required
ACCT 5321,RESEARCH IN ACCOUNTING ISSUES,['ACCT 5312'],[None],required
ACCT 5322,ACCOUNTING FOR MANAGEMENT PLANNING AND CONTROL,['ACCT 5317'],[None],required
ACCT 5323,CORPORATE SUSTAINABILITY REPORTING,[None],[None],required
ACCT 5324,FINANCIAL STATEMENT ANALYTICS AND BUSINESS VALUATION,['ACCT 5307'],[None],required
ACCT 5327,CONTEMPORARY ISSUES IN ACCOUNTING THEORY,['ACCT 5312'],[None],required
ACCT 5329,ADVANCED ACCOUNTING INFORMATION SYSTEMS AND ANALYTICS,['ACCT 5315'],[None],required
ACCT 5330,INTERNATIONAL ACCOUNTING AND FINANCIAL REPORTING,['ACCT 5302'],[None],required
ACCT 5332,OPERATIONAL AUDITING,[None],[None],required
ACCT 5335,ACCOUNTING ANALYTICS,"['ACCT 5315', 'ACCT 5316']",[None],required
ACCT 5339,TAX PLANNING AND RESEARCH,['ACCT 5314'],[None],required
ACCT 5340,STUDY OF FEDERAL INCOME TAX FOR ENTITIES OTHER THAN INDIVIDUALS,['ACCT 5314'],[None],required
ACCT 5341,TAXATION OF PASSTHROUGH ENTITIES,['ACCT 5339'],[None],required
ACCT 5342,TAX PROBLEMS OF CORPORATIONS AND SHAREHOLDERS,['ACCT 5339'],[None],required
ACCT 5343,TAX PROBLEMS OF TRANSACTIONS IN REAL ESTATE,['ACCT 5339'],[None],required
ACCT 5345,STATE AND LOCAL TAXATION,['ACCT 5339'],[None],required
ACCT 5346,TAX PRACTICE AND PROCEDURE,['ACCT 5339'],[None],required
ACCT 5347,FEDERAL TAXATION OF GIFTS AND ESTATES,['ACCT 5339'],[None],required
ACCT 5352,INFORMATION SYSTEMS AUDIT AND CONTROL,"['ACCT 5315', 'ACCT 5316']",[None],required
ACCT 5353,STATISTICAL TECHNIQUES USED IN ACCOUNTING,['STAT 5301'],[None],required
ACCT 5366,FRAUD EXAMINATION,['ACCT 5316'],[None],required
ACCT 5372,FEDERAL TAXATION OF INTERNATIONAL TRANSACTIONS,['ACCT 5339'],[None],required
ACCT 5380,ETHICS IN ACCOUNTING,['ACCT 5311'],[None],required
ACCT 5382,INDEPENDENT STUDIES IN ACCOUNTING,[None],[None],required
ACCT 5392,SELECTED TOPICS IN ACCOUNTING,[None],[None],required
ACCT 5398,THESIS,[None],[None],required
ACCT 5399,GRADUATE ACCOUNTING INTERNSHIP,[None],[None],required
ACCT 5698,THESIS,[None],[None],required
ACCT 6101,ACCOUNTING RESEARCH COLLOQUIUM,[None],[None],required
ACCT 6309,SEMINAR IN ACCOUNTING RESEARCH I,[None],[None],required
ACCT 6310,SEMINAR IN ACCOUNTING RESEARCH II,[None],[None],required
ACCT 6311,SEMINAR IN ACCOUNTING RESEARCH III,['ACCT 6310'],[None],required
ACCT 6312,SEMINAR IN ACCOUNTING RESEARCH IV,[None],[None],required
ACCT 6313,SEMINAR IN ACCOUNTING RESEARCH V,[None],[None],required
ACCT 6390,SPECIAL TOPICS IN ACCOUNTING RESEARCH,[None],[None],required
