Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ADVT 2337,INTRODUCTION TO ADVERTISING,[None],[None],required
ADVT 3304,STRATEGIC COMMUNICATION I,"['COMM 2311', 'ADVT 2337', 'MATH 1308']",[None],required
ADVT 3305,ADVERTISING MEDIA,"['COMM 2311', 'ADVT 2337', 'MATH 1308']",[None],required
ADVT 3306,STRATEGIC COMMUNICATION II,['ADVT 3304'],[None],required
ADVT 3308,DIGITAL ADVERTISING DESIGN,['COMM 3303'],[None],required
ADVT 4300,DIGITAL INTEGRATED MARKETING COMMUNICATION (IMC) MANAGEMENT,['PREL 3320'],[None],required
ADVT 4301,ADVERTISING AND IMC CAMPAIGNS,[None],[None],required
ADVT 4391,CONFERENCE COURSE,[None],[None],required
ADVT 4393,SPECIAL TOPICS,[None],[None],required
ADVT 4395,PROFESSIONAL INTERNSHIP,[None],[None],required
