Formal Name,Course Name,Prerequisites,Corequisites,Requirement
AE 5100,PREPARATORY COURSE FOR AEROSPACE ENGINEERING,[None],[None],required
AE 5101,GRADUATE SEMINAR,[None],[None],required
AE 5191,ADVANCED STUDIES IN AEROSPACE ENGINEERING,[None],[None],required
AE 5197,RESEARCH IN AEROSPACE ENGINEERING,[None],[None],required
AE 5200,PREPARATORY COURSE FOR AEROSPACE ENGINEERING,[None],[None],required
AE 5291,ADVANCED STUDIES IN AEROSPACE ENGINEERING,[None],[None],required
AE 5297,RESEARCH IN AEROSPACE ENGINEERING,[None],[None],required
AE 5300,PREPARATORY COURSE FOR AEROSPACE ENGINEERING,[None],[None],required
AE 5301,ADVANCED TOPICS IN AEROSPACE ENGINEERING,[None],[None],required
AE 5302,ADVANCED FLIGHT MECHANICS,"['MAE 3405', 'MAE 4310']",[None],required
AE 5303,CLASSICAL METHODS OF CONTROL SYSTEMS ANALYSIS AND SYNTHESIS,[None],[None],required
AE 5305,DYNAMIC SYSTEMS MODELING,[None],[None],required
AE 5310,FINITE ELEMENT METHODS,[None],[None],required
AE 5311,STRUCTURAL DYNAMICS,[None],[None],required
AE 5312,CONTINUUM MECHANICS,[None],[None],required
AE 5313,FLUID DYNAMICS,[None],[None],required
AE 5315,FUNDAMENTALS OF COMPOSITES,[None],[None],required
AE 5320,DESIGN OPTIMIZATION,['AE 5310'],[None],required
AE 5322,AEROELASTICITY,[None],[None],required
AE 5323,ENGINEERING RESEARCH METHODS,[None],[None],required
AE 5325,COMBUSTION,[None],[None],required
AE 5326,AIR-BREATHING PROPULSION,[None],[None],required
AE 5327,COMPUTATIONAL AERODYNAMICS I,[None],[None],required
AE 5328,COMPUTATIONAL AERODYNAMICS II,[None],[None],required
AE 5329,ADDITIVE MANUFACTURING,[None],[None],required
AE 5331,ANALYTIC METHODS IN ENGINEERING,[None],[None],required
AE 5332,ENGINEERING ANALYSIS,[None],[None],required
AE 5333,THERMAL PHENOMENA IN MICROSYSTEMS,[None],[None],required
AE 5335,OPTIMAL CONTROL OF DYNAMIC SYS,[None],[None],required
AE 5336,OPTIMAL ESTIMATION OF DYNAMIC SYSTEMS,[None],[None],required
AE 5337,INTRODUCTION TO ROBOTICS,[None],[None],required
AE 5338,ANALYTICAL & COMPUTATIONAL DYNAMICS,[None],[None],required
AE 5339,INTERMEDIATE MECHANICS OF MATERIALS,[None],[None],required
AE 5341,CONTROL SYSTEM COMPONENTS,['ME 5303'],[None],required
AE 5342,GAS DYNAMICS,['MAE 3303'],[None],required
AE 5345,NUMERICAL HEAT TRANSFER AND FLUID FLOW,[None],[None],required
AE 5347,ROCKET PROPULSION,[None],[None],required
