Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ANTH 1200,PERSONAL AND PROFESSIONAL SUCCESS IN THE SOCIAL SCIENCES,[None],[None],required
ANTH 1306,INTRODUCTION TO ANTHROPOLOGY,[None],[None],required
ANTH 1310,GREAT DISCOVERIES IN ARCHAEOLOGY,[None],[None],required
ANTH 2307,BIOLOGICAL ANTHROPOLOGY,[None],[None],required
ANTH 2322,GLOBAL CULTURES,[None],[None],required
ANTH 2339,INTRODUCTION TO ARCHAEOLOGY,[None],[None],required
ANTH 2349,HONORS PRINCIPLES OF ARCHAEOLOGY,[None],[None],required
ANTH 2357,ANTHROPOLOGY IN ACTION,[None],[None],required
ANTH 2358,ARCHAEOLOGICAL CULTURES,[None],[None],required
ANTH 2359,MYTHS AND MYSTERIES IN ARCHAEOLOGY,[None],[None],required
ANTH 2370,ASIAN AMERICAN EXPERIENCE,[None],[None],required
ANTH 3300,DEBATES IN CULTURAL ANTHROPOLOGY,[None],[None],required
ANTH 3301,ARCHAEOLOGICAL METHOD AND THEORY,['ANTH 2339'],[None],required
ANTH 3307,EVOLUTIONARY MEDICINE,[None],[None],required
ANTH 3308,FORENSIC ANTHROPOLOGY,[None],[None],required
ANTH 3310,LATINOS IN THE U.S.,[None],[None],required
ANTH 3311,HUMAN ADAPTATION AND THE CONCEPT OF RACE,[None],[None],required
ANTH 3313,PRIMATE EVOLUTION AND BEHAVIOR,[None],[None],required
ANTH 3316,LATINO HEALTH ISSUES,[None],[None],required
ANTH 3318,"BORDERS, CULTURES, AND CARTELS",[None],[None],required
ANTH 3325,ETHNOGRAPHY OF SOUTH AMERICA,[None],[None],required
ANTH 3328,CIVILIZATIONS OF SOUTH AMERICA,[None],[None],required
ANTH 4328,Credit cannot be given for both ANTH 3328 and ANTH 4328. ANTH 3329. CONTEMPORARY AFRICAN CULTURES,[None],[None],required
ANTH 3330,CULTURAL DIVERSITY AND IDENTITY,[None],[None],required
ANTH 2350,Credit cannot be given for both ANTH 2350 and ANTH 3330 . Also listed as MAS 3330 ; credit cannot be granted for both ANTH 3330 and MAS 3330 . Offered as AAST 3330 and ANTH 3330 ; credit will be granted in only one department. ANTH 3331. CULTURE AND PERSONALITY,[None],[None],required
ANTH 3332,FOOD AND CULTURE,[None],[None],required
ANTH 3333,NORTH AMERICAN INDIANS,[None],[None],required
ANTH 3334,ANTHROPOLOGY OF SOUTH ASIA,[None],[None],required
ANTH 3335,"GLOBAL ICONS: GANDHI, KING, MANDELA & OTHERS IN POPULAR CULTURE",[None],[None],required
ANTH 3336,ANTHROPOLOGY OF RELIGION,[None],[None],required
ANTH 3338,COMPARATIVE KINSHIP AND FAMILY SYSTEMS,[None],[None],required
ANTH 4338,Credit cannot be given for both ANTH 3338 and ANTH 4338. Also offered as GWSS 3338 ; credit will be granted only once. Offered as AAST 3332 and ANTH 3338 ; credit will be granted in only one department. ANTH 3339. URBAN ANTHROPOLOGY,[None],[None],required
ANTH 3341,RESEARCH METHODS IN CULTURAL ANTHROPOLOGY,['ANTH 1306'],[None],required
ANTH 3343,APPLIED ANTHROPOLOGY,[None],[None],required
ANTH 3345,"VISUALIZING CULTURE: MEDIA, IDENTITY AND POLITICS IN THE GLOBAL WORLD",[None],[None],required
ANTH 3346,GLOBAL IMPACTS OF TOURISM,[None],[None],required
ANTH 3348,CULTURAL ENCOUNTERS: MIGRATION AND IDENTITIES,[None],[None],required
ANTH 3349,ANTHROPOLOGY OF GLOBALIZATION,[None],[None],required
ANTH 3350,NORTH AMERICAN ARCHAEOLOGY,[None],[None],required
ANTH 3351,ARCHAEOLOGY OF THE AMERICAN SOUTHWEST,[None],[None],required
ANTH 3352,ARCHAEOLOGY OF AFRICA,['ANTH 2339'],[None],required
ANTH 3353,STONE AGE HUNTERS AND FARMERS,[None],[None],required
ANTH 3354,ANTHROPOLOGY OF HUNTING,[None],[None],required
ANTH 3355,THE RISE OF CIVILIZATION,[None],[None],required
ANTH 3356,MESOAMERICAN ARCHAEOLOGY,[None],[None],required
ANTH 3357,COLLAPSE AND SUSTAINABILITY OF SOCIETIES,[None],[None],required
ANTH 3358,UNDERWATER ARCHAEOLOGY,[None],[None],required
ANTH 3359,STONE TOOLS,[None],[None],required
ANTH 3360,ARCHAEOLOGY IN PRACTICE,[None],[None],required
ANTH 3366,"SEX, GENDER, AND CULTURE",[None],[None],required
ANTH 3369,MEDICAL ANTHROPOLOGY,[None],[None],required
ANTH 3370,ARCHAEOLOGY OF THE PREHISTORIC AEGEAN,[None],[None],required
ANTH 3371,ARCHAEOLOGY OF GREECE,[None],[None],required
ANTH 3372,ARCHAEOLOGY OF THE ANCIENT NEAR EAST,[None],[None],required
