Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ARAB 1441,BEGINNING ARABIC I,[None],[None],required
ARAB 1442,BEGINNING ARABIC II,['ARAB 1441'],[None],required
ARAB 1491,CONFERENCE COURSE,[None],[None],required
ARAB 2310,ARABIC CULTURE IN THE WORLD,[None],[None],required
ARAB 2313,INTERMEDIATE ARABIC I,['ARAB 1442'],[None],required
ARAB 2314,INTERMEDIATE ARABIC II,['ARAB 2313'],[None],required
ARAB 2391,CONFERENCE COURSE,[None],[None],required
ARAB 3303,ARABIC CONVERSATION & CULTURE,['ARAB 1442'],[None],required
ARAB 3304,ARABIC CONVERSATION & CULTURE II,['ARAB 2314'],[None],required
ARAB 3305,ARABIC READING AND COMPOSITION,['ARAB 2314'],[None],required
ARAB 3306,ARABIC FOR BUSINESS AND THE PROFESSIONS,['ARAB 2314'],[None],required
ARAB 3310,ARABIC LOCALIZATION AND TRANSLATION,['ARAB 2314'],[None],required
ARAB 3311,ARABIC LOCALIZATION AND TRANSLATION II,['ARAB 3310'],[None],required
ARAB 3312,TOPICS IN ARABIC LITERATURE AND CULTURE,['ARAB 1442'],[None],required
ARAB 3345,INTRODUCTION TO COMPUTER-ASSISTED TRANSLATION,[None],[None],required
ARAB 3391,CONFERENCE COURSE,[None],[None],required
ARAB 3393,ARABIC INTERNSHIP,[None],[None],required
ARAB 4393,ARABIC INTERNSHIP,['ARAB 3000'],[None],required
