Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ARCH 1101,ACADEMIC SUCCESS SKILLS IN ARCHITECTURE,[None],[None],required
ARCH 1191,CONFERENCE COURSE,[None],[None],required
ARCH 1301,INTRODUCTION TO ARCHITECTURE AND INTERIOR DESIGN,[None],[None],required
ARCH 1341,DESIGN COMMUNICATIONS I,[None],[None],required
ARCH 1342,DESIGN COMMUNICATIONS II,"['ARCH 1301', 'ARCH 1341']",[None],required
ARCH 2300,MASTERWORKS OF WESTERN ARCHITECTURE,[None],[None],required
ARCH 2303,HISTORY OF ARCHITECTURE AND INTERIOR DESIGN I,"['ARCH 1301', 'ARCH 1341', 'ARCH 1342']",[None],required
ARCH 2304,HISTORY OF ARCHITECTURE AND INTERIOR DESIGN II,"['ARCH 1301', 'ARCH 1341', 'ARCH 1342', 'ARCH 2303']",[None],required
ARCH 2341,DESIGN COMMUNICATION FOR ENGINEERS,[None],[None],required
ARCH 2391,TOPICS IN ARCHITECTURE,[None],[None],required
ARCH 2551,BASIC DESIGN AND DRAWING I,"['ARCH 1342', 'ARCH 2303']",[None],required
ARCH 2552,BASIC DESIGN AND DRAWING II,"['ARCH 2303', 'ARCH 2551', 'ARCH 2304']",[None],required
ARCH 3312,HISTORY OF CONTEMPORARY THEORY,"['ARCH 2303', 'ARCH 2304']",[None],required
ARCH 3323,CONSTRUCTION MATERIALS AND METHODS,['ARCH 2552'],[None],required
ARCH 3324,STRUCTURES I,"['ARCH 3323', 'PHYS 1441', 'MATH 1327']",[None],required
ARCH 3336,STRUCTURAL SYSTEMS FOR ARCHITECTURAL ENGINEERS,[None],[None],required
ARCH 3343,ARCHITECTURE COMPUTER GRAPHICS (DESIGN COMMUNICATION III),[None],[None],required
ARCH 3354,INTRODUCTION TO ENVIRONMENTAL & SUSTAINABILITY STUDIES,[None],[None],required
ARCH 3357,DESIGN TECHNOLOGIES - BUILDING INFORMATION MODELING FOR ARCHITECTS/ENGINEERS,[None],[None],required
ARCH 3364,SITE DESIGN,[None],[None],required
ARCH 3551,BASIC DESIGN FOR ENGINEERS,"['ARCH 1301', 'ARCH 2341']",[None],required
ARCH 3553,DESIGN STUDIO: ARCHITECTURE I,['ARCH 2552'],[None],required
ARCH 3554,DESIGN STUDIO: ARCHITECTURE II,"['ARCH 3323', 'ARCH 3553', 'ARCH 3343']",[None],required
ARCH 3595,SELECTED TOPICS ARCHITECTURE,[None],[None],required
ARCH 4191,CONFERENCE COURSE,[None],[None],required
ARCH 4305,THE CITY OF ROME,[None],[None],required
ARCH 4306,URBAN DESIGN THEORY,['ARCH 2552'],[None],required
ARCH 4307,THE LIFE OF CITIES,"['ARCH 2303', 'ARCH 2304']",[None],required
ARCH 4308,HISTORY OF URBAN FORM,[None],[None],required
ARCH 4309,"MUSEUMS: HISTORY, CULTURE, DESIGN","['ARCH 2303', 'ARCH 2304']",[None],required
ARCH 4310,SKYSCRAPER HISTORIES,"['ARCH 2303', 'ARCH 2304']",[None],required
ARCH 4311,TOPICS IN ARCHITECTURAL THEORY,"['ARCH 2303', 'ARCH 2304']",[None],required
ARCH 4312,"WHAT MAKES A CITY: CRITICAL ISSUES IN ARCHITECTURE, PLANNING, AND URBAN DESIGN","['ARCH 2303', 'ARCH 2304']",[None],required
ARCH 4313,THE ARCHITECT IN CONTEMPORARY SOCIETY,"['ARCH 2303', 'ARCH 2304']",[None],required
ARCH 4314,HISTORIC PRESERVATION AND RESTORATION,"['ARCH 2303', 'ARCH 2304']",[None],required
ARCH 4315,TOPICS IN THE HISTORY OF ARCHITECTURE AND DESIGN,"['ARCH 2303', 'ARCH 2304']",[None],required
ARCH 4316,MODERN ARCHITECTURE I,"['ARCH 2303', 'ARCH 2304']",[None],required
