Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ART 1300,FIRST YEAR SEMINAR IN ART,[None],[None],required
ART 1301,ART APPRECIATION,[None],[None],required
ART 1305,TWO-DIMENSIONAL DESIGN,[None],[None],required
ART 1306,THREE-DIMENSIONAL DESIGN,[None],[None],required
ART 1307,DRAWING FUNDAMENTALS,[None],[None],required
ART 1309,INTRODUCTION TO ART HISTORY I: PREHISTORIC THROUGH 16TH CENTURY,[None],[None],required
ART 1310,INTRODUCTION TO ART HISTORY II: 17TH CENTURY TO THE PRESENT,[None],[None],required
ART 1317,"INTRODUCTION TO ART HISTORY III: AFRICA, ASIA, AMERICAS",[None],[None],required
ART 2304,DIGITAL MEDIA,[None],[None],required
ART 2308,DRAWING CONCEPTS,[None],[None],required
ART 1348,Credit will not be granted for both ART 1348 and ART 2308 . Prerequisite: ART 1305 and ART 1307 or permission of instructor. ART 2342. GLASSBLOWING,[None],[None],required
ART 2353,VISUAL COMMUNICATION FOUNDATION,['ART 1305'],[None],required
ART 2354,TYPOGRAPHY,['ART 2353'],[None],required
ART 2355,LAYOUT,['ART 2353'],[None],required
ART 2357,DIGITAL PHOTOGRAPHY FOR DESIGNERS,[None],[None],required
ART 2358,CINEMA PRODUCTION 1,[None],[None],required
ART 2360,INTRODUCTION TO PHOTOGRAPHIC CONCEPTS,[None],[None],required
ART 2371,PAINTING,"['ART 1305', 'ART 1307']",[None],required
ART 2387,FILM ANALYSIS AND AESTHETICS,[None],[None],required
ART 3300,METHODS FOR THE STUDY OF ART HISTORY,[None],[None],required
ART 3302,ART OF ANTIQUITY,"['ART 1309', 'ART 1310', 'ART 1317']",[None],required
ART 3304,JAPANESE ART AND ARCHITECTURE,"['ART 1309', 'ART 1310', 'ART 1317']",[None],required
ART 3305,MID-RENAISSANCE,"['ART 1309', 'ART 1310', 'ART 1317']",[None],required
ART 3306,BYZANTINE AND MEDIEVAL ART,"['ART 1309', 'ART 1310', 'ART 1317']",[None],required
ART 3307,THE EARLY RENAISSANCE,"['ART 1309', 'ART 1310', 'ART 1317']",[None],required
ART 3308,HIGH RENAISSANCE,"['ART 1309', 'ART 1310', 'ART 1317']",[None],required
ART 3309,ART OF THE SILK ROADS,"['ART 1309', 'ART 1310', 'ART 1317']",[None],required
ART 3310,FILM AS ART,"['ART 1309', 'ART 1310', 'ART 1317']",[None],required
