Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ASA 1191,AFFILIATED STUDY ABROAD,[None],[None],required
ASA 1291,AFFILIATED STUDY ABROAD,[None],[None],required
ASA 1391,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 1491,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 1591,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 2191,AFFILIATED STUDY ABROAD,[None],[None],required
ASA 2291,AFFILIATED STUDY ABROAD,[None],[None],required
ASA 2391,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 2491,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 2591,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 3191,AFFILIATED STUDY ABROAD,[None],[None],required
ASA 3291,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 3391,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 3491,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 3591,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 4191,AFFILIATED STUDY ABROAD,[None],[None],required
ASA 4291,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 4391,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 4491,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 4591,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 4691,AFFILIATED STUDY ABROAD,[None],[None],required
ASA 5291,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 5391,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 5491,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 5591,AFFILIATED STUDIES ABROAD,[None],[None],required
ASA 5691,AFFILIATED STUDIES ABROAD,[None],[None],required
