Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ASDS 5100,INDEPENDENT STUDY,[None],[None],required
ASDS 5301,STATISTICAL THEORY AND APPLICATIONS,['MATH 3330'],[None],required
ASDS 5302,PRINCIPLE OF DATA SCIENCE,['MATH 3330'],[None],required
ASDS 5303,STATISTICAL AND SCIENTIFIC COMPUTING I,['MATH 3330'],[None],required
ASDS 5304,APPLIED MULTIVARIATE STATISTICAL ANALYSIS,"['ASDS 5301', 'ASDS 5302', 'ASDS 5303']",[None],required
ASDS 5305,DEEP LEARNING AND ARTIFICIAL NEURAL NETWORKS,"['ASDS 5301', 'ASDS 5302', 'ASDS 5303']",[None],required
ASDS 5306,APPLIED TIME SERIES ANALYSIS IN DATA ANALYTICS,"['ASDS 5301', 'ASDS 5302', 'ASDS 5303']",[None],required
ASDS 6300,SPECIAL TOPICS,"['ASDS 5301', 'ASDS 5302', 'ASDS 5303']",[None],required
ASDS 6301,ADVANCE REGRESSION ANALYSIS,['MATH 3330'],[None],required
ASDS 6302,MACHINE LEARNING WITH APPLICATIONS,['MATH 3330'],[None],required
ASDS 6303,DATA MINING WITH INFORMATION VISUALIZATION,['MATH 3330'],[None],required
ASDS 6304,OPTIMIZATION AND BIG DATA ANALYTICS,"['ASDS 5301', 'ASDS 5302', 'ASDS 5303']",[None],required
ASDS 6305,STATISTICAL AND SCIENTIFIC COMPUTING II,"['ASDS 5301', 'ASDS 5302', 'ASDS 5303']",[None],required
ASDS 6306,INTERNSHIP/CAPSTONE RESEARCH PROJECT,"['ASDS 5301', 'ASDS 5302', 'ASDS 5303', 'ASDS 6301', 'ASDS 6302', 'ASDS 6303']",[None],required
