Formal Name,Course Name,Prerequisites,Corequisites,Requirement
BCMN 2347,BROADCAST WRITING AND REPORTING,[None],[None],required
BCMN 2357,RADIO PRODUCTION I,[None],[None],required
BCMN 2358,VIDEO PRODUCTION,[None],[None],required
BCMN 2360,INTRODUCTION TO BROADCASTING,[None],[None],required
BCMN 2366,AERIAL VIDEOGRAPHY AND PHOTOGRAPHY,[None],[None],required
BCMN 3319,BROADCAST MANAGEMENT,[None],[None],required
BCMN 3340,ELECTRONIC NEWS,"['COMM 2311', 'BCMN 2347', 'BCMN 2357', 'BCMN 2358', 'BCMN 2360']",[None],required
BCMN 3350,SPECIALIZED TELEVISION REPORTING,['BCMN 3340'],[None],required
BCMN 3355,BROADCAST ANNOUNCING,"['COMM 2311', 'BCMN 2347', 'BCMN 2357', 'BCMN 2358', 'BCMN 2360']",[None],required
BCMN 3360,SPORTS REPORTING,['COMM 2311'],[None],required
BCMN 3370,MULTIMEDIA PRODUCTION,[None],[None],required
BCMN 3380,PODCAST PRODUCTION,[None],[None],required
BCMN 4191,MEDIA WORKSHOP,[None],[None],required
BCMN 4192,VIDEO PRODUCTION WORKSHOP,['BCMN 2358'],[None],required
BCMN 4193,TELEVISION PRODUCTION WORKSHOP,['BCMN 2358'],[None],required
BCMN 4194,AUDIO PRODUCTION WORKSHOP,[None],[None],required
BCMN 4320,CURRENT ISSUES IN TELECOMMUNICATIONS,"['COMM 3315', 'BCMN 3319', 'BCMN 3340']",[None],required
BCMN 4322,CORPORATE VIDEO PRODUCTION,"['COMM 3315', 'BCMN 3340']",[None],required
BCMN 4350,ADVANCED TELEVISION REPORTING,"['COMM 3315', 'BCMN 3340']",[None],required
BCMN 4391,CONFERENCE COURSE,[None],[None],required
BCMN 4393,SPECIAL TOPICS,['BCMN 3340'],[None],required
BCMN 4395,PROFESSIONAL INTERNSHIP,[None],[None],required
