Formal Name,Course Name,Prerequisites,Corequisites,Requirement
BEEP 3381,INTRODUCTION TO SPECIAL LANGUAGE PROGRAMS,[None],[None],required
BEEP 4302,IMPLEMENTATION OF EC-6 DUAL LANGUAGE CURRICULUM MODELS,['BEEP 4305'],[None],required
BEEP 4305,BILITERACY DEVELOPMENT IN DUAL LANGUAGE PROGRAMS,[None],[None],required
BEEP 4306,FAMILY LITERACY AND SECOND LANGUAGE ACQUISITION,['BEEP 3381'],[None],required
BEEP 4311,MATH IN DUAL LANGUAGE SETTINGS,['BEEP 3381'],[None],required
BEEP 4312,SCIENCE AND HEALTH EDUCATION IN DUAL LANGUAGE SETTINGS,[None],[None],required
BEEP 4314,CREATIVE ARTS AND SOCIAL STUDIES IN DUAL LANGUAGE SETTINGS,[None],[None],required
BEEP 4319,ASSESSMENT OF CULTURALLY AND LINGUISTICALLY DIVERSE STUDENTS IN EC-6 SETTINGS,[None],[None],required
BEEP 4366,SPANISH FOR TEACHERS IN DUAL LANGUAGE PROGRAMS: AN IMMERSION APPROACH,[None],[None],required
BEEP 4382,LITERACY INSTRUCTION IN SPANISH FOR THE BILINGUAL CLASSROOM,"['BEEP 4305', 'BEEP 4302']",[None],required
BEEP 4384,LITERACY METHODS FOR ESL/BILINGUAL CLASSROOMS,"['BEEP 3381', 'BEEP 4306']",[None],required
BEEP 4385,SHELTERED ENGLISH INSTRUCTION,['BEEP 3381'],[None],required
BEEP 4687,CLINICAL TEACHING IN EC-6 BILINGUAL/ESL CLASSROOMS,"['BEEP 4311', 'BEEP 4312', 'BEEP 4314']",[None],required
BEEP 5315,CLINICAL TEACHING,[None],[None],required
BEEP 5318,FOUNDATIONS IN BILINGUAL EDUCATION,[None],[None],required
BEEP 5321,ESL METHODS FOR EC-6 LEARNERS,[None],[None],required
BEEP 5361,LANGUAGE LEARNING: EDUCATIONAL PERSPECTIVES PRACTICUM II,[None],[None],required
BEEP 5362,LITERACY INSTRUCTION IN ESL/BILINGUAL SETTINGS,[None],[None],required
BEEP 5363,LITERACY DEVELOPMENT IN ENGLISH AND SPANISH,[None],[None],required
BEEP 5364,LITERACY INSTRUCTION IN SPANISH IN THE CONTENT AREAS,[None],[None],required
BEEP 5365,ORGANIZATION & ADMINISTRATION OF DUAL LANGUAGE PROGRAMS,['BEEP 5318'],[None],required
BEEP 5366,SPANISH FOR SCHOOL ADMINISTRATORS & TEACHERS,[None],[None],required
BEEP 5391,INDEPENDENT RESEARCH,[None],[None],required
