Formal Name,Course Name,Prerequisites,Corequisites,Requirement
BIOL 1131,BIOLOGY FOUNDATIONS,[None],[None],required
BIOL 1301,NUTRITION,[None],[None],required
BIOL 1333,BIOLOGY FOR NON-SCIENCE MAJORS: CELLS AND DISEASE,[None],[None],required
BIOL 1334,BIOLOGY FOR NON-SCIENCE MAJORS: LIFE ON EARTH,[None],[None],required
BIOL 1345,INTRODUCTION TO CELL BIOLOGY,[None],[None],required
BIOL 1441,BIOLOGY I FOR SCIENCE MAJORS: CELL AND MOLECULAR BIOLOGY,[None],[None],required
BIOL 1442,BIOLOGY II FOR SCIENCE MAJORS: ECOLOGY AND EVOLUTION,['BIOL 1441'],[None],required
BIOL 2317,BASIC CONCEPTS IN HUMAN SEXUALITY,[None],[None],required
BIOL 2444,GENERAL MICROBIOLOGY,"['BIOL 1441', 'CHEM 1441']",[None],required
BIOL 2457,HUMAN ANATOMY AND PHYSIOLOGY I,['BIOL 1345'],[None],required
BIOL 2458,HUMAN ANATOMY AND PHYSIOLOGY II,['BIOL 2457'],[None],required
BIOL 2460,MICROBIOLOGY FOR NON-SCIENCE MAJORS,"['BIOL 1345', 'BIOL 1441']",[None],required
BIOL 3101,CURRENT TOPICS IN BIOLOGY,[None],[None],required
BIOL 3131,SERVICE LEARNING,[None],[None],required
BIOL 3149,COOPERATIVE PROGRAM IN BIOLOGY,[None],[None],required
BIOL 3231,SERVICE LEARNING,[None],[None],required
BIOL 3249,COOPERATIVE PROGRAM IN BIOLOGY,[None],[None],required
BIOL 3300,BIOSTATISTICS,['BIOL 1441'],[None],required
BIOL 3301,CELL PHYSIOLOGY,['BIOL 1441'],[None],required
BIOL 3302,UNDERGRADUATE RESEARCH EXPERIENCE,[None],[None],required
BIOL 3303,DRUGS AND BEHAVIOR,[None],[None],required
BIOL 3304,MICROBIAL GENETICS,['BIOL 2444'],[None],required
BIOL 3306,BACTERIAL PHYSIOLOGY AND ANTIBIOTICS,['BIOL 2444'],[None],required
BIOL 3307,EVOLUTIONARY MEDICINE,[None],[None],required
BIOL 3308,MICROBIAL ECOLOGY AND EVOLUTION,['BIOL 2444'],[None],required
BIOL 3310,SELECTED TOPICS IN BIOLOGY,[None],[None],required
BIOL 3311,SELECTED TOPICS IN MICROBIOLOGY,[None],[None],required
BIOL 3312,IMMUNOLOGY,"['BIOL 1441', 'BIOL 2444']",[None],required
BIOL 3313,HUMAN ADAPTATION AND THE CONCEPT OF RACE,[None],[None],required
BIOL 3314,PRIMATE EVOLUTION AND BEHAVIOR,[None],[None],required
BIOL 3315,GENETICS,['BIOL 1441'],[None],required
BIOL 3316,ASTROBIOLOGY I,"['PHYS 1441', 'PHYS 2315']",[None],required
BIOL 3317,GENOMICS,['BIOL 3315'],[None],required
BIOL 3318,LIMNOLOGY,['BIOL 1441'],[None],required
