Formal Name,Course Name,Prerequisites,Corequisites,Requirement
BLAW 3310,LEGAL AND ETHICAL ENVIRONMENT OF BUSINESS,[None],[None],required
BLAW 3311,LAW I,[None],[None],required
BLAW 3312,LAW II,[None],[None],required
BLAW 3314,REAL ESTATE LAW,[None],[None],required
BLAW 4310,BASIC INTERNATIONAL LAW FOR BUSINESS,[None],[None],required
BLAW 4332,BUSINESS LAW FOR ACCOUNTANTS,[None],[None],required
BLAW 5330,LEGAL ENVIRONMENT OF BUSINESS,[None],[None],required
BLAW 5331,LAW OF INTERNATIONAL BUSINESS,[None],[None],required
BLAW 5332,BUSINESS LAW FOR ACCOUNTANTS,[None],[None],required
BLAW 5392,SELECTED TOPICS IN BUSINESS LAW,[None],[None],required
