Formal Name,Course Name,Prerequisites,Corequisites,Requirement
BSAD 6182,INDEPENDENT STUDIES IN BUSINESS ADMINISTRATION,[None],[None],required
BSAD 6310,FOUNDATIONS OF SCIENTIFIC INQUIRY,[None],[None],required
BSAD 6311,EXPERIMENTAL DESIGN AND RESEARCH METHODS,[None],[None],required
BSAD 6312,REGRESSION,[None],[None],required
BSAD 6313,ANOVA,[None],[None],required
BSAD 6314,MULTIVARIATE STATISTICS,[None],[None],required
BSAD 6315,TIME SERIES,[None],[None],required
BSAD 6316,FINANCIAL ECONOMETRICS,[None],[None],required
BSAD 6317,APPLIED BUSINESS & ECONOMICS DATA ANALYSIS I,['STAT 5325'],[None],required
BSAD 6318,APPLIED BUSINESS AND ECONOMICS DATA ANALYSIS II,"['ECON 5336', 'ECON 5339']",[None],required
BSAD 6319,BUSINESS & ECONOMIC FORECASTING,['ECON 5336'],[None],required
BSAD 6320,CAUSAL INFERENCE FOR BUSINESS DECISIONS,"['ECON 5336', 'ECON 5339']",[None],required
BSAD 6321,FOUNDATIONS OF STRUCTURAL EQUATION MODELING,[None],[None],required
BSAD 6322,MODELING IN BUSINESS RESEARCH,[None],[None],required
BSAD 6323,DATA ANALYTICS SEMINAR,[None],[None],required
BSAD 6330,NONPARAMETRIC STATISTICS,['STAT 5325'],[None],required
BSAD 6392,DOCTORAL RESEARCH AND TEACHING COLLOQUIUM,[None],[None],required
BSAD 6399,DISSERTATION,[None],[None],required
BSAD 6699,DISSERTATION,[None],[None],required
BSAD 6999,DISSERTATION,[None],[None],required
BSAD 7399,DOCTORAL DEGREE COMPLETION,[None],[None],required
