Formal Name,Course Name,Prerequisites,Corequisites,Requirement
CE 1000,FRESHMAN UNDERGRADUATE RESEARCH,[None],[None],required
CE 1105,INTRODUCTION TO CIVIL ENGINEERING,[None],[None],required
CE 1252,COMPUTER TOOLS - AUTOCAD,['MATH 1302'],[None],required
CE 1353,INTRODUCTION TO COMPUTER AIDED DESIGN TOOLS IN CIVIL ENGINEERING,['MATH 1421'],[None],required
CE 2000,SOPHOMORE UNDERGRADUATE RESEARCH,[None],[None],required
CE 2152,COMPUTER TOOLS - MATHCAD,['PHYS 1443'],[None],required
CE 2153,COMPUTER TOOLS - CIVIL 3D,['CE 1252'],[None],required
CE 2191,PROBLEMS IN CIVIL ENGINEERING,[None],[None],required
CE 2221,DYNAMICS,"['CE 2311', 'MATH 2425']",[None],required
CE 2291,PROBLEMS IN CIVIL ENGINEERING,[None],[None],required
CE 2311,STATICS,['PHYS 1443'],[None],required
CE 2312,STATICS AND DYNAMICS FOR NON-CE MAJORS,"['PHYS 1443', 'MATH 2425']",[None],required
CE 2313,MECHANICS OF MATERIALS I,"['CE 2311', 'MATH 2425']",[None],required
CE 2331,ENGINEERING MEASUREMENT AND COMPUTER MODELING,['CE 2153'],[None],required
CE 2391,PROBLEMS IN CIVIL ENGINEERING,[None],[None],required
CE 3000,JUNIOR UNDERGRADUATE RESEARCH,[None],[None],required
CE 3131,ENVIRONMENTAL ANALYSIS,['CE 3334'],[None],required
CE 3142,APPLIED FLUID MECHANICS LAB,['CE 3305'],[None],required
CE 3143,PROPERTIES AND BEHAVIOR OF SOILS,['CE 3343'],[None],required
CE 3210,CIVIL ENGINEERING COMMUNICATIONS,['COMS 2302'],[None],required
CE 3253,APPLICATIONS OF COMPUTER-BASED DESIGN PROGRAMS IN CIVIL ENGINEERING,"['CE 2153', 'CE 2331']",[None],required
CE 3300,INTRODUCTION TO SUSTAINABLE ENGINEERING,[None],[None],required
CE 3301,STOCHASTIC MODELS FOR CIVIL ENGINEERING,['MATH 2425'],[None],required
CE 3302,TRANSPORTATION ENGINEERING,"['CE 2331', 'CE 3301']",[None],required
CE 3305,BASIC FLUID MECHANICS,"['CE 2311', 'MATH 3319']",[None],required
CE 3311,CONSTRUCTION ENGINEERING,['IE 2308'],[None],required
CE 3334,PRINCIPLES OF ENVIRONMENTAL ENGINEERING,"['CHEM 1465', 'CE 3305', 'CE 3131']",[None],required
CE 3341,STRUCTURAL ANALYSIS,['CE 2313'],[None],required
CE 3342,WATER RESOURCES ENGINEERING,"['CE 3301', 'CE 3305', 'CE 3142']",[None],required
CE 3343,SOIL MECHANICS,"['CE 2313', 'CE 3143']",[None],required
CE 3361,PROPERTIES & BEHAVIOR OF CIVIL ENGINEERING MATERIALS,"['CE 2313', 'CE 3143']",[None],required
CE 4000,SENIOR UNDERGRADUATE RESEARCH,[None],[None],required
CE 4191,PROBLEMS IN CIVIL ENGINEERING,[None],[None],required
CE 4291,PROBLEMS IN CIVIL ENGINEERING,[None],[None],required
CE 4300,ADVANCED TOPICS IN CIVIL ENGINEERING,[None],[None],required
CE 4301,ADVANCED TOPICS IN CIVIL ENGINEERING WITH LAB,[None],[None],required
CE 4302,ADVANCED CONCRETE MATERIALS,['CE 3361'],[None],required
CE 4303,CONSTRUCTION PROJECT ADMINISTRATION,['CE 3311'],[None],required
CE 4304,"CONSTRUCTION CONTRACTS, SPECIFICATIONS, & ADMINISTRATION",['CE 3311'],[None],required
CE 4305,TRENCHLESS TECHNOLOGY METHODS,['CE 3311'],[None],required
CE 4306,INFRASTRUCTURE ASSET MANAGEMENT,['CE 3311'],[None],required
CE 4307,CONSTRUCTION SUSTAINABILITY,['CE 3311'],[None],required
CE 4308,TEMPORARY STRUCTURES,"['CE 3341', 'CE 3343']",[None],required
CE 4309,ADVANCED MATERIALS MECHANICAL TESTING AND CHARACTERIZATION,['CE 3361'],[None],required
CE 4310,SYSTEM EVALUATION IN CIVIL ENGINEERING,"['IE 2308', 'CE 3301']",[None],required
CE 4311,URBAN TRANSPORTATION INFRASTRUCTURE PLANNING,['CE 3302'],[None],required
CE 4312,STREET AND HIGHWAY DESIGN,['CE 3302'],[None],required
CE 4313,TRAFFIC ENGINEERING,['CE 3302'],[None],required
CE 4314,INTRODUCTION TO RAILROAD ENGINEERING,['CE 3302'],[None],required
CE 4318,MACHINE LEARNING IN CIVIL ENGINEERING,['CE 3301'],[None],required
CE 4319,CIVIL ENGINEERING INFORMATICS,['CE 3301'],[None],required
CE 4320,EARTH STRUCTURES DESIGN,['CE 3343'],[None],required
CE 4321,FOUNDATION ENGINEERING,"['CE 3341', 'CE 3343']",[None],required
CE 4322,APPLICATIONS WITH GEOSYNTHETICS,['CE 3343'],[None],required
CE 4323,LANDFILL DESIGN,['CE 3343'],[None],required
CE 4324,MECHANICS OF MATERIALS II,['CE 2313'],[None],required
CE 4325,FUNDAMENTALS OF FINITE ELEMENT METHOD,['CE 3341'],[None],required
CE 4326,GIS/HYDROLOGIC AND HYDRAULIC MODELING,['CE 3342'],[None],required
CE 4327,SITE REMEDIATION ENGINEERING,['CE 3334'],[None],required
CE 4328,WATER SYSTEM DESIGN,['CE 3342'],[None],required
CE 4330,HYDRAULIC DESIGN,['CE 3342'],[None],required
CE 4332,"CONSTRUCTION EQUIPMENT, METHODS, & MANAGEMENT",['CE 3311'],[None],required
CE 4334,DRONES & ADVANCED CONSTRUCTION TECHNOLOGY,"['CE 2331', 'CE 3311']",[None],required
CE 4335,GEOTECHNICAL ASPECTS OF CONSTRUCTION,['CE 3343'],[None],required
CE 4336,HOT MIX ASPHALT DESIGN & CONSTRUCTION,['CE 3361'],[None],required
CE 4337,PORTLAND CEMENT CONCRETE PAVEMENTS,['CE 3361'],[None],required
CE 4347,REINFORCED CONCRETE DESIGN,['CE 3341'],[None],required
CE 4348,STRUCTURAL DESIGN IN STEEL,['CE 3341'],[None],required
CE 4350,INTRODUCTION TO AIR POLLUTION,['CE 3334'],[None],required
CE 4351,PHYSICAL UNIT PROCESSES,"['CE 3131', 'CE 3334']",[None],required
CE 4352,PROFESSIONAL PRACTICE,"['CE 3210', 'CE 3311']",[None],required
CE 4353,WATER CHEMISTRY,"['CE 3334', 'CE 3131']",[None],required
