Formal Name,Course Name,Prerequisites,Corequisites,Requirement
CHEM 1101,SUCCESS IN CHEMISTRY AND BIOCHEMISTRY,[None],[None],required
CHEM 1181,GENERAL CHEMISTRY I LABORATORY FOR ADVANCED CHEMICAL TECHNOLOGIES,['CHEM 1341'],[None],required
CHEM 1182,GENERAL CHEMISTRY II LABORATORY FOR ADVANCED CHEMICAL TECHNOLOGIES,"['CHEM 1341', 'CHEM 1181', 'CHEM 1342']",[None],required
CHEM 1185,CHEMISTRY FOR ENGINEERS LABORATORY,[None],[None],required
CHEM 1188,GENERAL CHEMISTRY I LABORATORY,[None],[None],required
CHEM 1189,GENERAL CHEMISTRY II LABORATORY,['CHEM 1188'],[None],required
CHEM 1341,GENERAL CHEMISTRY I,"['MATH 1302', 'CHEM 1181']",[None],required
CHEM 1342,GENERAL CHEMISTRY II,"['CHEM 1341', 'CHEM 1181', 'CHEM 1182']",[None],required
CHEM 1345,CHEMISTRY IN THE WORLD AROUND US,[None],[None],required
CHEM 1346,"SEX, DRUGS, AND ARTIFICIAL INTELLIGENCE",[None],[None],required
CHEM 1400,INTRODUCTORY CHEMICAL PRINCIPLES,"['MATH 1302', 'MATH 1402']",[None],required
CHEM 1441,GENERAL CHEMISTRY I,['MATH 1302'],[None],required
CHEM 1442,GENERAL CHEMISTRY II,['CHEM 1441'],[None],required
CHEM 1451,CHEMISTRY FOR HEALTH SCIENCES,['MATH 1301'],[None],required
CHEM 1465,CHEMISTRY FOR ENGINEERS,['MATH 1322'],[None],required
CHEM 2101,CHEMICAL INFORMATICS I,"['CHEM 1442', 'MATH 1426']",[None],required
CHEM 2180,RESEARCH IN CHEMISTRY,[None],[None],required
CHEM 2181,ORGANIC CHEMISTRY I LABORATORY,"['CHEM 1442', 'CHEM 1343']",['CHEM 2321'],required
CHEM 2182,ORGANIC CHEMISTRY II LABORATORY,"['CHEM 2181', 'CHEM 2321']",['CHEM 2322'],required
CHEM 2283,SYNTHESIS AND ANALYSIS LABORATORY I,"['CHEM 1442', 'CHEM 1182']","['CHEM 2321', 'CHEM 2335']",required
