Formal Name,Course Name,Prerequisites,Corequisites,Requirement
CHIN 1441,BEGINNING CHINESE I,[None],[None],required
CHIN 1442,BEGINNING CHINESE II,['CHIN 1441'],[None],required
CHIN 1491,CONFERENCE COURSE,[None],[None],required
CHIN 2301,LITERATURE IN TRANSLATION,"['ENGL 1301', 'ENGL 1302']",[None],required
CHIN 2310,CHINESE CULTURE IN THE WORLD,[None],[None],required
CHIN 2311,TOPICS IN CHINESE LANGUAGE AND CULTURE FOR STUDY ABROAD,[None],[None],required
CHIN 2313,INTERMEDIATE CHINESE I,['CHIN 1442'],[None],required
CHIN 2314,INTERMEDIATE CHINESE II,['CHIN 2313'],[None],required
CHIN 2391,CONFERENCE COURSE,[None],[None],required
CHIN 3303,CHINESE CONVERSATION,['CHIN 2314'],[None],required
CHIN 3304,CHINESE CONVERSATION AND CULTURE II,['CHIN 2314'],[None],required
CHIN 3305,CHINESE READING AND COMPOSITION,['CHIN 2314'],[None],required
CHIN 3310,CHINESE LOCALIZATION AND TRANSLATION,['CHIN 2314'],[None],required
CHIN 3311,CHINESE LOCALIZATION AND TRANSLATION II,['CHIN 3310'],[None],required
CHIN 3345,INTRODUCTION TO COMPUTER-ASSISTED TRANSLATION,[None],[None],required
CHIN 3391,CONFERENCE COURSE,[None],[None],required
CHIN 3393,CHINESE INTERNSHIP,[None],[None],required
CHIN 4334,CONTEMPORARY CHINESE CULTURE,[None],[None],required
CHIN 4335,BUSINESS CHINESE,[None],[None],required
CHIN 4336,CLASSICAL CHINESE THOUGHT: THE ART OF WAR BY SUN TZU,[None],[None],required
CHIN 4391,CONFERENCE COURSE,[None],[None],required
CHIN 4393,CHINESE INTERNSHIP,['CHIN 3000'],[None],required
