Formal Name,Course Name,Prerequisites,Corequisites,Requirement
CLAS 1300,INTRODUCTION TO CLASSICAL MYTHOLOGY,[None],[None],required
CLAS 2105,CLASSICAL STUDIES ABROAD,[None],[None],required
CLAS 2300,HOLLYWOOD CLASSICS: THE ANCIENT WORLD IN FILM,[None],[None],required
CLAS 2303,THE CLASSICAL ROOTS OF ENGLISH VOCABULARY,[None],[None],required
CLAS 2305,TOPICS IN CLASSICAL CIVILIZATION,[None],[None],required
CLAS 2307,WOMEN IN THE ANCIENT WORLD,[None],[None],required
CLAS 3310,INTRODUCTION TO GREEK CIVILIZATION,[None],[None],required
CLAS 3320,INTRODUCTION TO ROMAN CIVILIZATION,[None],[None],required
CLAS 3323,TOPICS IN CLASSICAL MYTHOLOGY,[None],[None],required
CLAS 3335,TOPICS IN CLASSICAL STUDIES,[None],[None],required
CLAS 4391,CONFERENCE COURSE,[None],[None],required
CLAS 4394,SENIOR THESIS/HONORS THESIS,[None],[None],required
CLAS 5392,TOPICS IN CLASSICAL STUDIES,[None],[None],required
