Formal Name,Course Name,Prerequisites,Corequisites,Requirement
COMM 1300,INTRODUCTION TO COMMUNICATION,[None],[None],required
COMM 2195,COMMUNICATION CAREER PRACTICUM,[None],[None],required
COMM 2311,WRITING FOR MASS MEDIA,[None],[None],required
COMM 2393,SPECIAL TOPICS,[None],[None],required
COMM 3300,COMMUNICATION TECHNOLOGY,[None],[None],required
COMM 3303,COMMUNICATION GRAPHICS,[None],[None],required
COMM 3310,COMMUNICATION LAW & ETHICS,[None],[None],required
COMM 3315,COMMUNICATION THEORY,[None],[None],required
COMM 3345,"VISUALIZING CULTURE: MEDIA, IDENTITY AND POLITICS IN THE GLOBAL WORLD",[None],[None],required
COMM 3346,DISABILITY IN MASS MEDIA,[None],[None],required
COMM 3350,HEALTH COMMUNICATION,[None],[None],required
COMM 4191,READINGS IN COMMUNICATION,[None],[None],required
COMM 4300,COMMUNICATION RESEARCH,['COMM 3315'],[None],required
COMM 4305,COMMUNICATION & SOCIETY,['COMM 3315'],[None],required
COMM 4306,"RACE, GENDER, AND MEDIA",['COMM 3315'],[None],required
COMM 4318,MEDIA SALES AND PROMOTION,['COMM 3315'],[None],required
COMM 4325,COMMUNICATION HISTORY,['COMM 3315'],[None],required
COMM 4330,POLITICAL COMMUNICATION,['COMM 3315'],[None],required
COMM 4335,INTERCULTURAL COMMUNICATION,['COMM 3315'],[None],required
COMM 4340,CORPORATE COMMUNICATION,['COMM 3315'],[None],required
COMM 4343,COMMUNICATION AND LEADERSHIP AMBASSADORS,['COMM 3315'],[None],required
COMM 4351,FAMILY AND HEALTH COMMUNICATION,['COMM 3350'],[None],required
COMM 4352,COMMUNICATION AND HEALTH DISPARITIES,[None],[None],required
COMM 4360,EMERGING MEDIA STRATEGY,"['BCMN 2370', 'PREL 3320', 'COMM 3303', 'CTEC 2350']",[None],required
COMM 4391,CONFERENCE COURSE,[None],[None],required
COMM 4392,ADVOCACY AND POLITICS,"['POLS 2311', 'POLS 2312']",[None],required
COMM 4393,COMMUNICATION TOPICS,[None],[None],required
COMM 4394,HON THESIS / SENIOR PROJECT,[None],[None],required
COMM 5300,ADVANCED THEORIES IN COMMUNICATION,[None],[None],required
COMM 5301,SUPERVISED TEACHING,[None],[None],required
COMM 5305,COMMUNICATION RESEARCH METHODS,[None],[None],required
COMM 5306,QUALITATIVE RESEARCH METHODS,"['COMM 5300', 'COMM 5305']",[None],required
COMM 5307,HISTORICAL RESEARCH METHODS IN COMMUNICATION,[None],[None],required
COMM 5310,THEORIES IN PERSUASION,[None],[None],required
COMM 5316,CORPORATION COMMUNICATION STRATEGIES,[None],[None],required
COMM 5320,ADVANCED VISUAL COMMUNICATION,[None],[None],required
COMM 5321,ADVANCED INTERNET MARKETING COMMUNICATION,[None],[None],required
COMM 5323,COMPUTER-MEDIATED COMMUNICATION,[None],[None],required
COMM 5332,ADVANCED PROFESSIONAL COMMUNICATION,[None],[None],required
COMM 5335,GLOBAL COMMUNICATION,[None],[None],required
COMM 5341,MEDIA MANAGEMENT,[None],[None],required
COMM 5345,COMMUNICATION CAMPAIGNS,[None],[None],required
COMM 5346,MEDIA AND PUBLIC POLICY,[None],[None],required
COMM 5347,CRISIS COMMUNICATION,[None],[None],required
COMM 5349,COMMUNICATION IN VIRTUAL ORGANIZATIONS,[None],[None],required
COMM 5350,HEALTH COMMUNICATION,[None],[None],required
COMM 5351,POLITICAL COMMUNICATION,[None],[None],required
COMM 5352,SOCIAL MEDIA THEORY AND PRACTICE,[None],[None],required
COMM 5353,DIGITAL MEDIA DATA ANALYTICS,[None],[None],required
COMM 5391,CONFERENCE COURSE,[None],[None],required
COMM 5392,SEMINAR,[None],[None],required
COMM 5398,THESIS,[None],[None],required
COMM 5399,GRADUATE COMMUNICATION INTERNSHIP,[None],[None],required
COMM 5698,THESIS,[None],[None],required
