Formal Name,Course Name,Prerequisites,Corequisites,Requirement
COMS 0185,FORENSICS,[None],[None],required
COMS 1301,FUNDAMENTALS OF PUBLIC SPEAKING,[None],[None],required
COMS 1302,VOICE AND DICTION,[None],[None],required
COMS 2302,PROFESSIONAL AND TECHNICAL COMMUNICATION FOR SCIENCE AND ENGINEERING,['ENGL 1301'],[None],required
COMS 2304,GROUP COMMUNICATION PRINCIPLES,[None],[None],required
COMS 2305,BUSINESS AND PROFESSIONAL COMMUNICATION,[None],[None],required
COMS 3309,ORGANIZATIONAL COMMUNICATION,['COMS 2304'],[None],required
COMS 3310,GROUP COMMUNICATION THEORY,['COMS 2304'],[None],required
COMS 3312,BACKGROUNDS OF PUBLIC ADDRESS,"['COMS 1301', 'COMS 2304']",[None],required
COMS 3315,COMMUNICATION FOR EDUCATORS,"['COMS 1301', 'COMS 2304']",[None],required
COMS 3316,COMMUNICATION IN HUMAN RELATIONS,[None],[None],required
COMS 3320,INTERVIEW PRINCIPLES,"['COMS 1301', 'COMS 2302', 'COMS 2305']",[None],required
COMS 3321,ORAL INTERPRETATION OF LITERATURE,['COMS 1301'],[None],required
COMS 3323,ORAL INTERPRETATION OF CHILDREN'S LITERATURE,"['COMS 1301', 'COMS 2302', 'COMS 2304', 'COMS 2305']",[None],required
COMS 4300,PERSUASIVE COMMUNICATION,"['COMM 3315', 'COMS 1301', 'COMS 2304']",[None],required
COMS 4302,MODERN PUBLIC ADDRESS,"['COMM 3315', 'COMS 1301', 'COMS 2302', 'COMS 2304', 'COMS 2305']",[None],required
COMS 4315,PROFESSIONAL PRESENTATIONS,"['COMS 1301', 'COMS 2302', 'COMS 2304', 'COMS 2305']",[None],required
COMS 4320,MANAGERIAL COMMUNICATION,"['COMM 3315', 'COMS 3309']",[None],required
COMS 4321,READERS THEATRE,['COMM 3315'],[None],required
COMS 4322,COMMUNICATION TRAINING AND DEVELOPMENT,"['COMS 1301', 'COMS 2302', 'COMS 2304', 'COMS 2305']",[None],required
COMS 4391,CONFERENCE COURSE,[None],[None],required
COMS 4393,COMMUNICATION TOPICS,[None],[None],required
COMS 4395,PROFESSIONAL INTERNSHIP,[None],[None],required
