Formal Name,Course Name,Prerequisites,Corequisites,Requirement
CRCJ 2334,INTRODUCTION TO THE CRIMINAL JUSTICE SYSTEM,[None],[None],required
CRCJ 2335,ETHICS AND THE CRIMINAL JUSTICE SYSTEM,[None],[None],required
CRCJ 2340,CRIMINAL INVESTIGATION,[None],[None],required
CRCJ 2350,INTRODUCTION TO LAW ENFORCEMENT,[None],[None],required
CRCJ 3300,THEORETICAL CRIMINOLOGY,['CRCJ 2334'],[None],required
CRCJ 3307,INTRODUCTION TO SECURITY SYSTEMS,[None],[None],required
CRCJ 3310,PROFESSIONAL WRITING FOR CRCJ MAJORS,[None],[None],required
CRCJ 3320,CYBERCRIME,[None],[None],required
CRCJ 3330,FUNDAMENTALS OF LAW,[None],[None],required
CRCJ 3336,POLICE MANAGEMENT AND ADMINISTRATION,[None],[None],required
CRCJ 3337,ADVANCED CRIMINAL PROCEDURE,[None],[None],required
CRCJ 3338,JUVENILE JUSTICE SYSTEMS,[None],[None],required
CRCJ 3340,CRIMINAL JUSTICE STATISTICS,"['CRCJ 2334', 'CRCJ 3350']",[None],required
CRCJ 3350,INTRODUCTION TO RESEARCH METHODS IN CRIMINOLOGY AND CRIMINAL JUSTICE,[None],[None],required
CRCJ 3370,INTRODUCTION TO FORENSICS,[None],[None],required
CRCJ 3371,CRIME SCENE INVESTIGATION,['CRCJ 3370'],[None],required
CRCJ 3380,"RACE, CRIME, AND JUSTICE",['CRCJ 2334'],[None],required
CRCJ 3385,WOMEN AND CRIME,[None],[None],required
CRCJ 3390,VICTIMOLOGY,[None],[None],required
CRCJ 3395,DRUG USE AND ABUSE,[None],[None],required
CRCJ 4191,CONFERENCE COURSE,[None],[None],required
CRCJ 4291,CONFERENCE COURSE IN CRIMINAL JUSTICE,[None],[None],required
CRCJ 4301,THE AMERICAN JUDICIAL SYSTEM,[None],[None],required
CRCJ 4302,MOCK TRIAL l,[None],[None],required
CRCJ 4303,MOCK TRIAL II,[None],[None],required
CRCJ 4309,PRIVATE SECURITY ADMINISTRATION,['CRCJ 3307'],[None],required
CRCJ 4313,SERIAL KILLERS,[None],[None],required
CRCJ 4315,WHITE-COLLAR AND CORPORATE CRIME,[None],[None],required
CRCJ 4325,GANGS,[None],[None],required
CRCJ 4332,COMMUNITY CORRECTIONS,[None],[None],required
CRCJ 4333,INSTITUTIONAL CORRECTIONS,[None],[None],required
CRCJ 4340,FORENSIC DEATH INVESTIGATION,['CRCJ 3370'],[None],required
CRCJ 4341,FORENSIC EXAMINATION OF IMPRESSION EVIDENCE,"['CRCJ 3370', 'CRCJ 3371']",[None],required
CRCJ 4342,FORENSIC HAIR AND FIBER IDENTIFICATION,['CRCJ 3370'],[None],required
CRCJ 4343,FORENSIC EXPERT TESTIMONY,['CRCJ 3370'],[None],required
CRCJ 4344,CRIME ACROSS THE LIFE COURSE,[None],[None],required
CRCJ 4345,CRIME AND THE CRIMINAL JUSTICE SYSTEM IN THE MEDIA,[None],[None],required
CRCJ 4352,TERRORISM AND MASS VIOLENCE,[None],[None],required
CRCJ 3352,CRCJ 4355. ORGANIZED CRIME: NATIONAL AND INTERNATIONAL,[None],[None],required
CRCJ 4357,FORENSIC FIREARMS IDENTIFICATION,['CRCJ 3370'],[None],required
CRCJ 4365,CAPITAL PUNISHMENT,[None],[None],required
CRCJ 4380,COMPARATIVE CRIMINAL JUSTICE SYSTEMS,[None],[None],required
CRCJ 4386,TOPICS IN CORRECTIONS,[None],[None],required
CRCJ 4387,TOPICS IN CRIME AND CRIMINOLOGY,[None],[None],required
CRCJ 4388,TOPICS IN LAW AND JUDICIAL PROCESSES,[None],[None],required
CRCJ 4389,TOPICS IN LAW ENFORCEMENT AND PRIVATE SECURITY,[None],[None],required
CRCJ 4390,INTERNSHIP IN CRIMINAL JUSTICE,[None],[None],required
CRCJ 4391,CONFERENCE COURSE IN CRIMINAL JUSTICE,[None],[None],required
CRCJ 4394,HONORS THESIS/SENIOR PROJECT,[None],[None],required
CRCJ 5196,CONFERENCE COURSE CRJU,[None],[None],required
CRCJ 5301,PROSEMINAR IN CRIMINOLOGY AND CRIMINAL JUSTICE,[None],[None],required
CRCJ 5309,RESEARCH METHODS IN CRIMINAL JUSTICE,[None],[None],required
CRCJ 5310,STATISTICS & RESEARCH PRACTICES IN CRIMINAL JUSTICE,['CRCJ 5309'],[None],required
CRCJ 5318,CRIMINAL JUSTICE PERSONNEL ADMINISTRATION,[None],[None],required
CRCJ 5319,ISSUES IN POLICING,[None],[None],required
CRCJ 5327,CONSTITUTIONAL ISSUES IN THE CRIMINAL JUSTICE SYSTEM,[None],[None],required
