Formal Name,Course Name,Prerequisites,Corequisites,Requirement
CSE 1000,FRESHMAN UNDERGRADUATE RESEARCH,[None],[None],required
CSE 1105,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,[None],[None],required
CSE 1106,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,['CSE 1310'],[None],required
CSE 1205,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,['CSE 1310'],[None],required
CSE 1301,COMPUTER LITERACY,[None],[None],required
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,"['MATH 1421 or MATH 1426 or MATH 2425 or MATH 2326 or MATH 3330 or SC 1426 or SC 2425', 'MATH 1302 or MATH 1402', 'UNIV 1131', 'ENGR 1101']",[None],required
CSE 1311,INTRODUCTION TO PROGRAMMING FOR ENGINEERS,['MATH 1421 or MATH 1426 or MATH 2425 or MATH 2326 or MATH 3330 or SC 1426 or SC 2425'],[None],required
CSE 1320,INTERMEDIATE PROGRAMMING,"['MATH 1421 or MATH 1426 or MATH 2425 or MATH 2326 or MATH 3330 or SC 1426 or SC 2425', 'CSE 1310', 'UNIV 1131', 'ENGR 1101']",[None],required
CSE 1325,OBJECT-ORIENTED PROGRAMMING,['CSE 1320'],[None],required
CSE 1326,OBJECT-ORIENTED PROGRAMMING IN C++,['CSE 1320'],[None],required
CSE 1392,SPECIAL TOPICS,[None],[None],required
CSE 2000,SOPHOMORE UNDERGRADUATE RESEARCH,[None],[None],required
CSE 2100,PRACTICAL COMPUTER HARDWARE/SOFTWARE SYSTEMS,['CSE 1320'],[None],required
CSE 2312,COMPUTER ORGANIZATION & ASSEMBLY LANGUAGE PROGRAMMING,"['CSE 1205 or CSE 1106', 'CSE 1320']",[None],required
CSE 2315,DISCRETE STRUCTURES,"['MATH 2425', 'CSE 1310', 'MATH 1426']",[None],required
CSE 2392,SPECIAL TOPICS,[None],[None],required
CSE 2440,CIRCUIT ANALYSIS,"['MATH 2425', 'PHYS 1444']",[None],required
CSE 2441,DIGITAL LOGIC DESIGN I,"['CSE 1320', 'CSE 2315']",[None],required
CSE 3302,PROGRAMMING LANGUAGES,"['CSE 1325', 'CSE 2312', 'CSE 3318']",[None],required
CSE 3310,FUNDAMENTALS OF SOFTWARE ENGINEERING,"['CSE 1320', 'CSE 1325', 'CSE 2315']",[None],required
