Formal Name,Course Name,Prerequisites,Corequisites,Requirement
CTEC 2350,WEB COMMUNICATION DESIGN AND DEVELOPMENT 1,[None],[None],required
CTEC 3320,MULTIMODAL COMMUNICATION AND DESIGN,['COMM 3303'],[None],required
CTEC 3323,USER EXPERIENCE DESIGN PROCESS,[None],[None],required
CTEC 3350,WEB COMMUNICATION DESIGN AND DEVELOPMENT 2,['CTEC 2350'],[None],required
CTEC 4309,INTERNET MARKETING COMMUNICATION,"['COMM 3300', 'COMM 3315']",[None],required
CTEC 4321,DIGITAL COMMUNICATION MANAGEMENT,['COMM 3315'],[None],required
CTEC 4323,USER EXPERIENCE RESEARCH AND INTERACTION DESIGN PRINCIPLES,['COMM 3315'],[None],required
CTEC 4350,WEB COMMUNICATION DESIGN AND DEVELOPMENT 3,[None],[None],required
CTEC 4391,CONFERENCE COURSE,[None],[None],required
CTEC 4393,SPECIAL TOPICS,[None],[None],required
CTEC 4395,PROFESSIONAL INTERNSHIP,[None],[None],required
