Formal Name,Course Name,Prerequisites,Corequisites,Requirement
DASC 5191,ADVANCED STUDY IN DATA SCIENCE,[None],[None],required
DASC 5300,FOUNDATION OF COMPUTING,[None],[None],required
DASC 5301,DATA SCIENCE,"['DASC 5300', 'DASC 5302']",[None],required
DASC 5302,INTRODUCTION TO PROBABILITY AND STATISTICS,[None],[None],required
DASC 5303,DATA SCIENCE PROJECT MANAGEMENT,"['DASC 5300', 'DASC 5301', 'DASC 5302']",[None],required
DASC 5304,MACHINE LEARNING,"['DASC 5300', 'DASC 5301', 'DASC 5302']",[None],required
DASC 5305,DATA VISUALIZATION,['DASC 5304'],[None],required
DASC 5306,BIG DATA MANAGEMENT,"['DASC 5300', 'DASC 5301', 'DASC 5302']",[None],required
DASC 5309,DATA SCIENCE CAPSTONE PROJECT,"['DASC 5300', 'DASC 5301', 'DASC 5302', 'DASC 5304', 'DASC 5305', 'DASC 5306']",[None],required
DASC 5391,DATA SCIENCE APPLICATIONS,"['DASC 5300', 'DASC 5301', 'DASC 5302', 'DASC 5304', 'DASC 5305', 'DASC 5306']",[None],required
DASC 5392,TOPICS IN DATA SCIENCE,"['DASC 5300', 'DASC 5301', 'DASC 5302']",[None],required
