Formal Name,Course Name,Prerequisites,Corequisites,Requirement
DATA 1301,INTRODUCTION TO DATA SCIENCE,[None],[None],required
DATA 2301,DATA VISUALIZATION & DATA STORYTELLING,[None],[None],required
DATA 3311,MATHEMATICS FOR DATA SCIENCE,['MATH 1426'],[None],required
DATA 3401,PYTHON FOR DATA SCIENCE 1,['MATH 1426'],[None],required
DATA 3402,PYTHON FOR DATA SCIENCE 2,['DATA 3401'],[None],required
DATA 3421,"DATA MINING, MANAGEMENT, AND CURATION",['DATA 3402'],[None],required
DATA 3441,STATISTICAL METHODS FOR DATA SCIENCE 1,['DATA 3401'],[None],required
DATA 3442,STATISTICAL METHODS FOR DATA SCIENCE 2,['DATA 3441'],[None],required
DATA 3461,MACHINE LEARNING,"['DATA 3401', 'DATA 3402']",[None],required
DATA 4090,UNDERGRADUATE RESEARCH,[None],[None],required
DATA 4380,DATA PROBLEMS,"['DATA 3402', 'DATA 3421']",[None],required
DATA 4381,DATA CAPSTONE PROJECT 1,[None],['DATA 4380'],required
DATA 4382,DATA CAPSTONE PROJECT 2,['DATA 4381'],[None],required
DATA 4390,DATA SCIENCE RESEARCH,[None],[None],required
DATA 4391,SPECIAL TOPICS IN DATA SCIENCE,[None],[None],required
DATA 4392,ADVANCED TOPICS IN DATA SCIENCE,[None],[None],required
DATA 4393,HONORS THESIS/SENIOR PROJECT,[None],[None],required
DATA 4394,UNDERGRADUATE RESEARCH EXPERIENCES,[None],[None],required
