Formal Name,Course Name,Prerequisites,Corequisites,Requirement
DS 2301,TOPICS IN DISABILITY STUDIES,[None],[None],required
DS 3307,U.S. DISABILITY HISTORY,"['HIST 1301', 'HIST 1302']",[None],required
DS 3312,DISABILITY & SOCIAL WORK,[None],[None],required
DS 3321,TOPICS IN DISABILITY STUDIES,[None],[None],required
DS 3322,DISABILITY ETHICS,[None],[None],required
DS 3327,CYBORGS AND PROSTHETICS,[None],[None],required
DS 3331,RESEARCH IN DISABILITY STUDIES,[None],[None],required
DS 3346,DISABILITY IN MASS MEDIA,[None],[None],required
DS 3355,UNIVERSAL DESIGN & ACCESSIBILITY IN THE PERFORMING ARTS,[None],[None],required
DS 3399,DISABILITY AND ART,"['ART 1309', 'ART 1310', 'ART 1317']",[None],required
DS 4100,WHEELCHAIR BASKETBALL,[None],[None],required
DS 4191,CONFERENCE COURSE,[None],[None],required
DS 4291,CONFERENCE COURSE,[None],[None],required
DS 4326,TOPICS IN DISABILITY HISTORY,"['HIST 1301', 'HIST 1302']",[None],required
DS 4329,DISABILITY & WORK,['MANA 4326'],[None],required
DS 4391,CONFERENCE COURSE,[None],[None],required
DS 4395,DISABILITY STUDIES INTERNSHIP,['HIST 3307'],[None],required
DS 4491,CONFERENCE COURSE,[None],[None],required
