Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ECON 2110,SELECTED TOPICS IN ECONOMICS,['ECON 2305'],[None],required
ECON 2305,PRINCIPLES OF MACROECONOMICS,[None],[None],required
ECON 2306,PRINCIPLES OF MICROECONOMICS,[None],[None],required
ECON 2337,ECONOMICS OF SOCIAL ISSUES,[None],[None],required
ECON 3301,THE ECONOMICS OF HEALTH,['ECON 2306'],[None],required
ECON 3302,THE ECONOMICS OF CRIME,['ECON 2306'],[None],required
ECON 3303,MONEY AND BANKING,['ECON 2305'],[None],required
ECON 3304,PUBLIC SECTOR ECONOMICS,['ECON 2306'],[None],required
ECON 3305,LAWS AND ECONOMICS,['ECON 2306'],[None],required
ECON 3306,SPORTS ECONOMICS AND BUSINESS,['ECON 2306'],[None],required
ECON 3310,MICROECONOMICS,['ECON 2306'],[None],required
ECON 3312,MACROECONOMICS,"['ECON 2305', 'ECON 3303']",[None],required
ECON 3313,INDUSTRIAL ORGANIZATION AND PUBLIC POLICY,['ECON 2306'],[None],required
ECON 3317,ECONOMIC DATA LITERACY & VISUALIZATION,['STAT 2305'],[None],required
ECON 3318,ECONOMIC DATA ANALYSIS,['STAT 3321'],[None],required
ECON 3322,BITCOIN AND ECONOMICS OF CRYPTOCURRENCIES,['ECON 2306'],[None],required
ECON 3328,PRINCIPLES OF TRANSPORTATION,['ECON 2306'],[None],required
ECON 3335,ECONOMICS OF PUBLIC POLICIES,['ECON 2306'],[None],required
ECON 3388,"EUROPEAN ECONOMIC HISTORY, 1750 TO PRESENT",['ECON 2305'],[None],required
ECON 4191,STUDIES IN ECONOMICS,['ECON 2306'],[None],required
ECON 4291,STUDIES IN ECONOMICS,['ECON 2306'],[None],required
ECON 4300,ADVANCED COMMUNICATION FOR BUSINESS AND ECONOMIC PROFESSIONALS,['BCOM 3360'],[None],required
ECON 4302,ENVIRONMENTAL ECONOMICS,['ECON 2306'],[None],required
ECON 4305,THE ECONOMICS OF DISCRIMINATION,['ECON 2306'],[None],required
ECON 4306,COMPARATIVE ECONOMIC SYSTEMS,['ECON 2306'],[None],required
ECON 4311,MANAGERIAL ECONOMICS,['ECON 2306'],[None],required
ECON 4316,"DIGITIZATION, ECONOMICS AND STRATEGY",['ECON 2306'],[None],required
ECON 4318,ECONOMIC REGRESSION ANALYSIS CAPSTONE,['ECON 3318'],[None],required
ECON 4319,ECONOMIC GROWTH AND DEVELOPMENT,['ECON 2306'],[None],required
ECON 4320,GAMES AND DECISION MAKING,['ECON 2306'],[None],required
ECON 4321,INTERNATIONAL TRADE,['ECON 2306'],[None],required
ECON 4322,INTERNATIONAL FINANCE,['ECON 2305'],[None],required
ECON 4323,MATHEMATICAL ECONOMICS,"['MATH 1315', 'ECON 3310', 'ECON 3312']",[None],required
ECON 4324,MONETARY AND FISCAL POLICY,"['ECON 2306', 'ECON 3303']",[None],required
ECON 4325,ECONOMIC FORECASTING,['ECON 3318'],[None],required
ECON 4330,HUMAN RESOURCE ECONOMICS,['ECON 2306'],[None],required
ECON 4331,SEMINAR IN ECONOMICS,[None],[None],required
ECON 4391,STUDIES IN ECONOMICS,['ECON 2306'],[None],required
ECON 4393,ECONOMICS INTERNSHIP,[None],[None],required
ECON 5182,INDEPENDENT STUDIES IN ECONOMICS,[None],[None],required
ECON 5199,GRADUATE ECONOMICS INTERNSHIP,[None],[None],required
ECON 5282,INDEPENDENT STUDIES IN ECONOMICS,[None],[None],required
ECON 5299,GRADUATE ECONOMICS INTERNSHIP,[None],[None],required
ECON 5300,ADVANCED COMMUNICATION FOR BUSINESS AND ECONOMIC PROFESSIONALS,[None],[None],required
ECON 5301,MATHEMATICAL ECONOMICS,['MATH 1316'],[None],required
ECON 5305,THE ECONOMICS OF DISCRIMINATION,[None],[None],required
ECON 5306,ENVIRONMENTAL ECONOMICS,[None],[None],required
ECON 5310,MICROECONOMIC THEORY,['ECON 3310'],[None],required
ECON 5311,ECONOMIC ANALYSIS,[None],[None],required
ECON 5312,MACROECONOMIC THEORY,['ECON 3312'],[None],required
ECON 5313,DECISIONS AND STRATEGY,[None],[None],required
