Formal Name,Course Name,Prerequisites,Corequisites,Requirement
EDAD 1130,FOUNDATIONS OF LEADERSHIP,[None],[None],required
EDAD 1330,"INTRODUCTION TO LEADERSHIP & DIVERSITY, EQUITY, AND INCLUSION",[None],[None],required
EDAD 2330,THEORIES IN LEADERSHIP,[None],[None],required
EDAD 4330,CAPSTONE IN LEADERSHIP STUDIES,"['EDAD 2330', 'EDAD 1330']",[None],required
EDAD 4390,SELECTED TOPICS IN LEADERSHIP,[None],[None],required
EDAD 4391,INDEPENDENT RESEARCH,[None],[None],required
EDAD 5190,SELECTED TOPICS IN EDUCATION,[None],[None],required
EDAD 5191,INDEPENDENT RESEARCH,[None],[None],required
EDAD 5199,PROBATIONARY CERTIFICATION INTERNSHIP,[None],[None],required
EDAD 5290,SELECTED TOPICS IN EDUCATION,[None],[None],required
EDAD 5291,INDEPENDENT RESEARCH,[None],[None],required
EDAD 5302,EDUCATIONAL TECHNOLOGY PLANNING,[None],[None],required
EDAD 5303,TEACHER LEADERSHIP FOR SCHOOL IMPROVEMENT,[None],[None],required
EDAD 5304,DATA-DRIVEN ASSESSMENT,[None],[None],required
EDAD 5305,"CURRICULUM DESIGN, IMPLEMENTATION, AND EVALUATION",[None],[None],required
EDAD 5306,COACHING AND CONSULTATION SKILLS,[None],[None],required
EDAD 5307,TEACHER LEADERSHIP POLICY TRENDS AND ISSUES,[None],[None],required
EDAD 5309,ADVANCED INSTRUCTIONAL STRATEGIES,[None],[None],required
EDAD 5312,ORGANIZATIONAL THEORY AND LEADERSHIP IN HIGHER EDUCATION,[None],[None],required
EDAD 5315,RESEARCH PRACTICUM,[None],[None],required
EDAD 5321,EDUCATIONAL RES,[None],[None],required
EDAD 5322,EDUCATIONAL RESEARCH AND EVALUATION,[None],[None],required
EDAD 5330,LEADERSHIP IN THE INSTRUCTIONAL SETTING PRACTICUM,['EDAD 5389'],[None],required
EDAD 5340,THE GLOBAL COLLEGE STUDENT,[None],[None],required
EDAD 5341,INTERNATIONAL HIGHER EDUCATION ADMINISTRATION AND STUDENT AFFAIRS,[None],[None],required
EDAD 5344,INTERNATIONAL PERSPECTIVES ON COMMUNITY COLLEGE EDUCATION,[None],[None],required
EDAD 5347,TRENDS AND ISSUES IN GLOBAL HIGHER EDUCATION,[None],[None],required
EDAD 5350,AMERICAN COLLEGE STUDENT,[None],[None],required
EDAD 5351,HIGHER EDUCATION ADMINISTRATION AND STUDENT AFFAIRS,[None],[None],required
EDAD 5352,HIGHER EDUCATION LAW,[None],[None],required
EDAD 5353,HIGHER EDUCATION FINANCE,[None],[None],required
EDAD 5354,THE AMERICAN COMMUNITY COLLEGE,[None],[None],required
EDAD 5355,HIGHER EDUCATION CURRICULUM,[None],[None],required
EDAD 5356,"HISTORY, PRINCIPLES, AND PHILOSOPHY OF HIGHER EDUCATION ADMINISTRATION",[None],[None],required
EDAD 5357,HIGHER EDUCATION TRENDS AND ISSUES,[None],[None],required
EDAD 5360,LEADERSHIP THEORY,[None],[None],required
EDAD 5363,ADVANCED EDUCATIONAL RESEARCH,[None],[None],required
EDAD 5365,LEADING LEARNING ORGANIZATIONS,[None],[None],required
EDAD 5376,EDUCATIONAL GOVERNANCE,[None],[None],required
EDAD 5377,CONTEMPORARY ISSUES IN EDUCATION,[None],[None],required
EDAD 5379,SUPERINTENDENCY INTERNSHIP,[None],[None],required
EDAD 5380,DIVERSITY AND EQUITY IN EDUCATION,[None],[None],required
EDAD 5381,"GOVERNANCE, POLITICAL AND LEGAL ASPECTS OF EDUCATION",[None],[None],required
EDAD 5382,FOUNDATIONS OF EDUCATIONAL ADMINISTRATION,[None],[None],required
EDAD 5383,THE PRINCIPALSHIP,[None],[None],required
EDAD 5384,RESOURCE MANAGEMENT IN EDUCATION,[None],[None],required
EDAD 5388,EDUCATIONAL POLICY ISSUES IN THE PUBLIC SCHOOLS,[None],[None],required
EDAD 5389,ADMINISTRATIVE PRACTICUM,[None],[None],required
EDAD 5390,SELECTED TOPICS IN EDUCATION,[None],[None],required
EDAD 5391,INDEPENDENT RESEARCH,[None],[None],required
EDAD 5395,FUTURISTIC LEADERSHIP ROLES IN SCHOOL ADMINISTRATION,[None],[None],required
EDAD 5399,CAPSTONE PRACTICUM IN EDUCATIONAL LEADERSHIP AND POLICY STUDIES,['EDAD 5399'],[None],required
EDAD 6179,SUPERINTENDENCY PRACTICUM,[None],[None],required
EDAD 6279,SUPERINTENDENCY PRACTICUM,[None],[None],required
EDAD 6301,INTRODUCTION TO DOCTORAL STUDIES,[None],[None],required
EDAD 6304,INTRODUCTION TO EDUCATIONAL RESEARCH,[None],[None],required
EDAD 6308,INTRODUCTION TO QUALITATIVE RESEARCH,[None],[None],required
EDAD 6310,INTRODUCTION TO STATISTICS,[None],[None],required
EDAD 6315,ADVANCED STATISTICS,[None],[None],required
EDAD 6318,ADVANCED QUALITATIVE RESEARCH,['EDAD 6308'],[None],required
EDAD 6320,K-16 PHILOSOPHY & HISTORY POLICY RESEARCH,[None],[None],required
EDAD 6325,EDUCATIONAL POLICY ANALYSIS,[None],[None],required
EDAD 6327,K-16 POLICY & LAW ANALYSIS RESEARCH,[None],[None],required
EDAD 6330,INTRODUCTION TO EDUCATION POLICY,[None],[None],required
EDAD 6331,LEADERSHIP IN THE K-12 INSTRUCTIONAL SETTING,[None],[None],required
EDAD 6335,K-16 ACCOUNTABILITY POLICY RESEARCH,[None],[None],required
EDAD 6340,ORGANIZATIONAL THEORIES IN EDUCATION,[None],[None],required
EDAD 6342,K-16 ORGANIZATIONAL & LEADERSHIP THEORY RESEARCH,[None],[None],required
EDAD 6343,CONTEXTS OF EDUCATION,[None],[None],required
EDAD 6345,K-16 HUMAN RESOURCES LEADERSHIP RESEARCH,[None],[None],required
EDAD 6350,K-16 CURRICULUM LEADERSHIP RESEARCH,[None],[None],required
EDAD 6351,HIGHER EDUCATION AND STUDENT AFFAIRS ADMINISTRATION,[None],[None],required
EDAD 6352,HIGHER EDUCATION LAW,[None],[None],required
EDAD 6353,HIGHER EDUCATION FINANCE,[None],[None],required
EDAD 6354,American Community College,[None],[None],required
EDAD 6355,K-16 STUDENT SERVICES LEADERSHIP RESEARCH,[None],[None],required
EDAD 6356,"HISTORY, PRINCIPLES, AND PHILOSOPHY OF HIGHER EDUCATION ADMINISTRATION",[None],[None],required
EDAD 6357,HIGHER EDUCATION TRENDS AND ISSUES,[None],[None],required
EDAD 6358,AMERICAN COLLEGE STUDENT,[None],[None],required
EDAD 6359,HIGHER EDUCATION CURRICULUM,[None],[None],required
EDAD 6360,EDUCATIONAL LEADERSHIP THEORY,[None],[None],required
EDAD 6365,K-16 LEADING LEARNING ORGANIZATIONS RESEARCH,[None],[None],required
EDAD 6370,RESEARCH LITERATURE REVIEW AND METHODS,[None],[None],required
EDAD 6371,PERSONNEL & SCHOOL LAW,[None],[None],required
EDAD 6373,THE SUPERINTENDENCY,[None],[None],required
EDAD 6374,ADVANCED SCHOOL BUSINESS ADMINISTRATION,[None],[None],required
EDAD 6376,Educational Governance,[None],[None],required
EDAD 6378,ADVANCED CURRICULUM AND PROGRAM ASSESSMENT,[None],[None],required
EDAD 6380,K-16 RESEARCH PRACTICUM I,[None],[None],required
EDAD 6381,POLITICAL AND LEGAL ASPECTS OF K-12 EDUCATION,[None],[None],required
EDAD 6383,The Principalship,[None],[None],required
EDAD 6384,RESOURCE MANAGEMENT IN K-12 EDUCATION,[None],[None],required
EDAD 6385,K-16 RESEARCH PRACTICUM II,[None],[None],required
EDAD 6390,DOCTORAL RESEARCH SEMINAR,[None],[None],required
EDAD 6391,INDEPENDENT RESEARCH,[None],[None],required
EDAD 6392,SELECTED TOPICS IN EDUCATIONAL LEADERSHIP AND POLICY STUDIES,[None],[None],required
EDAD 6399,DISSERTATION,[None],[None],required
EDAD 6699,DISSERTATION,[None],[None],required
EDAD 6999,DISSERTATION,[None],[None],required
EDAD 7399,DOCTORAL DEGREE COMPLETION,[None],[None],required
