Formal Name,Course Name,Prerequisites,Corequisites,Requirement
EDML 4300,PRE-ADOLESCENT/ADOLESCENT GROWTH AND DEVELOPMENT,[None],[None],required
EDML 4350,NATURE & CURRICULUM NEEDS OF THE YOUNG ADOLESCENT LEARNER,[None],[None],required
EDML 4360,TEACHING STUDENTS WITH SPECIAL NEEDS - A SURVEY,[None],[None],required
EDML 4370,SOCIAL STUDIES & DIVERSITY IN THE MIDDLE LEVEL GRADES,"['EDML 4300', 'BEEP 4384', 'LIST 4343']",[None],required
EDML 4371,SCIENCE IN THE MIDDLE LEVEL GRADES,"['EDML 4300', 'EDTC 4301', 'EDML 4350']",[None],required
EDML 4372,MATHEMATICS IN THE MIDDLE LEVEL GRADES,['EDML 4350'],[None],required
EDML 4676,MIDDLE LEVEL FIELD-BASED EXPERIENCE,"['EDML 4300', 'EDML 4350', 'LIST 4343', 'BEEP 4384']",[None],required
EDML 4677,MIDDLE LEVEL CLINICAL TEACHING,['LIST 4378'],[None],required
EDML 5302,SCIENCE IN THE MIDDLE GRADES,[None],[None],required
EDML 5303,MATHEMATICS IN THE MIDDLE GRADES,[None],[None],required
EDML 5304,SOCIAL STUDIES IN THE MIDDLE GRADES,[None],[None],required
EDML 5308,"MIDDLE GRADES ORGANIZATION, INSTRUCTION, AND MANAGEMENT",[None],[None],required
EDML 5315,CLINICAL TEACHING,[None],[None],required
EDML 5328,"PREADOLESCENT/ADOLESCENT GROWTH, DEVELOPMENT, AND LEARNING THEORY",[None],[None],required
EDML 5391,INDEPENDENT RESEARCH,[None],[None],required
