Formal Name,Course Name,Prerequisites,Corequisites,Requirement
EDTC 4201,TECHNOLOGY APPLICATIONS,[None],[None],required
EDTC 4301,TECHNOLOGY APPLICATIONS,[None],[None],required
EDTC 5190,SELECTED TOPICS IN EDUCATION,[None],[None],required
EDTC 5191,INDEPENDENT RESEARCH,[None],[None],required
EDTC 5290,SELECTED TOPICS IN EDUCATION,[None],[None],required
EDTC 5291,INDEPENDENT RESEARCH,[None],[None],required
EDTC 5300,INTRODUCTION TO FOUNDATION OF EDUCATION INSTRUCTIONAL DESIGN AND TECHNOLOGY,[None],[None],required
EDTC 5301,CURRENT APPLICATIONS OF TECHNOLOGY IN EDUCATION,[None],[None],required
EDTC 5302,INTERNET IN EDUCATION,[None],[None],required
EDTC 5310,COMPUTER APPLICATIONS IN CURRICULUM AND INSTRUCTION,[None],[None],required
EDTC 5320,WEB AUTHORING,[None],[None],required
EDTC 5330,DESKTOP PUBLISHING,[None],[None],required
EDTC 5340,MULTIMEDIA,[None],[None],required
EDTC 5390,SELECTED TOPICS IN EDUCATION,[None],[None],required
EDTC 5391,INDEPENDENT RESEARCH,[None],[None],required
