Formal Name,Course Name,Prerequisites,Corequisites,Requirement
EDUC 2101,EXPLORING TEACHING,[None],[None],required
EDUC 2302,THE PROFESSIONAL EDUCATOR,[None],[None],required
EDUC 2330,STUDENT LEADER EFFECTIVENESS TRAINING,[None],[None],required
EDUC 3301,TEACHING DIVERSE LEARNERS,[None],[None],required
EDUC 3333,STEM EDUCATION IN THE PK-12 CONTEXT,[None],[None],required
EDUC 3390,SPECIAL TOPICS IN EDUCATION,[None],[None],required
EDUC 4316,FOUNDATIONS OF EDUCATION,[None],[None],required
EDUC 4318,POSITIVE CLASSROOM MANAGEMENT,[None],[None],required
EDUC 4319,CLASSROOM ASSESSMENT,[None],[None],required
EDUC 4325,WOMEN IN SCIENCE,[None],[None],required
EDUC 4331,KNOWING AND LEARNING IN MATH AND SCIENCE,['SCIE 1201'],[None],required
EDUC 4332,CLASSROOM INTERACTIONS,"['SCIE 1202', 'EDUC 4331']",[None],required
EDUC 4333,MULTIPLE TEACHING PRACTICES IN MATH AND SCIENCE,['EDUC 4332'],[None],required
EDUC 4340,HUMAN GROWTH AND DEVELOPMENT,[None],[None],required
EDUC 4341,ORGANIZATION AND MANAGEMENT OF INSTRUCTION IN SECONDARY SCHOOLS,[None],[None],required
EDUC 4342,APPLICATIONS OF INSTRUCTION IN MIDDLE/SECONDARY SCHOOL CLASSROOMS,[None],[None],required
EDUC 4343,TEACHING SOCIAL STUDIES IN THE SECONDARY SCHOOL,[None],[None],required
EDUC 4344,TEACHING IN MIDDLE/SECONDARY SCHOOL SCIENCE CLASSROOMS,[None],[None],required
EDUC 4345,TEACHING IN MIDDLE/SECONDARY SCHOOL MATHEMATICS CLASSROOMS,[None],[None],required
EDUC 4346,SECONDARY SCHOOL CULTURE AND THE TEACHING PROFESSION,[None],[None],required
EDUC 4347,SECONDARY SCHOOL INTERNSHIP WITH TECHNOLOGY APPLICATIONS,[None],[None],required
EDUC 4352,TEACHING DIVERSE POPULATIONS,[None],[None],required
EDUC 4390,SELECTED TOPICS IN EDUCATION,[None],[None],required
EDUC 4391,CONFERENCE COURSE,[None],[None],required
EDUC 4647,CLINICAL TEACHING IN MIDDLE/SECONDARY SCHOOL/ALL-LEVEL CLASSROOMS,[None],[None],required
EDUC 5190,SELECTED TOPICS IN EDUCATION,[None],[None],required
EDUC 5191,INDEPENDENT RESEARCH,[None],[None],required
EDUC 5263,READING AND DEVELOPMENT,[None],[None],required
EDUC 5290,SELECTED TOPICS IN EDUCATION,[None],[None],required
EDUC 5291,INDEPENDENT RESEARCH,[None],[None],required
EDUC 5305,EFFECTIVE TEACHING AND LEARNING FOR 21ST CENTURY EC-12 STUDENTS,[None],[None],required
EDUC 5309,ADVANCED TEACHING MODELS FOR DIVERSE LEARNERS,[None],[None],required
EDUC 5310,DIVERSE POPULATIONS IN TODAY'S SCHOOLS,[None],[None],required
