Formal Name,Course Name,Prerequisites,Corequisites,Requirement
EE 1000,FRESHMAN UNDERGRADUATE RESEARCH,[None],[None],required
EE 1101,INTRODUCTION TO ELECTRICAL ENGINEERING,[None],[None],required
EE 1106,ELECTRICAL ENGINEERING FRESHMAN PRACTICUM,['EE 1201'],[None],required
EE 1201,INTRODUCTION TO ELECTRICAL ENGINEERING,['MATH 1426'],[None],required
EE 1311,COMPUTING SYSTEM AND ALGORITHMIC SOLUTIONS,['MATH 1426'],[None],required
EE 2000,SOPHOMORE UNDERGRADUATE RESEARCH,[None],[None],required
EE 2181,CIRCUIT ANALYSIS LABORATORY,['MATH 2425'],"['EE 2320', 'PHYS 1444']",required
EE 2240,SOPHOMORE PROJECT LABORATORY,"['EE 1311', 'EE 2315', 'EE 2303', 'EE 2341', 'EE 2347']",[None],required
EE 2301,MODELING AND ANALYSIS METHODS IN ELECTRICAL ENGINEERING,['MATH 2326'],[None],required
EE 2302,PRINCIPLES OF ACTIVE AND PASSIVE DEVICES,"['CHEM 1465', 'PHYS 1444']",[None],required
EE 2303,ELECTRONICS I,"['EE 2302', 'EE 2315', 'MATH 3319']",[None],required
EE 2315,CIRCUIT ANALYSIS I,"['EE 1106', 'MATH 2425', 'MATH 3319', 'PHYS 1444']",[None],required
EE 2320,CIRCUIT ANALYSIS,"['MATH 2425', 'PHYS 1444']",[None],required
EE 2341,DIGITAL CIRCUITS AND SYSTEMS,"['EE 1311', 'EE 2315']",[None],required
EE 2347,MATHEMATICAL FOUNDATIONS OF ELECTRICAL ENGINEERING,"['EE 1311', 'MATH 2425', 'MATH 3319']",[None],required
EE 2403,ELECTRONICS I,"['EE 2415', 'MATH 2326']",[None],required
EE 2415,CIRCUIT ANALYSIS I,"['EE 1106', 'MATH 2425']",[None],required
EE 2440,CIRCUIT ANALYSIS WITH LAB,"['MATH 2425', 'PHYS 1444']",[None],required
EE 2441,DIGITAL DESIGN AND PROGRAMMABLE MICROCONTROLLERS,['CSE 1311'],[None],required
EE 3000,JUNIOR UNDERGRADUATE RESEARCH,[None],[None],required
EE 3140,JUNIOR PROJECT LABORATORY,[None],[None],required
EE 3240,JUNIOR PROJECT LABORATORY,"['EE 2303', 'EE 2341', 'EE 3346']",[None],required
EE 3301,COMPUTER SOLUTIONS AND CODING FOR ELECTRICAL ENGINEERING,"['EE 1311', 'EE 2341', 'EE 3330']",[None],required
EE 3302,FUNDAMENTALS OF POWER SYSTEMS,"['EE 3346', 'EE 3407']",[None],required
EE 3310,ADVANCED MICROCONTROLLERS,"['EE 2441', 'EE 2403']",[None],required
EE 3314,FUNDAMENTALS OF EMBEDDED CONTROL SYSTEMS,"['EE 2341', 'EE 3316', 'EE 3318']",[None],required
EE 3316,CONTINUOUS AND DISCRETE SIGNALS AND SYSTEMS,"['EE 2347', 'EE 2315']",[None],required
EE 3317,LINEAR SYSTEMS,"['MATH 2326', 'MATH 3319', 'EE 2440']",[None],required
EE 3318,ANALOG AND DIGITAL SIGNAL PROCESSING,"['EE 3316', 'EE 3330']",[None],required
EE 3330,PROBABILITY AND STATISTICAL METHODS,"['EE 2347', 'EE 3316']",[None],required
EE 3346,CIRCUIT ANALYSIS II,"['EE 2347', 'EE 2303', 'EE 2315']",[None],required
EE 3407,ELECTROMAGNETICS,"['EE 2347', 'PHYS 1444', 'EE 3346']",[None],required
EE 3444,ELECTRONICS II,"['EE 2303', 'EE 3346']",[None],required
EE 3446,CIRCUIT ANALYSIS II,[None],[None],required
EE 4000,UNDERGRADUATE RESEARCH,[None],[None],required
EE 4149,ENGINEERING DESIGN PROJECT,['EE 4240'],[None],required
EE 4240,CONCEPTS & EXERCISES IN ENGINEERING PRACTICE,"['COMS 2302', 'EE 3240', 'EE 3314', 'EE 3318', 'EE 3330', 'EE 3407']",[None],required
EE 4301,POWER SYSTEMS ANALYSIS AND CONTROL,['EE 3302'],[None],required
EE 4302,ENGINEERING ENTREPRENEURSHIP,[None],[None],required
EE 4308,POWER SYSTEM MODELING AND ANALYSIS,['EE 3302'],[None],required
EE 4310,MICROPROCESSOR SYSTEMS,['EE 3314'],[None],required
EE 4311,EMBEDDED MICROCONTROLLER SYSTEMS,['EE 3314'],[None],required
EE 4312,ADVANCED MICROPROCESSOR SYSTEMS,['EE 4311'],[None],required
EE 4313,CONTROL SYSTEMS FOR NON-EE MAJORS,['EE 3317'],[None],required
EE 4314,CONTROL SYSTEMS,['EE 3316'],[None],required
EE 4315,INTRODUCTION TO ROBOTICS,['EE 4314'],[None],required
EE 4316,OP AMPS IN ANALOG SIGNAL PATHS,['EE 3446'],[None],required
EE 4317,ANALOG CMOS IC DESIGN,"['EE 2303', 'EE 3444']",[None],required
EE 4318,DIGITAL SIGNAL PROCESSING,"['EE 3316', 'EE 3318']",[None],required
EE 4320,DIGITAL VLSI DESIGN,['EE 3444'],[None],required
EE 4327,THEORY AND DESIGN OF ANTENNAS,['EE 3407'],[None],required
EE 4328,CURRENT TOPICS IN ELECTRICAL ENGINEERING,[None],[None],required
EE 4329,SEMICONDUCTOR DEVICES,['EE 3407'],[None],required
EE 4330,FUNDAMENTALS OF TELECOMMUNICATIONS SYSTEMS,"['EE 3316', 'EE 3330']",[None],required
EE 4331,DATA COMMUNICATIONS ENGINEERING,"['EE 3316', 'EE 3330', 'EE 3318']",[None],required
EE 4333,WIRELESS COMMUNICATIONS AND IoT,"['EE 3316', 'EE 3330']",[None],required
EE 4334,PROGRAMMABLE LOGIC DESIGN,['EE 2341'],[None],required
EE 4336,FOUNDATIONS OF MEDICAL IMAGING,['EE 3316'],[None],required
EE 4339,RADIO FREQUENCY CIRCUIT DESIGN,"['EE 3444', 'EE 3407']",[None],required
EE 4340,CONCEPTS & EXERCISES IN ENGINEERING PRACTICE,"['COMS 2302', 'EE 3330', 'EE 3446', 'EE 3407']",['ECON 2305'],required
EE 4344,INTRODUCTION TO MEMS AND DEVICES,['EE 3407'],[None],required
EE 4349,ENGINEERING DESIGN PROJECT,['EE 4340'],[None],required
EE 4357,INTRODUCTION TO MACHINE LEARNING,"['EE 3330', 'EE 2347', 'MATH 2326', 'MATH 3319']",[None],required
EE 4362,DIGITAL COMMUNICATIONS,"['EE 3318', 'EE 4330']",[None],required
EE 4364,INFORMATION THEORY FOR DATA SCIENCE,['EE 3330'],[None],required
EE 4370,ELECTRIC MOTOR DRIVES,['EE 3407'],[None],required
EE 4371,POWER SYSTEM PROTECTIVE RELAYING,['EE 3346'],[None],required
EE 4372,POWER SYSTEM DISTRIBUTION,['EE 3346'],[None],required
EE 4373,POWER QUALITY,['EE 3318'],[None],required
EE 4375,INTRODUCTION TO POWER ELECTRONICS,"['EE 2403', 'EE 3446']",[None],required
EE 4378,INTRODUCTION TO UNMANNED VEHICLE SYSTEMS,[None],[None],required
EE 4379,UNMANNED VEHICLE SYSTEM DEVELOPMENT,['EE 4378'],[None],required
EE 4380,PRINCIPLES OF PHOTONICS AND OPTICAL ENGINEERING,['EE 3407'],[None],required
EE 4382,OPTICAL BIOSENSORS,"['EE 3407', 'PHYS 3445', 'PHYS 4324']",[None],required
EE 4391,ADVANCED PROBLEMS IN ELECTRICAL ENGINEERING,[None],[None],required
EE 5190,ELECTRICAL ENGINEERING GRADUATE SEMINAR,[None],[None],required
EE 5191,ADVANCED STUDY IN ELECTRICAL ENGINEERING,[None],[None],required
EE 5302,RANDOM SIGNALS AND NOISE,[None],[None],required
EE 5304,CYBER-PHYSICAL SYSTEMS,[None],[None],required
EE 5305,ANALOG INTEGRATED CIRCUIT DESIGN,[None],[None],required
EE 5306,ELECTROMAGNETIC THEORY,[None],[None],required
EE 5307,LINEAR SYSTEMS ENGINEERING,[None],[None],required
EE 5308,POWER SYSTEM MODELING AND ANALYSIS,[None],[None],required
EE 5309,TOPICS IN ELECTRICAL ENGINEERING,[None],[None],required
EE 5310,DIGITAL VLSI DESIGN,[None],[None],required
EE 5311,VLSI SIGNAL PROCESSING ARCHITECTURES,['EE 5350'],[None],required
EE 5312,CMOS RFIC DESIGN,['EE 5305'],[None],required
EE 5313,MICROPROCESSOR SYSTEMS,[None],[None],required
EE 5314,EMBEDDED MICROCONTROLLER SYSTEMS,[None],[None],required
EE 5315,SYSTEM ON CHIP (SOC) DESIGN,['EE 5314'],[None],required
EE 5316,CMOS MIXED SIGNAL IC DESIGN,['EE 5305'],[None],required
EE 5318,EE 5317. ADVANCED DIGITAL VLSI DESIGN,['EE 5310'],[None],required
EE 5319,TOPICS IN DIGITAL SYSTEMS,[None],[None],required
EE 5321,OPTIMAL CONTROL,[None],[None],required
EE 5322,INTELLIGENT CONTROL SYSTEMS,[None],[None],required
EE 5323,NONLINEAR SYSTEMS,[None],[None],required
EE 5325,ROBOTICS,[None],[None],required
EE 5327,SYSTEM IDENTIFICATION AND ESTIMATION,[None],[None],required
EE 5329,TOPICS IN SYSTEMS ENGINEERING,[None],[None],required
EE 5330,DISTRIBUTED DECISION AND CONTROL,[None],[None],required
EE 5331,RF SYSTEMS ENGINEERING,[None],[None],required
EE 5332,ANTENNA SYSTEM ANALYSIS,[None],[None],required
