Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ELED 4311,TEACHING MATHEMATICS IN EARLY AND ELEMENTARY EDUCATION,"['ELED 4312', 'ELED 4314']",[None],required
ELED 4312,TEACHING SCIENCE AND HEALTH IN EARLY AND ELEMENTARY EDUCATION,['ELED 4314'],[None],required
ELED 4314,TEACHING SOCIAL STUDIES AND FINE ARTS IN EARLY AND ELEMENTARY EDUCATION,['ELED 4312'],[None],required
ELED 4317,"GROWTH, DEVELOPMENT, AND LEARNING THEORY","['ELED 4311', 'ELED 4312', 'ELED 4314']",[None],required
ELED 4321,"CLASSROOM MANAGEMENT, PEDAGOGY, AND PRACTICES IN EC-6 EDUCATION","['EDUC 4316', 'ELED 4317']",[None],required
ELED 4687,CLINICAL TEACHING IN EARLY AND ELEMENTARY EDUCATION,"['ELED 4311', 'ELED 4312', 'ELED 4314', 'ELED 4317', 'BEEP 4306', 'BEEP 4384', 'LIST 4373', 'LIST 4374', 'LIST 4376', 'EDUC 3301', 'EDUC 4318', 'EDUC 4319']",[None],required
ELED 5309,TRENDS AND ISSUES IN EARLY CHILDHOOD AND ELEMENTARY EDUCATION,[None],[None],required
ELED 5312,EC6: INSTRUCTIONAL STRATEGIES IN SCIENCE,[None],[None],required
ELED 5315,CLINICAL TEACHING,[None],[None],required
ELED 5317,THEORIES OF CHILD DEVELOPMENT AND LEARNING,[None],[None],required
ELED 5318,FOUNDATIONS IN EC6 EDUCATION,[None],[None],required
ELED 5319,EC6 EDUCATION: INSTRUCTIONAL STRATEGIES IN MATHEMATICS,[None],[None],required
ELED 5320,EC6 EDUCATION: INSTRUCTIONAL STRATEGIES IN SOCIAL STUDIES AND THE CREATIVE ARTS,[None],[None],required
ELED 5321,EC-6: CLASSROOM MANAGEMENT & INSTRUCTIONAL STRATEGIES,[None],[None],required
ELED 5390,SELECTED TOPICS IN ELEMENTARY EDUCATION,[None],[None],required
ELED 5391,INDEPENDENT RESEARCH,[None],[None],required
