Formal Name,Course Name,Prerequisites,Corequisites,Requirement
EMBA 5101,LEADERSHIP LABORATORY MODULE 2,[None],[None],required
EMBA 5105,LEADERSHIP LABORATORY MODULE 4,[None],[None],required
EMBA 5106,LEADERSHIP LABORATORY MODULE 5,[None],[None],required
EMBA 5111,LEADERSHIP LABORATORY MODULE 3,[None],[None],required
EMBA 5123,NEGOTIATIONS,[None],[None],required
EMBA 5192,CAPSTONE: SPECIAL TOPICS IN INTERNATIONAL BUSINESS,[None],[None],required
EMBA 5199,STRATEGIC SALES MANAGEMENT AND PROFESSIONAL SELLING,[None],[None],required
EMBA 5202,PRICING STRATEGIES AND TACTICS,[None],[None],required
EMBA 5206,DIGITAL TRANSFORMATION OF THE ENTERPRISE,[None],[None],required
EMBA 5211,COMPETING IN A GLOBAL ENVIRONMENT,[None],[None],required
EMBA 5212,LEADERSHIP LABORATORY MODULE 1,[None],[None],required
EMBA 5225,FOUNDATIONS OF QUANTITATIVE ANALYSIS,[None],[None],required
EMBA 5299,SPECIAL TOPICS IN EXECUTIVE BUSINESS EDUCATION,[None],[None],required
EMBA 5303,STRATEGIC COST MANAGEMENT,[None],[None],required
EMBA 5304,MAKING STRATEGIC DECISIONS WITH FINANCIAL DATA,[None],[None],required
EMBA 5307,DESIGNING GLOBAL SUPPLY CHAINS FOR COMPETITIVE ADVANTAGE,[None],[None],required
EMBA 5308,MARKETING AND CUSTOMER VALUE CREATION,[None],[None],required
EMBA 5309,FINANCIALMANAGEMENT FOR EXECUTIVES,[None],[None],required
EMBA 5310,"COMPETITIVE STRATEGY, INTRAPRENEURIAL AND ENTREPRENEURIAL",[None],[None],required
EMBA 5311,STRATEGIC MARKETING MANAGEMENT,[None],[None],required
EMBA 5313,EXPERIENCING THE GLOBAL ENVIRONMENT: INTERNATIONAL PROJECT,[None],[None],required
EMBA 5399,SPECIAL TOPICS IN EXECUTIVE BUSINESS EDUCATION,[None],[None],required
EMBA 5413,INTERNATIONAL BUSINESS EXPERIENCE,[None],[None],required
EMBA 5415,EXPERIENCING THE INTERNATIONAL ENVIRONMENT: SPECIAL PROJECT,[None],[None],required
EMBA 5417,EXPERIENCING THE BUSINESS ENVIRONMENT: INDUSTRY PROJECT,[None],[None],required
EMBA 5499,SPECIAL TOPICS IN EXECUTIVE BUSINESS EDUCATION,[None],[None],required
