Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ENGL 0100,INTEGRATED READING AND WRITING WORKSHOP,['ENGL 1301'],['ENGL 1301'],required
ENGL 0101,INTEGRATED READING AND WRITING NCBO,[None],['ENGL 1301'],required
ENGL 0300,INTRODUCTION TO CRITICAL READING AND WRITING,[None],[None],required
ENGL 0301,INTEGRATED READING AND WRITING FUNDAMENTALS,['ENGL 1301'],['ENGL 1301'],required
ENGL 1200,ENGLISH STUDIES PROFESSIONALIZATION AND STUDENT SUCCESS,[None],[None],required
ENGL 1301,RHETORIC AND COMPOSITION I,[None],[None],required
ENGL 1302,RHETORIC AND COMPOSITION II,['ENGL 1301'],[None],required
ENGL 1350,WRITING ABOUT FILM,[None],[None],required
ENGL 1375,INTRODUCTION TO CREATIVE WRITING,[None],[None],required
ENGL 2300,LITERATURE AND THE GOOD LIFE,['ENGL 1301'],[None],required
ENGL 2303,TOPICS IN LITERATURE,['ENGL 1301'],[None],required
ENGL 2309,WORLD LITERATURE,['ENGL 1301'],[None],required
ENGL 2319,BRITISH LITERATURE,['ENGL 1301'],[None],required
ENGL 2329,AMERICAN LITERATURE,['ENGL 1301'],[None],required
ENGL 2338,TECHNICAL WRITING,"['ENGL 1301', 'ENGL 1302']",[None],required
ENGL 2375,GENRES OF CREATIVE WRITING,['ENGL 1301'],[None],required
ENGL 3300,TOPICS IN LITERATURE,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
ENGL 3301,TOPICS IN RUSSIAN LITERATURE IN TRANSLATION,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
ENGL 3306,TOPICS IN SOVIET AND POST-SOVIET LITERATURE IN TRANSLATION,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
ENGL 3333,DYNAMIC TRADITIONS IN LITERATURE,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
ENGL 3334,ADVANCED CREATIVE WRITING: FICTION,['ENGL 2375'],[None],required
ENGL 3335,ADVANCED CREATIVE WRITING: POETRY,['ENGL 2375'],[None],required
ENGL 3336,ADVANCED CREATIVE WRITING: CREATIVE NONFICTION,['ENGL 2375'],[None],required
ENGL 3339,CLASSICAL BACKGROUNDS,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
ENGL 3340,HISTORY OF AMERICAN LITERATURE I,['ENGL 3350'],[None],required
ENGL 3341,HISTORY OF AMERICAN LITERATURE II,['ENGL 3350'],[None],required
ENGL 3342,AMERICAN POETRY,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
ENGL 3343,LATINO/A LITERATURE,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
ENGL 3344,NATIVE AMERICAN LITERATURES,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
ENGL 3345,AFRICAN-AMERICAN LITERATURE,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
ENGL 3346,MEXICAN AMERICAN AND CHICANO/A LITERATURE,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
ENGL 3347,TOPICS IN MULTICULTURAL AMERICAN LITERATURES,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
ENGL 3350,ANALYSIS AND INTERPRETATION,"['ENGL 1301', 'ENGL 1302', 'ENGL 2303', 'ENGL 2309', 'ENGL 2319', 'ENGL 2329']",[None],required
ENGL 3351,HISTORY OF BRITISH LITERATURE I,['ENGL 3350'],[None],required
