Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ENGR 0251,PROBLEM SOLVING IN ENGINEERING PRACTICUM,[None],['ENGR 1251'],required
ENGR 1099,UNDERGRADUATE INDEPENDENT STUDY,[None],[None],required
ENGR 1101,ENTRANCE TO ENGINEERING FOR TRANSFER STUDENTS,[None],[None],required
ENGR 1191,UNDERGRADUATE SPECIAL TOPICS IN ENGINEERING,[None],[None],required
ENGR 1199,ENGINEERING PROBLEM SOLVING BRIDGE,[None],[None],required
ENGR 1204,ENGINEERING FIRST YEAR SEMINAR,[None],[None],required
ENGR 1250,PROBLEM SOLVING IN ENGINEERING,"['MATH 1426', 'MATH 2425', 'MATH 2326', 'MATH 3319', 'SC 1426', 'SC 2425']",[None],required
ENGR 1251,PROBLEM SOLVING IN ENGINEERING FOR PRECALCULUS STUDENTS,[None],"['ENGR 0251', 'MATH 1421']",required
ENGR 1291,UNDERGRADUATE SPECIAL TOPICS IN ENGINEERING,[None],[None],required
ENGR 1300,ENGINEERING PROBLEM SOLVING,"['MATH 1421', 'MATH 1426', 'MATH 2425', 'MATH 2326', 'MATH 3319', 'SC 1426', 'SC 2425']",[None],required
ENGR 1391,UNDERGRADUATE SPECIAL TOPICS IN ENGINEERING,[None],[None],required
ENGR 2100,SUPERVISED ENGINEERING WORK EXPERIENCE,[None],[None],required
ENGR 3000,SUPERVISED ENGINEERING WORK EXPERIENCE,[None],[None],required
ENGR 3100,SUPERVISED ENGINEERING WORK EXPERIENCE,[None],[None],required
ENGR 4100,SUPERVISED ENGINEERING WORK EXPERIENCE,[None],[None],required
ENGR 4302,ENGINEERING ENTREPRENEURSHIP,[None],[None],required
ENGR 4395,SUSTAINABLE ENGINEERING DESIGN PROJECT,"['ENGR 2300', 'IE 3315', 'ECON 2305']",[None],required
ENGR 5302,ENGINEERING ENTREPRENEURSHIP,[None],[None],required
