Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ENVR 1101,SUCCESS IN EARTH AND ENVIRONMENTAL SCIENCES,[None],[None],required
ENVR 1301,INTRODUCTION TO ENVIRONMENTAL SCIENCE,[None],[None],required
ENVR 1330,GLOBAL WARMING,[None],[None],required
ENVR 2314,THE GLOBAL ENVIRONMENT AND HUMAN HEALTH,[None],[None],required
ENVR 2316,CONSERVATION OF NATURAL RESOURCES,['ENVR 1301'],[None],required
ENVR 2318,CLIMATE CHANGE RISK AND RESILIENCE,[None],[None],required
ENVR 3100,ENVIRONMENTAL SCIENCE PROFESSIONAL ORIENTATION,['ENVR 1301'],[None],required
ENVR 3317,ENVIRONMENTAL HYDROLOGY,['MATH 1426'],[None],required
ENVR 3387,ENVIRONMENTAL SCIENCE FIELD METHODS,['CHEM 1442'],[None],required
ENVR 3454,STATISTICS FOR EARTH AND ENVIRONMENTAL SCIENTISTS,['MATH 1426'],[None],required
ENVR 3457,ENVIRONMENTAL ANALYTICAL CHEMISTRY,['CHEM 1442'],[None],required
ENVR 4189,RESEARCH IN ENVIRONMENTAL SCIENCE,[None],[None],required
ENVR 4190,ENVIRONMENTAL SCIENCE INTERNSHIP,[None],[None],required
ENVR 4199,TECHNICAL SESSIONS,['ENVR 1301'],[None],required
ENVR 4289,RESEARCH IN ENVIRONMENTAL SCIENCES,[None],[None],required
ENVR 4303,TOPICS IN SUSTAINABILITY,[None],[None],required
ENVR 4305,SELECTED TOPICS IN ENVIRONMENTAL SCIENCES,[None],[None],required
ENVR 4306,SYNOPTIC METEOROLOGY,"['MATH 1426', 'PHYS 1441']",[None],required
ENVR 4308,ENVIRONMENTAL GEOCHEMISTRY,['CHEM 1442'],[None],required
ENVR 4312,ENVIRONMENTAL RISK BASED ACTION,['ENVR 1301'],[None],required
ENVR 4313,ENVIRONMENTAL REGULATION OF CHEMICAL HAZARDS,['CHEM 1441'],[None],required
ENVR 4314,TOXICOLOGY FOR ENVIRONMENTAL SCIENTISTS,['CHEM 1441'],[None],required
ENVR 4315,INTRODUCTION TO ENVIRONMENTAL STUDIES,[None],[None],required
ENVR 4323,ISSUES IN ENVIRONMENTAL HEALTH,[None],[None],required
ENVR 4325,TRACER HYDROLOGY,"['ENVR 1301', 'GEOL 1301']",[None],required
ENVR 4330,UNDERSTANDING GEOGRAPHIC INFORMATION SYSTEMS,[None],[None],required
ENVR 4353,DATA ANALYSIS FOR EARTH AND ENVIRONMENTAL SCIENTISTS,"['ENVR 3454', 'GEOL 3454']",[None],required
ENVR 4455,ENVIRONMENTAL DATA SCIENCE,[None],[None],required
ENVR 4456,ENVIRONMENTAL RISK ASSESSMENT,[None],[None],required
ENVR 4458,MACHINE LEARNING FOR EARTH AND ENVIRONMENTAL SCIENTISTS,['GEOL 3454'],[None],required
