Formal Name,Course Name,Prerequisites,Corequisites,Requirement
EVSE 5100,SELECTED TOPICS IN ENVIRONMENTAL SCIENCE AND ENGINEERING,[None],[None],required
EVSE 5115,PROFESSIONAL EXPERIENCE,[None],[None],required
EVSE 5120,ENVIRONMENTAL PROFESSIONAL MENTORING & BUSINESS ETHICS,[None],[None],required
EVSE 5189,RESEARCH IN ENVIRONMENTAL SCIENCES,[None],[None],required
EVSE 5199,SEMINAR IN ENVIRONMENTAL & EARTH SCIENCES,[None],[None],required
EVSE 5200,SELECTED TOPICS IN ENVIRONMENTAL & EARTH SCIENCES,[None],[None],required
EVSE 5289,RESEARCH IN ENVIRONMENTAL SCIENCES,[None],[None],required
EVSE 5294,INDIVIDUAL PROBLEMS IN ENVIRONMENTAL & EARTH SCIENCES,[None],[None],required
EVSE 5300,SELECTED TOPICS IN ENVIRONMENTAL & EARTH SCIENCE,[None],[None],required
EVSE 5303,SUSTAINABILITY ISSUES SEMINAR III,[None],[None],required
EVSE 5306,SYNOPTIC METEOROLOGY,"['MATH 1426', 'PHYS 1441']",[None],required
EVSE 5309,ENVIRONMENTAL SYSTEMS-BIOLOGICAL ASPECTS,[None],[None],required
EVSE 5310,ENVIRONMENTAL SYSTEMS-CHEMICAL ASPECTS,[None],[None],required
EVSE 5311,ENVIRONMENTAL SYSTEMS-GEOLOGICAL ASPECTS,[None],[None],required
EVSE 5312,ENVIRONMENTAL RISK BASED ACTION,[None],[None],required
EVSE 5313,ENVIRONMENTAL REGULATION OF CHEMICAL HAZARDS,['CHEM 1441'],[None],required
EVSE 5314,TOXICOLOGY FOR ENVIRONMENTAL SCIENTISTS,['CHEM 1441'],[None],required
EVSE 5316,CONSERVATION OF NATURAL RESOURCES,['ENVR 1301'],[None],required
EVSE 5317,ENVIRONMENTAL HYDROLOGY,['MATH 1426'],[None],required
EVSE 5318,CLIMATE CHANGE RISK AND RESILIENCE,[None],[None],required
EVSE 5320,TOXICOLOGY,['CHEM 2322'],[None],required
EVSE 5323,ISSUES IN ENVIRONMENTAL HEALTH,[None],[None],required
EVSE 5325,TRACER HYDROLOGY,"['ENVR 1301', 'GEOL 1301']",[None],required
EVSE 5350,CONTAMINANT HYDROGEOLOGY,['GEOL 4320'],[None],required
EVSE 5351,GEOMORPHOLOGY AND QUATERNARY STRATIGRAPHY OF SEDIMENTARY SYSTEMS,[None],[None],required
EVSE 5353,DATA ANALYSIS FOR EARTH AND ENVIRONMENTAL SCIENTISTS,[None],[None],required
EVSE 5357,MEDICAL GEOLOGY,[None],[None],required
EVSE 5389,RESEARCH IN ENVIRONMENTAL SCIENCES,[None],[None],required
EVSE 5394,INDIVIDUAL PROBLEMS IN ENVIRONMENTAL & EARTH SCIENCES,[None],[None],required
EVSE 5395,MASTER'S PROJECT,[None],[None],required
EVSE 5398,THESIS,[None],[None],required
EVSE 5405,METEOROLOGY AND CLIMATOLOGY,[None],[None],required
EVSE 5454,STATISTICS FOR EARTH AND ENVIRONMENTAL SCIENTISTS,[None],[None],required
EVSE 5455,ENVIRONMENTAL DATA SCIENCE,[None],[None],required
EVSE 5456,ENVIRONMENTAL RISK ASSESSMENT,[None],[None],required
EVSE 5457,ENVIRONMENTAL ANALYTICAL CHEMISTRY,['CHEM 1442'],[None],required
EVSE 5458,MACHINE LEARNING FOR EARTH AND ENVIRONMENTAL SCIENTISTS,['ENVR 3454'],[None],required
EVSE 5465,PHYSICAL OCEANOGRAPHY AND LIMNOLOGY,"['PHYS 1441', 'MATH 1426']",[None],required
EVSE 5689,RESEARCH IN ENVIRONMENTAL SCIENCES,[None],[None],required
EVSE 5698,THESIS,[None],[None],required
EVSE 5998,THESIS,[None],[None],required
EVSE 6197,RESEARCH IN ENVIRONMENTAL & EARTH SCIENCES,[None],[None],required
EVSE 6297,RESEARCH IN ENVIRONMENTAL & EARTH SCIENCES,[None],[None],required
EVSE 6397,RESEARCH IN ENVIRONMENTAL AND EARTH SCIENCES,[None],[None],required
EVSE 6399,DISSERTATION,[None],[None],required
EVSE 6697,RESEARCH IN ENVIRONMENTAL & EARTH SCIENCE,[None],[None],required
EVSE 6699,DISSERTATION,[None],[None],required
EVSE 6997,RESEARCH IN ENVIRONMENTAL & EARTH SCIENCE,[None],[None],required
EVSE 6999,DISSERTATION,[None],[None],required
EVSE 7399,DOCTORAL DEGREE COMPLETION,[None],[None],required
