Formal Name,Course Name,Prerequisites,Corequisites,Requirement
EXCH 1191,EXCHANGE COURSE,[None],[None],required
EXCH 1291,EXCHANGE COURSE,[None],[None],required
EXCH 1391,EXCHANGE COURSE,[None],[None],required
EXCH 1491,EXCHANGE COURSE,[None],[None],required
EXCH 1591,EXCHANGE COURSE,[None],[None],required
EXCH 2191,EXCHANGE COURSE,[None],[None],required
EXCH 2291,EXCHANGE COURSE,[None],[None],required
EXCH 2391,EXCHANGE COURSE,[None],[None],required
EXCH 2491,EXCHANGE COURSE,[None],[None],required
EXCH 2591,EXCHANGE COURSE,[None],[None],required
EXCH 3191,EXCHANGE COURSE,[None],[None],required
EXCH 3291,EXCHANGE COURSE,[None],[None],required
EXCH 3391,EXCHANGE COURSE,[None],[None],required
EXCH 3491,EXCHANGE COURSE,[None],[None],required
EXCH 3591,EXCHANGE COURSE,[None],[None],required
EXCH 4191,EXCHANGE COURSE,[None],[None],required
EXCH 4291,EXCHANGE COURSE,[None],[None],required
EXCH 4391,EXCHANGE COURSE,[None],[None],required
EXCH 4491,EXCHANGE COURSE,[None],[None],required
EXCH 4591,EXCHANGE COURSE,[None],[None],required
EXCH 4691,EXCHANGE COURSE,[None],[None],required
EXCH 5191,EXCHANGE COURSE,[None],[None],required
EXCH 5291,EXCHANGE COURSE,[None],[None],required
EXCH 5391,EXCHANGE COURSE,[None],[None],required
EXCH 5491,EXCHANGE COURSE,[None],[None],required
EXCH 5691,EXCHANGE COURSE,[None],[None],required
EXCH 6391,EXCHANGE COURSE,[None],[None],required
