Formal Name,Course Name,Prerequisites,Corequisites,Requirement
FINA 2330,"MONEY, FINANCE AND THE MODERN CONSUMER",[None],[None],required
FINA 3311,PERSONAL FINANCE,[None],[None],required
FINA 3313,BUSINESS FINANCE,"['ECON 2306', 'ACCT 2302', 'MATH 1315']",[None],required
FINA 3315,INVESTMENTS,"['ECON 2306', 'ACCT 2302', 'FINA 3313']",[None],required
FINA 3317,FINANCIAL INSTITUTIONS AND MARKETS,"['ECON 2306', 'ACCT 2302']",[None],required
FINA 4191,STUDIES IN FINANCE,[None],[None],required
FINA 4291,STUDIES IN FINANCE,[None],[None],required
FINA 4311,MONEY AND CAPITAL MARKETS,['FINA 3315'],[None],required
FINA 4315,ADVANCED BUSINESS FINANCIAL ANALYSIS,"['FINA 3313', 'FINA 3315']",[None],required
FINA 4317,LENDING AND CREDIT ANALYSIS,"['FINA 3313', 'FINA 3317']",[None],required
FINA 4318,PORTFOLIO MANAGEMENT AND SECURITY ANALYSIS,['FINA 3313'],[None],required
FINA 4319,FINANCIAL DERIVATIVES,['FINA 3313'],[None],required
FINA 4320,CAPITAL BUDGETING,['FINA 3313'],[None],required
FINA 4324,INTERNATIONAL CORPORATE FINANCE,['FINA 3313'],[None],required
FINA 4326,WEALTH AND EXCHANGE,[None],[None],required
FINA 4328,STUDENT MANAGED INVESTMENT FUND,['FINA 3315'],[None],required
FINA 4331,SEMINAR IN FINANCE,[None],[None],required
FINA 4351,FINANCIAL MODELING,['FINA 3313'],[None],required
FINA 4391,STUDIES IN FINANCE,[None],[None],required
FINA 4393,FINANCE INTERNSHIP,['FINA 3313'],[None],required
FINA 5182,INDEPENDENT STUDIES IN FINANCE,[None],[None],required
FINA 5199,GRADUATE FINANCE INTERNSHIP,[None],[None],required
FINA 5299,GRADUATE FINANCE INTERNSHIP,[None],[None],required
FINA 5311,BUSINESS FINANCIAL MANAGEMENT,['ACCT 5307'],[None],required
FINA 5315,HEALTH CARE FINANCIAL MANAGEMENT,[None],[None],required
FINA 5317,LENDING AND CREDIT ANALYSIS,['FINA 5311'],[None],required
FINA 5323,INVESTMENTS,['FINA 5311'],[None],required
FINA 5327,FINANCIAL DERIVATIVES,"['FINA 5311', 'FINA 5323']",[None],required
FINA 5328,STUDENT MANAGED INVESTMENT FUND,[None],[None],required
FINA 5329,PORTFOLIO AND SECURITY ANALYSIS,"['FINA 5311', 'FINA 5323']",[None],required
FINA 5330,REAL OPTIONS,['FINA 5311'],[None],required
FINA 5331,INTERNATIONAL FINANCE,['FINA 5311'],[None],required
FINA 5334,FINANCIAL INSTITUTIONS AND MARKETS,['FINA 5311'],[None],required
FINA 5340,FINANCIAL APPLICATIONS,['FINA 5311'],[None],required
FINA 5350,MATHEMATICAL FINANCE,['FINA 5311'],[None],required
FINA 5351,FINANCIAL MODELING FOR INVESTMENTS,['FINA 5311'],[None],required
FINA 5352,FINANCIAL MODELING FOR CORPORATE ANALYSIS,['FINA 5311'],[None],required
FINA 5376,FINANCIAL DATA ANALYTICS,['FINA 5311'],[None],required
FINA 5382,INDEPENDENT STUDIES IN FINANCE,[None],[None],required
FINA 5392,SELECTED TOPICS IN FINANCE,[None],[None],required
FINA 5398,THESIS,['STAT 5325'],[None],required
FINA 5399,GRADUATE FINANCE INTERNSHIP,[None],[None],required
FINA 5698,THESIS,['STAT 5325'],[None],required
FINA 6192,RESEARCH IN FINANCE,['FINA 5311'],[None],required
FINA 6292,RESEARCH IN FINANCE,['FINA 5311'],[None],required
FINA 6301,SEMINAR IN THE THEORY OF FINANCE,['FINA 5311'],[None],required
FINA 6311,SEMINAR IN THE THEORY OF CORPORATE FINANCE,['FINA 5311'],[None],required
FINA 6312,SEMINAR IN THE THEORY OF INVESTMENTS,['FINA 5311'],[None],required
FINA 6313,ADVANCED RESEARCH IN FINANCE,['FINA 5311'],[None],required
FINA 6392,RESEARCH IN FINANCE,['FINA 5311'],[None],required
