Formal Name,Course Name,Prerequisites,Corequisites,Requirement
FREN 1441,BEGINNING FRENCH I,[None],[None],required
FREN 1442,BEGINNING FRENCH II,['FREN 1441'],[None],required
FREN 1491,CONFERENCE COURSE,[None],[None],required
FREN 2301,TOPICS IN FRENCH LITERATURE IN TRANSLATION,"['ENGL 1301', 'ENGL 1302']",[None],required
FREN 2310,FRENCH AND FRANCOPHONE CULTURES IN THE WORLD,[None],[None],required
FREN 2313,INTERMEDIATE FRENCH I,['FREN 1442'],[None],required
FREN 2314,INTERMEDIATE FRENCH II,['FREN 2313'],[None],required
FREN 2391,CONFERENCE COURSE,[None],[None],required
FREN 3300,FRENCH PRONUNCIATION,['FREN 1442'],[None],required
FREN 3303,FRENCH CONVERSATION,['FREN 1442'],[None],required
FREN 3304,READINGS AND WRITING IN FRENCH,['FREN 2314'],[None],required
FREN 3305,FRENCH CULTURE AND CIVILIZATION,['FREN 2314'],[None],required
FREN 3309,"FRENCH FILM: ART, TECHNOLOGY AND SOCIETY",['FREN 2314'],[None],required
FREN 3310,INTRODUCTION TO LITERATURE,['FREN 2314'],[None],required
FREN 3311,"CATHEDRALS, CASTLES, AND REVOLUTIONS",['FREN 2314'],[None],required
FREN 3312,FRENCH LITERATURE AND CULTURE 19th to 21st CENTURIES,['FREN 2314'],[None],required
FREN 3316,TOPICS IN CITIES OF FRANCE AND THE FRENCH-SPEAKING WORLD,['FREN 2314'],[None],required
FREN 3318,TOPICS OF IDENTITY IN FRANCE AND THE FRENCH-SPEAKING WORLD,[None],[None],required
FREN 3320,LOCALIZATION AND TRANSLATION I,['FREN 2314'],[None],required
FREN 3321,LOCALIZATION AND TRANSLATION II,['FREN 3320'],[None],required
FREN 3345,INTRODUCTION TO COMPUTER-ASSISTED TRANSLATION,[None],[None],required
FREN 3391,CONFERENCE COURSE,[None],[None],required
FREN 3393,FRENCH INTERNSHIP,[None],[None],required
FREN 4310,GRAPHIC NOVELS AND THE MEDICAL WORLD,['FREN 2314'],[None],required
FREN 4314,IMPROVING FRENCH GRAMMAR AND WRITING,['FREN 2314'],[None],required
FREN 4316,GLOBAL FRENCH CUISINES,['FREN 2314'],[None],required
FREN 4318,INTRODUCTION TO FRENCH LINGUISTICS,[None],[None],required
FREN 4322,TOPICS IN 17TH-CENTURY FRANCE,['FREN 2314'],[None],required
FREN 4324,TOPICS IN 19TH-CENTURY FRANCE,['FREN 2314'],[None],required
FREN 4325,TOPICS IN 18TH-CENTURY FRANCE,['FREN 2314'],[None],required
FREN 4328,TOPICS IN GLOBAL FRENCH IN THE 20TH-21ST CENTURIES,['FREN 2314'],[None],required
FREN 4332,MEDIEVAL AND RENAISSANCE CULTURES,['FREN 2314'],[None],required
FREN 4334,GLOBAL FRENCH CULTURES TODAY,['FREN 2314'],[None],required
FREN 4335,BUSINESS FRENCH,['FREN 2314'],[None],required
FREN 4338,GLOBAL FRENCH LITERATURES AND CULTURES,['FREN 2314'],[None],required
FREN 4339,ACQUISITION OF FRENCH,['FREN 2314'],[None],required
FREN 4341,TRANSLATION: FRENCH & ENGLISH,['FREN 3304'],[None],required
FREN 4342,TOPICS IN TRANSLATION,['FREN 3304'],[None],required
FREN 4391,CONFERENCE COURSE,[None],[None],required
FREN 4393,FRENCH INTERNSHIP,['FREN 3000'],[None],required
FREN 4394,HONORS THESIS / SENIOR PROJECT,[None],[None],required
FREN 5101,TEACHING PRACTICUM I,[None],[None],required
FREN 5102,TEACHING PRACTICUM II,[None],[None],required
FREN 5314,ADVANCED STYLISTICS,[None],[None],required
FREN 5316,MEDIEVAL AND RENAISSANCE LITERATURE AND CULTURE,[None],[None],required
FREN 5317,17TH AND 18TH CENTURY LITERATURE AND CULTURE,[None],[None],required
FREN 5318,19TH AND 20TH CENTURY LITERATURE AND CULTURE,[None],[None],required
FREN 5320,TOPICS IN FRENCH LANGUAGE & LINGUISTICS,[None],[None],required
FREN 5321,TOPICS IN GENRES OF THE 17TH CENTURY,[None],[None],required
FREN 5325,TOPICS IN GENRES OF THE 18TH CENTURY,[None],[None],required
FREN 5330,TOPICS IN GENRES OF THE 19TH CENTURY,[None],[None],required
FREN 5331,TOPICS IN GENRES OF THE 20TH CENTURY,[None],[None],required
FREN 5338,TOPICS IN FRENCH CULTURE,[None],[None],required
FREN 5391,"CONFERENCE COURSE IN FRENCH LINGUISTICS, CULTURE, OR LITERATURE",[None],[None],required
FREN 5398,THESIS,[None],[None],required
FREN 5698,THESIS,[None],[None],required
FREN 5998,THESIS,[None],[None],required
FREN 6310,FRENCH STUDIES,[None],[None],required
