Formal Name,Course Name,Prerequisites,Corequisites,Requirement
GEOG 2301,PHYSICAL GEOGRAPHY,[None],[None],required
GEOG 2302,HUMAN GEOGRAPHY,[None],[None],required
GEOG 2303,WORLD REGIONAL GEOGRAPHY,[None],[None],required
GEOG 3300,RESEARCH METHODS IN GEOGRAPHY,['GEOG 2302'],[None],required
GEOG 3305,MAPS AND MAPMAKERS,[None],[None],required
GEOG 3310,GEOGRAPHY OF THE UNITED STATES AND CANADA,[None],[None],required
GEOG 3315,GEOGRAPHY OF LATIN AMERICA AND THE CARIBBEAN,[None],[None],required
GEOG 3320,GEOGRAPHY OF AFRICA,[None],[None],required
GEOG 3327,CITIES AND SUBURBS IN THE UNITED STATES,[None],[None],required
GEOG 3334,HISTORICAL GEOGRAPHY OF NORTH AMERICA,[None],[None],required
GEOG 3336,ENVIRONMENTAL HISTORY OF THE UNITED STATES,[None],[None],required
GEOG 3347,AMERICA'S BORDERS AND BORDERLANDS,[None],[None],required
GEOG 3380,THE SPATIAL HUMANITIES,[None],[None],required
GEOG 4191,CONFERENCE COURSE,[None],[None],required
GEOG 4291,CONFERENCE COURSE,[None],[None],required
GEOG 4314,GEOGRAPHY OF WAR,[None],[None],required
GEOG 4330,UNDERSTANDING GEOGRAPHIC INFORMATION SYSTEMS,[None],[None],required
GEOG 4331,ANALYSIS OF SPATIAL DATA,['GEOL 4330'],[None],required
GEOG 4332,GLOBAL POSITIONING SYSTEM,['GEOL 4330'],[None],required
GEOG 4333,REMOTE SENSING FUNDAMENTALS,['GEOL 4330'],[None],required
GEOG 4334,GEOGRAPHIC DATA ANALYSIS,['GEOL 4330'],[None],required
GEOG 4340,GEOGRAPHIES OF FILM,[None],[None],required
GEOG 4341,IMAGES OF THE SOUTHWEST BORDERLANDS,[None],[None],required
GEOG 4350,SPECIAL TOPICS IN MODERN GEOGRAPHY,[None],[None],required
GEOG 4391,CONFERENCE COURSE,[None],[None],required
GEOG 5330,UNDERSTANDING GEOGRAPHIC INFORMATION SYSTEMS,[None],[None],required
GEOG 5331,ANALYSIS OF SPATIAL DATA,[None],[None],required
GEOG 5334,GEOGRAPHIC DATA ANALYSIS PROJECT,"['GEOL 5320', 'GEOL 4330']",[None],required
