Formal Name,Course Name,Prerequisites,Corequisites,Requirement
GEOL 1101,SUCCESS IN EARTH AND ENVIRONMENTAL SCIENCES,[None],[None],required
GEOL 1301,EARTH SYSTEMS,[None],[None],required
GEOL 1302,EARTH HISTORY,[None],[None],required
GEOL 1330,GLOBAL WARMING,[None],[None],required
GEOL 1340,WEATHER AND CLIMATE,[None],[None],required
GEOL 1350,INTRODUCTION TO OCEANOGRAPHY,[None],[None],required
GEOL 1360,GEOLOGIC HAZARDS,[None],[None],required
GEOL 2406,NATURAL RESOURCES & SUSTAINABILITY,[None],[None],required
GEOL 2445,MINERALOGY,"['GEOL 1301', 'CHEM 1442']",[None],required
GEOL 3100,GEOSCIENCE PROFESSIONAL ORIENTATION,[None],[None],required
GEOL 3305,METEOROLOGY AND CLIMATOLOGY,"['MATH 1426', 'PHYS 1441', 'PHYS 1443']",[None],required
GEOL 3316,ASTROBIOLOGY I,"['PHYS 1441', 'PHYS 2315']",[None],required
GEOL 3340,GEOLOGY FOR ENGINEERS,"['PHYS 1443', 'CHEM 1465']",[None],required
GEOL 3358,ASTROBIOLOGY II,"['PHYS 1441', 'PHYS 2315']",[None],required
GEOL 3387,FIELD GEOLOGY I,"['GEOL 2445', 'GEOL 3442', 'GEOL 3443', 'GEOL 3446']",[None],required
GEOL 3388,FIELD GEOLOGY II,"['GEOL 2445', 'GEOL 3442', 'GEOL 3443', 'GEOL 3387']",[None],required
GEOL 3441,BIOSTRATIGRAPHY AND LIFE THROUGH TIME,['GEOL 1302'],[None],required
GEOL 3442,SEDIMENTOLOGY AND STRATIGRAPHY,['GEOL 2445'],[None],required
GEOL 3443,STRUCTURAL GEOLOGY,"['GEOL 2445', 'PHYS 1441']",[None],required
GEOL 3446,PETROLOGY AND GEOCHEMISTRY,['GEOL 2445'],[None],required
GEOL 3454,STATISTICS FOR EARTH AND ENVIRONMENTAL SCIENTISTS,['MATH 1426'],[None],required
GEOL 4081,RESEARCH IN EARTH & ENVIRONMENTAL SCIENCES,[None],[None],required
GEOL 4181,TOPICS IN ENERGY AND EARTH RESOURCES,['GEOL 1301'],[None],required
GEOL 4189,RESEARCH IN GEOLOGY,[None],[None],required
GEOL 4190,GEOSCIENCE INTERNSHIP,[None],[None],required
GEOL 4199,TECHNICAL SESSIONS,['ENVR 1301'],[None],required
GEOL 4289,RESEARCH IN GEOLOGY,[None],[None],required
GEOL 4302,GEODYNAMICS,"['GEOL 3443', 'MATH 2425']",[None],required
GEOL 4304,SOLID EARTH GEOMECHANICS,"['GEOL 3443', 'MATH 2425', 'PHYS 1444']",[None],required
GEOL 4305,SELECTED TOPICS IN GEOLOGY,[None],[None],required
GEOL 4307,SEQUENCE STRATIGRAPHY,['GEOL 3442'],[None],required
GEOL 4308,ENVIRONMENTAL GEOCHEMISTRY,['CHEM 1442'],[None],required
GEOL 4323,ISSUES IN ENVIRONMENTAL HEALTH,[None],[None],required
GEOL 4330,UNDERSTANDING GEOGRAPHIC INFORMATION SYSTEMS,[None],[None],required
GEOL 4331,ANALYSIS OF SPATIAL DATA,['GEOL 4330'],[None],required
GEOL 4332,GLOBAL POSITIONING SYSTEM,['GEOL 4330'],[None],required
GEOL 4333,REMOTE SENSING FUNDAMENTALS,['GEOL 4330'],[None],required
GEOL 4334,GEOGRAPHIC DATA ANALYSIS,['GEOL 4330'],[None],required
GEOL 4335,TECTONICS AND ISOTOPES,"['GEOL 3442', 'GEOL 3446']",[None],required
GEOL 4342,MICROFOSSILS AND CARBONATE ROCKS,['GEOL 1302'],[None],required
GEOL 4343,RESEARCH METHODS - UTEACH,['SCIE 1201'],[None],required
GEOL 4346,BASIN ANALYSIS,"['GEOL 3442', 'MATH 1426']",[None],required
GEOL 4350,STABLE ISOTOPE GEOCHEMISTRY,"['GEOL 2445', 'CHEM 1442']",[None],required
GEOL 4351,SUSTAINABLE ENERGY RESOURCES,"['GEOL 1301', 'ENVR 1301', 'GEOL 3340']",[None],required
GEOL 4352,ANALYTICAL METHODS IN GEOCHEMISTRY,['CHEM 1442'],[None],required
GEOL 4353,DATA ANALYSIS FOR EARTH AND ENVIRONMENTAL SCIENTISTS,"['ENVR 3454', 'GEOL 3454']",[None],required
GEOL 4357,MEDICAL GEOLOGY,['GEOL 1301'],[None],required
GEOL 4360,GEOLOGICAL PROCESSES OF OCEANS,['GEOL 3442'],[None],required
GEOL 4367,PALEO EARTH SYSTEMS,['GEOL 1301'],[None],required
GEOL 4368,GEOLOGY OF THE PERMIAN BASIN,['GEOL 1301'],[None],required
GEOL 4389,RESEARCH IN GEOLOGY,[None],[None],required
GEOL 4393,HONORS THESIS/SENIOR PROJECT,[None],[None],required
GEOL 4402,COMPUTER MODELING IN EARTH SCIENCE,['MATH 2425'],[None],required
GEOL 4405,METEOROLOGY AND CLIMATOLOGY,"['MATH 1426', 'PHYS 1441']",[None],required
GEOL 4420,HYDROGEOLOGY,"['PHYS 1441', 'PHYS 1443']",[None],required
GEOL 4421,GEOCHRONOLOGY,['GEOL 1301'],[None],required
GEOL 4422,CONTAMINANT HYDROGEOLOGY,"['GEOL 1301', 'ENVR 1301']",[None],required
GEOL 4425,PALEOCLIMATE & CLIMATE CHANGE,['GEOL 1301'],[None],required
GEOL 4443,SEDIMENTARY SYSTEMS,['GEOL 3442'],[None],required
GEOL 4455,ENVIRONMENTAL DATA SCIENCE,[None],[None],required
GEOL 4456,ENVIRONMENTAL RISK ASSESSMENT,[None],[None],required
GEOL 4458,MACHINE LEARNING FOR EARTH AND ENVIRONMENTAL SCIENTISTS,['GEOL 3454'],[None],required
GEOL 4465,PHYSICAL OCEANOGRAPHY AND LIMNOLOGY,"['MATH 1426', 'PHYS 1441']",[None],required
GEOL 5151,TOPICS IN ENERGY AND EARTH RESOURCES,['GEOL 1301'],[None],required
GEOL 5180,PROFESSIONAL ORIENTATION AND BUSINESS ETHICS,['GEOL 5345'],[None],required
GEOL 5181,RESEARCH IN GEOLOGY,[None],[None],required
GEOL 5190,GEOSCIENCE INTERNSHIP,[None],[None],required
GEOL 5199,TECHNICAL SESSIONS,[None],[None],required
GEOL 5265,TOPICS IN GEOL,[None],[None],required
GEOL 5281,RESEARCH IN GEOLOGY,[None],[None],required
GEOL 5301,ENVIRONMENTAL GEOCHEMISTRY,[None],[None],required
GEOL 5302,GEODYNAMICS,"['GEOL 3443', 'MATH 2425']",[None],required
GEOL 5303,ROCK FRACTURE MECHANICS,"['GEOL 3443', 'MATH 2425', 'GEOL 3340', 'CE 2313']",[None],required
GEOL 5304,SOLID EARTH GEOMECHANICS,"['GEOL 3443', 'MATH 2325', 'PHYS 1441']",[None],required
GEOL 5305,METEOROLOGY AND CLIMATOLOGY,"['MATH 1426', 'PHYS 1441', 'PHYS 1443']",[None],required
GEOL 5309,GEOMORPHOLOGY & QUATERNARY STRATIGRAPHY OF SEDIMENTARY SYSTEMS,[None],[None],required
GEOL 5320,UNDERSTANDING GEOGRAPHIC INFORMATION SYSTEMS,[None],[None],required
GEOL 5321,ANALYSIS OF SPATIAL DATA,['GEOL 4330'],[None],required
GEOL 5322,GLOBAL POSITIONING SYSTEM,['GEOL 4330'],[None],required
GEOL 5323,REMOTE SENSING FUNDAMENTALS,['GEOL 4330'],[None],required
GEOL 5324,GEOGRAPHIC DATA ANALYSIS PROJECT,"['GEOL 5320', 'GEOL 4330']",[None],required
GEOL 5332,STABLE ISOTOPE GEOCHEMISTRY,[None],[None],required
GEOL 5333,FIELD METHODS,[None],[None],required
GEOL 5334,ANALYTICAL METHODS IN ENVIRONMENTAL SCIENCE,[None],[None],required
GEOL 5335,ISOTOPES AND TECTONICS,['CHEM 1442'],[None],required
GEOL 5342,MICROFOSSILS AND CARBONATE ROCKS,['GEOL 1302'],[None],required
GEOL 5345,PETROLEUM GEOLOGY,"['GEOL 3442', 'GEOL 3443']",[None],required
GEOL 5351,SUSTAINABLE ENERGY RESOURCES,"['GEOL 1301', 'ENVR 1301', 'GEOL 3340']",[None],required
GEOL 5365,TOPICS IN GEOLOGY,[None],[None],required
GEOL 5367,PALEO EARTH SYSTEMS,['GEOL 1301'],[None],required
GEOL 5368,GEOLOGY OF THE PERMIAN BASIN,[None],[None],required
GEOL 5369,SEQUENCE STRATIGRAPHY,['GEOL 3442'],[None],required
GEOL 5370,SEDIMENTARY SYSTEMS,[None],[None],required
GEOL 5371,BASIN ANALYSIS,['GEOL 3442'],[None],required
GEOL 5372,STRUCTURAL GEOMETRY AND TECTONICS OF PETROLEUM FIELDS,['GEOL 3443'],[None],required
GEOL 5373,RESERVOIR CHARACTERIZATION,[None],[None],required
GEOL 5374,SEISMIC INTERPRETATION,"['GEOL 3442', 'GEOL 3443']",[None],required
GEOL 5375,INTRODUCTION TO WELL LOG INTERPRETATION AND MAPPING,['GEOL 3442'],[None],required
GEOL 5381,RESEARCH IN GEOLOGY,[None],[None],required
GEOL 5395,MASTER'S PROJECT,['GEOL 1301'],[None],required
GEOL 5398,THESIS,[None],[None],required
GEOL 5405,METEOROLOGY AND CLIMATOLOGY,"['MATH 1426', 'PHYS 1441']",[None],required
GEOL 5421,GEOCHRONOLOGY,['GEOL 1301'],[None],required
GEOL 5425,PALEOCLIMATE AND CLIMATE CHANGE,['GEOL 1301'],[None],required
GEOL 5428,HYDROGEOLOGY,"['PHYS 1441', 'PHYS 1443']",[None],required
GEOL 5450,CONTAMINANT HYDROGEOLOGY,[None],[None],required
GEOL 5454,STATISTICS FOR EARTH AND ENVIRONMENTAL SCIENTISTS,[None],[None],required
GEOL 5456,ENVIRONMENTAL RISK ASSESSMENT,[None],[None],required
GEOL 5458,MACHINE LEARNING FOR EARTH AND ENVIRONMENTAL SCIENTISTS,['ENVR 3454'],[None],required
GEOL 5465,PHYSICAL OCEANOGRAPHY AND LIMNOLOGY,"['PHYS 1441', 'MATH 1426']",[None],required
GEOL 5698,THESIS,[None],[None],required
