Formal Name,Course Name,Prerequisites,Corequisites,Requirement
GERM 1441,BEGINNING GERMAN I,[None],[None],required
GERM 1442,BEGINNING GERMAN II,['GERM 1441'],[None],required
GERM 1491,CONFERENCE COURSE,[None],[None],required
GERM 2310,GERMAN CULTURE IN THE WORLD,[None],[None],required
GERM 2313,INTERMEDIATE GERMAN I,['GERM 1442'],[None],required
GERM 2314,INTERMEDIATE GERMAN II,['GERM 2313'],[None],required
GERM 2391,CONFERENCE COURSE,[None],[None],required
GERM 3310,LOCALIZATION AND TRANSLATION I,['GERM 2314'],[None],required
GERM 3311,LOCALIZATION AND TRANSLATION II,['GERM 3310'],[None],required
GERM 3313,TOPICS IN GERMAN CULTURE & CONVERSATION,"['GERM 2314', 'GERM 2314']",[None],required
GERM 3316,GERMAN COMPOSITION & GRAMMAR,['GERM 2314'],[None],required
GERM 3318,SPECIAL TOPICS IN GERMAN STUDIES I,[None],[None],required
GERM 3345,INTRODUCTION TO COMPUTER-ASSISTED TRANSLATION,[None],[None],required
GERM 3391,CONFERENCE COURSE,[None],[None],required
GERM 3393,GERMAN INTERNSHIP,[None],[None],required
GERM 4321,TOPICS IN LITERATURE & CULTURE,['GERM 2314'],[None],required
GERM 4322,SPECIAL TOPICS IN GERMAN STUDIES II,['GERM 2314'],[None],required
GERM 4334,THE CULTURE OF BUSINESS,['GERM 2314'],[None],required
GERM 4335,BUSINESS GERMAN,['GERM 4334'],[None],required
GERM 4339,THE ACQUISITION OF GERMAN,[None],[None],required
GERM 4391,CONFERENCE COURSE,[None],[None],required
GERM 4393,GERMAN INTERNSHIP,['GERM 3000'],[None],required
GERM 4394,HONORS THESIS / SENIOR PROJECT,[None],[None],required
