Formal Name,Course Name,Prerequisites,Corequisites,Requirement
HCAD 5192,SPECIAL TOPICS IN HEALTH CARE ADMINISTRATION,[None],[None],required
HCAD 5199,GRADUATE HEALTH CARE ADMINISTRATION INTERNSHIP,[None],[None],required
HCAD 5292,SPECIAL TOPICS IN HEALTH CARE ADMINISTRATION,[None],[None],required
HCAD 5299,GRADUATE HEALTH CARE ADMINISTRATION INTERNSHIP,[None],[None],required
HCAD 5301,HEALTH CARE ADMINISTRATION I,[None],[None],required
HCAD 5302,HEALTH CARE ADMINISTRATION II,[None],[None],required
HCAD 5305,FINANCIAL ACCOUNTING FOR HEALTH CARE INDUSTRY,[None],[None],required
HCAD 5306,MANAGERIAL ACCOUNTING FOR HEALTH CARE INDUSTRY,['HCAD 5305'],[None],required
HCAD 5310,HEALTH CARE LAW,[None],[None],required
HCAD 5315,STATISTICAL METHODS FOR HEALTH CARE ADMINISTRATORS,[None],[None],required
HCAD 5316,HEALTH CARE FINANCE,[None],[None],required
HCAD 5330,SERVICE MARKETING MANAGEMENT,[None],[None],required
HCAD 5333,ECONOMICS OF HEALTH,[None],[None],required
HCAD 5337,"ETHICS, LEADERSHIP, AND TEAMWORK",[None],[None],required
HCAD 5340,HEALTH CARE STRATEGIC HUMAN CAPITAL,[None],[None],required
HCAD 5350,HEALTH CARE INFORMATION SYSTEMS,[None],[None],required
HCAD 5377,HEALTH CARE QUALITY ASSESSMENT,[None],[None],required
HCAD 5380,HEALTH CARE DATA ANALYTICS,[None],[None],required
HCAD 5390,STRATEGIC MANAGEMENT FOR HEALTH CARE ORGANIZATIONS,[None],[None],required
HCAD 5392,SPECIAL TOPICS IN HEALTH CARE ADMINISTRATION,[None],[None],required
HCAD 5398,RESEARCH IN HEALTH CARE ADMINISTRATION,[None],[None],required
HCAD 5399,GRADUATE HEALTH CARE ADMINISTRATION INTERNSHIP,[None],[None],required
