Formal Name,Course Name,Prerequisites,Corequisites,Requirement
HEED 1230,FIRST AID / CPR / AED TRAINING,[None],[None],required
HEED 1301,NUTRITION,[None],[None],required
HEED 1316,FOUNDATIONS OF HEALTH,[None],[None],required
HEED 1340,HEALTHY LIFESTYLES,[None],[None],required
HEED 2300,STUDENT HEALTH PEER TRAINING,[None],[None],required
HEED 2317,BASIC CONCEPTS IN HUMAN SEXUALITY,[None],[None],required
HEED 2330,CARE AND PREVENTION OF ATHLETIC INJURIES,[None],[None],required
HEED 3301,SPORTS NUTRITION,[None],[None],required
HEED 3303,DRUGS AND BEHAVIOR,[None],[None],required
HEED 3305,WOMEN'S HEALTH ISSUES,[None],[None],required
HEED 3330,CONSUMER HEALTH AND PUBLIC HEALTH SYSTEMS,"['KINE 2350', 'KINE 3350']",[None],required
HEED 4191,CONFERENCE COURSE,[None],[None],required
HEED 4192,SPECIAL TOPICS IN HEALTH,[None],[None],required
HEED 4291,CONFERENCE COURSE,[None],[None],required
HEED 4292,SPECIAL TOPICS IN HEALTH,[None],[None],required
HEED 4310,STRESS MANAGEMENT,[None],[None],required
HEED 4311,THE ENVIRONMENT AND PUBLIC HEALTH SYSTEMS,"['KINE 2350', 'KINE 3350', 'KINE 3353', 'CHEM 1441', 'BIOL 1345']",[None],required
HEED 4312,HEALTH & HUMAN DISEASE,[None],[None],required
HEED 4320,STUDIES IN HEALTHY AGING,[None],[None],required
HEED 4330,COMPREHENSIVE SEXUALITY EDUCATION,[None],[None],required
HEED 4340,PRINCIPLES OF HEALTH APPLICATIONS,['KINE 2350'],[None],required
HEED 4357,HEALTH PSYCHOLOGY,['PSYC 1315'],[None],required
HEED 4391,CONFERENCE COURSE,[None],[None],required
HEED 4392,SPECIAL TOPICS IN HEALTH,[None],[None],required
