Formal Name,Course Name,Prerequisites,Corequisites,Requirement
HIST 1301,HISTORY OF THE UNITED STATES TO 1865,[None],[None],required
HIST 1302,"HISTORY OF THE UNITED STATES, 1865 TO PRESENT",[None],[None],required
HIST 1331,"TECHNOLOGY AND SCIENCE IN AMERICAN SOCIETY, I",[None],[None],required
HIST 1332,"TECHNOLOGY AND SCIENCE IN AMERICAN SOCIETY, II",[None],[None],required
HIST 2310,RUSSIAN CULTURE IN THE WORLD,[None],[None],required
HIST 2311,WESTERN CIVILIZATION TO 1500,[None],[None],required
HIST 2312,"WESTERN CIVILIZATION, 1500 TO THE PRESENT",[None],[None],required
HIST 2313,HISTORY OF ENGLAND,[None],[None],required
HIST 2314,HISTORY OF ENGLAND,[None],[None],required
HIST 2321,WORLD HISTORY TO 1400,[None],[None],required
HIST 2322,"WORLD HISTORY, 1400 TO THE PRESENT",[None],[None],required
HIST 2371,HISTORY OF ASTRONOMY,[None],[None],required
HIST 2377,FLIGHT CULTURE AND THE HUMAN EXPERIENCE,[None],[None],required
HIST 3300,INTRODUCTION TO HISTORICAL RESEARCH,[None],[None],required
HIST 3301,"TECHNOLOGY, CULTURE, & SOCIETY",[None],[None],required
HIST 3303,HISTORY OF VIDEO GAMES,[None],[None],required
HIST 3305,MAPS AND MAPMAKERS,[None],[None],required
HIST 3306,HISTORY AND FILM,[None],[None],required
HIST 3307,U.S. DISABILITY HISTORY,"['HIST 1301', 'HIST 1302']",[None],required
HIST 3308,HISTORY OF MADNESS,[None],[None],required
HIST 3309,HEALTH AND INCARCERATION,[None],[None],required
HIST 3310,AMERICAN COLONIAL ERA TO 1763,[None],[None],required
HIST 3311,"THE AMERICAN REVOLUTION AND THE CONSTITUTION, 1763-1789",[None],[None],required
HIST 3312,DEMOCRACY IN AMERICA,[None],[None],required
HIST 3314,CIVIL WAR AND RECONSTRUCTION,[None],[None],required
HIST 3316,TECHNOLOGY AND INNOVATION IN MODERN AMERICA,[None],[None],required
HIST 3317,"CONTEMPORARY AMERICA, 1945-PRESENT",[None],[None],required
HIST 3320,AMERICAN INDIAN HISTORY,[None],[None],required
HIST 3321,MEXICAN-AMERICAN HISTORY,[None],[None],required
HIST 3322,AFRICAN AMERICAN HISTORY TO 1863,[None],[None],required
HIST 3323,AFRICAN AMERICAN HISTORY SINCE EMANCIPATION,[None],[None],required
HIST 3324,U.S. WOMEN'S HISTORY,[None],[None],required
HIST 3325,IMMIGRATION IN UNITED STATES HISTORY,"['HIST 1301', 'HIST 1302']",[None],required
HIST 3326,TWENTIETH-CENTURY AMERICAN CULTURAL HISTORY,[None],[None],required
HIST 3327,CITIES AND SUBURBS IN THE UNITED STATES,[None],[None],required
HIST 3328,"RACE, REPRESENTATION, AND THE MOVIES",[None],[None],required
HIST 3330,"U.S. LEGAL AND CONSTITUTIONAL HISTORY, COLONIAL TO 1877",[None],[None],required
HIST 3331,"U.S. LEGAL AND CONSTITUTIONAL HISTORY, 1877 TO PRESENT",[None],[None],required
HIST 3334,HISTORICAL GEOGRAPHY OF NORTH AMERICA,[None],[None],required
HIST 3335,HISTORY OF NATURAL DISASTERS,[None],[None],required
HIST 3336,ENVIRONMENTAL HISTORY OF THE UNITED STATES,[None],[None],required
HIST 3337,MILITARY HISTORY OF THE UNITED STATES,[None],[None],required
HIST 3338,"HISTORY OF AMERICAN CAPITALISM, 1607-PRESENT",[None],[None],required
HIST 3340,HISTORY OF THE NORTH AMERICAN WEST,[None],[None],required
HIST 3342,"THE OLD SOUTH, 1607-1863",[None],[None],required
HIST 3343,"THE NEW SOUTH, 1863-PRESENT",[None],[None],required
HIST 3345,TEXAS TO 1850,[None],[None],required
HIST 3346,TEXAS SINCE 1845,[None],[None],required
HIST 3347,AMERICA'S BORDERS AND BORDERLANDS,[None],[None],required
HIST 3348,HISTORY OF THE DALLAS-FORT WORTH METROPLEX,[None],[None],required
HIST 3350,ANCIENT GREECE,[None],[None],required
HIST 3351,ANCIENT ROME,[None],[None],required
HIST 3352,MEDIEVAL EUROPE I,[None],[None],required
HIST 3353,MEDIEVAL EUROPE II,[None],[None],required
HIST 3354,THE RENAISSANCE,[None],[None],required
HIST 3355,EUROPE: THE REFORMATION AND COUNTER-REFORMATION,[None],[None],required
HIST 3356,"EARLY MODERN EUROPE, 1560-1715",[None],[None],required
HIST 3357,MILITARY REVOLUTION,[None],[None],required
HIST 3360,"NINETEENTH-CENTURY EUROPE, 1789-1914",[None],[None],required
HIST 3361,"TWENTIETH-CENTURY EUROPE, 1914-1991",[None],[None],required
HIST 3362,"TUDOR-STUART ENGLAND, 1485-1714",[None],[None],required
HIST 3363,EARLY MODERN BRITAIN,[None],[None],required
HIST 3364,MODERN BRITAIN,[None],[None],required
HIST 3365,"EARLY FRANCE: OLD REGIME AND REVOLUTION, 1610-1799",[None],[None],required
HIST 3366,"MODERN FRANCE, 1799-PRESENT",[None],[None],required
HIST 3367,"GERMANY IN THE WORLD, 1815-1918",[None],[None],required
HIST 3368,"GERMANY AND THE WORLD, 1918-PRESENT",[None],[None],required
HIST 3369,HISTORY OF SPAIN AND PORTUGAL,[None],[None],required
HIST 3370,THE MAKING OF MODERN UKRAINE,[None],[None],required
HIST 3371,THE RUSSIAN EMPIRE 1552-1917,[None],[None],required
HIST 3372,"THE SOVIET UNION, 1917-1991",[None],[None],required
HIST 3373,PUTINISM AND THE CULTURE OF RUSSIAN POLITICS,['ENGL 1301'],[None],required
HIST 3374,EAST CENTRAL EUROPE AND THE MODERN WORLD,[None],[None],required
HIST 3375,LATIN AMERICAN HISTORY: ORIGINS THROUGH INDEPENDENCE,[None],[None],required
HIST 3376,LATIN AMERICAN HISTORY: POST-INDEPENDENCE TO THE PRESENT,[None],[None],required
HIST 3377,HISTORY OF MEXICO,[None],[None],required
HIST 3378,HISTORY OF THE CARIBBEAN,[None],[None],required
HIST 3385,AFRICAN HISTORY I,[None],[None],required
HIST 3386,AFRICAN HISTORY II,[None],[None],required
HIST 3388,HISTORY AND LEADERSHIP,[None],[None],required
HIST 3389,PRACTICAL HISTORY,[None],[None],required
HIST 3390,HONORS COLLOQUIUM,[None],[None],required
HIST 3391,MOOT COURT,[None],[None],required
HIST 3392,ARCHIVES AND THE ARCHIVES PROFESSION,[None],[None],required
HIST 3393,PUBLIC HISTORY,[None],[None],required
HIST 3395,SELECTED TOPICS IN HISTORY,[None],[None],required
HIST 4191,UNDERGRADUATE CONFERENCE COURSE,[None],[None],required
HIST 4291,UNDERGRADUATE CONFERENCE COURSE,[None],[None],required
HIST 4302,WOMEN AND WORK IN TRANSATLANTIC PERSPECTIVE,[None],[None],required
HIST 4303,HISTORY OF ENGINEERING,[None],[None],required
HIST 4304,REVOLUTIONS AND REVOLUTIONARIES IN HISTORY,[None],[None],required
HIST 4306,INTERCULTURAL TRANSFERS IN HISTORY,[None],[None],required
HIST 4307,HISTORY OF MEDICINE,[None],[None],required
HIST 4308,GLOBAL HISTORY OF PHILANTHROPY,[None],[None],required
HIST 4309,SOCIAL DARWINISM AND EUGENICS,[None],[None],required
HIST 4311,"CRIME, PUNISHMENT, AND EXILE",[None],[None],required
HIST 4312,WAR & SOCIETY,[None],[None],required
HIST 4313,SMALL WARS & INSURGENCIES,[None],[None],required
HIST 4314,GEOGRAPHY OF WAR,[None],[None],required
HIST 4319,"NATIVE AMERICANS, SCIENCE AND TECHNOLOGY",[None],[None],required
HIST 4320,RADICALISM IN MODERN AMERICA,"['HIST 1301', 'HIST 1302']",[None],required
HIST 4321,WORK AND PLAY IN THE USA,[None],[None],required
HIST 4324,NATIVE AMERICAN WOMEN,[None],[None],required
HIST 4325,HISTORY OF HIP HOP,[None],[None],required
HIST 4326,TOPICS IN DISABILITY HISTORY,"['HIST 1301', 'HIST 1302']",[None],required
HIST 4327,CYBORGS AND PROSTHETICS,[None],[None],required
HIST 4328,NATIVE AMERICANS IN POPULAR CULTURE,[None],[None],required
HIST 4330,GREAT ANGLO-AMERICAN TRIALS,[None],[None],required
HIST 4331,U.S. CIVIL LIBERTIES,[None],[None],required
HIST 4332,PRESIDENTIAL PERSONALITY,[None],[None],required
HIST 4333,COMPARATIVE CIVIL RIGHTS HISTORY,[None],[None],required
HIST 4340,HOLLYWOOD AND THE WEST,[None],[None],required
HIST 4341,IMAGES OF THE SOUTHWEST BORDERLANDS,[None],[None],required
HIST 4342,HISTORY OF THE NORTH AMERICAN FUR TRADE,[None],[None],required
HIST 4350,HISTORY OF ANCIENT SPORT,[None],[None],required
HIST 4351,MEDIEVAL TECHNOLOGY AND SCIENTIFIC THOUGHT,[None],[None],required
HIST 4352,MEDIEVAL CRUSADE AND JIHAD,[None],[None],required
HIST 4353,MEDIEVAL TRAVELERS,[None],[None],required
