Formal Name,Course Name,Prerequisites,Corequisites,Requirement
HONR 1100,ENRICHMENT SERIES,[None],[None],required
HONR 1304,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 2104,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 2106,HONORS SEMINAR,[None],[None],required
HONR 2111,HONORS COMMUNITY SERVICE LEARNING,[None],[None],required
HONR 2203,HONORS SPECIAL TOPICS,[None],[None],required
HONR 2204,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 2300,SEMINAR,[None],[None],required
HONR 2304,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 2403,SPECIAL TOPICS,[None],[None],required
HONR 2404,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 2435,HONORS SPECIAL TOPICS,[None],[None],required
HONR 3103,INDEPENDENT STUDY,[None],[None],required
HONR 3104,SPECIAL TOPICS,[None],[None],required
HONR 3203,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 3204,SPECIAL TOPICS,[None],[None],required
HONR 3303,INDEPENDENT STUDY,[None],[None],required
HONR 3403,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 3404,HONORS SPECIAL TOPICS,[None],[None],required
HONR 3435,HONORS SPECIAL TOPICS,[None],[None],required
HONR 3504,HONORS SPECIAL TOPICS,[None],[None],required
HONR 3535,HONORS SPECIAL TOPICS,[None],[None],required
HONR 4000,HONORS INDEPENDENT RESEARCH,[None],[None],required
HONR 4103,ADVANCED SPECIAL TOPICS,[None],[None],required
HONR 4104,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 4106,HONORS ADVANCED SEMINAR,[None],[None],required
HONR 4144,HONORS SERVICE LEARNING OPPORTUNITIES,[None],[None],required
HONR 4203,ADVANCED SPECIAL TOPICS,[None],[None],required
HONR 4204,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 4244,HONORS SERVICE LEARNING OPPORTUNITIES,[None],[None],required
HONR 4300,ADVANCED SEMINAR,[None],[None],required
HONR 4303,ADVANCED SPECIAL TOPICS,[None],[None],required
HONR 4304,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 4310,HONORS STUDY ABROAD,[None],[None],required
HONR 4320,HONORS INTERNSHIP,[None],[None],required
HONR 4344,HONORS SERVICE LEARNING OPPORTUNITIES,[None],[None],required
HONR 4394,HONORS SENIOR RESEARCH THESIS/CREATIVE PROJECT,[None],[None],required
HONR 4403,HONORS SPECIAL TOPICS,[None],[None],required
HONR 4404,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 4435,HONORS SPECIAL TOPICS,[None],[None],required
HONR 4503,HONORS SPECIAL TOPICS,[None],[None],required
HONR 4504,HONORS INDEPENDENT STUDY,[None],[None],required
HONR 4535,HONORS SPECIAL TOPICS,[None],[None],required
