Formal Name,Course Name,Prerequisites,Corequisites,Requirement
IE 1110,FIRST SEMESTER INDUSTRIAL AND SYSTEMS ENGINEERING SEMINAR,[None],[None],required
IE 1205,INTRODUCTION TO INDUSTRIAL ENGINEERING AND COMPUTING,[None],[None],required
IE 1325,INTRODUCTION TO DATA ANALYSIS,['IE 1110'],[None],required
IE 2000,UNDERGRADUATE RESEARCH,[None],[None],required
IE 2305,COMPUTER APPLICATIONS IN INDUSTRIAL ENGINEERING,['IE 1325'],[None],required
IE 2308,ECONOMICS FOR ENGINEERS,['MATH 1426'],[None],required
IE 3000,UNDERGRADUATE RESEARCH,[None],[None],required
IE 3301,ENGINEERING PROBABILITY,['MATH 2425'],[None],required
IE 3314,ENGINEERING RESEARCH METHODS,"['IE 3301', 'MATH 2326']",[None],required
IE 3315,OPERATIONS RESEARCH I,['MATH 2326'],[None],required
IE 3343,METRICS AND MEASUREMENT,"['MATH 2326', 'IE 2308', 'IE 3301']",[None],required
IE 3351,FUNDAMENTALS OF SYSTEMS ENGINEERING,['MATH 2425'],[None],required
IE 4000,UNDERGRADUATE RESEARCH,[None],[None],required
IE 4191,SPECIAL PROBLEMS IN INDUSTRIAL ENGINEERING,[None],[None],required
IE 4291,SPECIAL PROBLEMS IN INDUSTRIAL ENGINEERING,[None],[None],required
IE 4300,TOPICS IN INDUSTRIAL ENGINEERING,[None],[None],required
IE 4302,ENGINEERING ADMINISTRATION AND ORGANIZATION,[None],[None],required
IE 4303,PRODUCTION AND INVENTORY CONTROL,"['IE 2305', 'IE 3301', 'IE 3315']",[None],required
IE 4304,ENTERPRISE SYSTEMS,['IE 4303'],[None],required
IE 4305,ENGINEERING DECISION MAKING WITH DATA USING PYTHON,['IE 3301'],[None],required
IE 4308,QUALITY SYSTEMS,['IE 3301'],[None],required
IE 4310,INDUSTRIAL AND PRODUCT SAFETY,[None],[None],required
IE 4314,DATA MINING AND ANALYTICS,['IE 3301'],[None],required
IE 4315,OPERATIONS RESEARCH II,"['IE 3301', 'IE 3315', 'MATH 3319']",[None],required
IE 4318,ENTERPRISE DESIGN,[None],[None],required
IE 4322,SIMULATION OF COMPLEX SYSTEMS,"['IE 3314', 'IE 4315']",[None],required
IE 4323,AGENT-BASED MODELING AND SIMULATION,['IE 3301'],[None],required
IE 4325,AUTOMATION AND ROBOTICS FOR SERVICE AND MANUFACTURING SYSTEMS,['IE 4303'],[None],required
IE 4335,COGNITIVE SYSTEMS ENGINEERING,[None],[None],required
IE 4339,MANUFACTURING PROCESS & SYSTEM ANALYSIS,[None],[None],required
IE 4340,ENGINEERING PROJECT MANAGEMENT,[None],[None],required
IE 4343,FACILITIES PLANNING AND DESIGN,['IE 4303'],[None],required
IE 4344,HUMAN FACTORS ENGINEERING AND COMPLEX SYSTEMS,"['IE 3301', 'IE 2308', 'IE 3343']",[None],required
IE 4345,DECISION ANALYSIS IN SYSTEM DESIGN,[None],[None],required
IE 4349,INDUSTRIAL AUTOMATION,['IE 4325'],[None],required
IE 4350,INDUSTRIAL AND SYSTEMS ENGINEERING CAPSTONE DESIGN,[None],[None],required
IE 4351,SYSTEMS ENGINEERING,['IE 3351'],[None],required
IE 4378,INTRODUCTION TO UNMANNED VEHICLES SYSTEMS,[None],[None],required
IE 4379,UNMANNED VEHICLE SYSTEM DEVELOPMENT,['IE 4378'],[None],required
IE 4391,SPECIAL PROBLEMS IN INDUSTRIAL ENGINEERING,[None],[None],required
IE 5191,ADVANCED STUDIES IN INDUSTRIAL ENGINEERING,[None],[None],required
IE 5291,ADVANCED STUDIES IN INDUSTRIAL ENGINEERING,[None],[None],required
IE 5300,TOPICS IN INDUSTRIAL ENGINEERING,[None],[None],required
IE 5301,INTRODUCTION TO OPERATIONS RESEARCH,"['IE 3301', 'IE 5317', 'DASC 5302']",[None],required
IE 5302,INTRODUCTION TO INDUSTRIAL ENGINEERING,[None],[None],required
IE 5303,QUALITY SYSTEMS,"['IE 3301', 'IE 5317', 'DASC 5302']",[None],required
IE 5304,ADVANCED ENGINEERING ECONOMY,[None],[None],required
IE 5305,LINEAR OPTIMIZATION,"['IE 3315', 'IE 5301']",[None],required
IE 5306,DYNAMIC OPTIMIZATION,['IE 5301'],[None],required
IE 5307,QUEUEING THEORY,"['IE 3301', 'IE 5317']",[None],required
IE 5309,STOCHASTIC PROCESSES,"['IE 3301', 'IE 5317']",[None],required
IE 5310,PRODUCTION SYSTEMS DESIGN,"['IE 3301', 'IE 5317', 'IE 5301', 'IE 5329']",[None],required
IE 5311,DECISION ANALYSIS,['IE 5301'],[None],required
