Formal Name,Course Name,Prerequisites,Corequisites,Requirement
INSY 2303,INTRODUCTION TO M.I.S. AND DATA PROCESSING,[None],[None],required
INSY 3300,INTRODUCTION TO PROGRAMMING,['INSY 2303'],[None],required
INSY 3303,COMPUTER NETWORKS AND DISTRIBUTED COMPUTING,['INSY 2303'],[None],required
INSY 3304,DATABASE MANAGEMENT SYSTEMS,['INSY 3300'],[None],required
INSY 3305,INFORMATION SYSTEMS ANALYSIS AND DESIGN,"['INSY 3304', 'INSY 4305']",[None],required
INSY 3330,INTRODUCTION TO E-COMMERCE,['INSY 2303'],[None],required
INSY 4191,STUDIES IN INFORMATION SYSTEMS,[None],[None],required
INSY 4291,STUDIES IN INFORMATION SYSTEMS,[None],[None],required
INSY 4305,ADVANCED APPLICATION DEVELOPMENT,['INSY 3300'],[None],required
INSY 4306,ADVANCED SYSTEMS DEVELOPMENT,"['INSY 4305', 'INSY 3305']",[None],required
INSY 4307,CLOUD COMPUTING,['INSY 3300'],[None],required
INSY 4312,INTRODUCTION TO CYBERSECURITY,['INSY 3303'],[None],required
INSY 4313,BLOCKCHAIN TECHNOLOGY,[None],[None],required
INSY 4315,ADVANCED WEB DEVELOPMENT,['INSY 3300'],[None],required
INSY 4321,MOBILE APP DEVELOPMENT,['INSY 3300'],[None],required
INSY 4324,ENTERPRISE BUSINESS PROCESS DESIGN,[None],[None],required
INSY 4325,ENTERPRISE SYSTEMS MANAGEMENT,['INSY 3305'],[None],required
INSY 4331,SEMINAR IN INFORMATION SYSTEMS,[None],[None],required
INSY 4391,STUDIES IN INFORMATION SYSTEMS,[None],[None],required
INSY 4393,INFORMATION SYSTEMS INTERNSHIP,[None],[None],required
INSY 5182,INDEPENDENT STUDIES IN INFORMATION SYSTEMS,[None],[None],required
INSY 5199,GRADUATE INFORMATION SYSTEMS INTERNSHIP,[None],[None],required
INSY 5299,GRADUATE INFORMATION SYSTEMS INTERNSHIP,[None],[None],required
INSY 5303,MANAGEMENT OF INFORMATION TECHNOLOGIES,[None],[None],required
INSY 5309,OBJECT-ORIENTED BUSINESS PROGRAMMING,[None],[None],required
INSY 5335,APPLIED DATABASE MANAGEMENT,['INSY 5309'],[None],required
INSY 5336,PYTHON PROGRAMMING,[None],[None],required
INSY 5337,DATA WAREHOUSING AND BUSINESS INTELLIGENCE,['INSY 5335'],[None],required
INSY 5339,PRINCIPLES OF BUSINESS DATA MINING,['STAT 5325'],[None],required
INSY 5341,ANALYSIS AND DESIGN,['INSY 5335'],[None],required
INSY 5342,ADVANCED SYSTEMS DESIGN,['INSY 5341'],[None],required
INSY 5343,DATA COMMUNICATIONS AND NETWORKING,[None],[None],required
INSY 5344,BUILDING RESPONSIBLE AND ETHICAL AI APPLICATIONS,['INSY 5339'],[None],required
INSY 5345,CLOUD COMPUTING - THEORY AND PRACTICE,['INSY 5336'],[None],required
INSY 5346,BUSINESS INNOVATION THROUGH BLOCKCHAIN TECHNNOLOGY,[None],[None],required
INSY 5347,PRINCIPLES OF CYBER SECURITY,['INSY 5343'],[None],required
INSY 5348,AI AND ANALYTICS FOR MANAGERS,[None],[None],required
INSY 5350,HEALTH CARE INFORMATION SYSTEMS,[None],[None],required
INSY 5352,TOPICS IN OBJECT TECHNOLOGY,['INSY 5309'],[None],required
INSY 5355,MANAGING RISK IN INFORMATION SYSTEMS,['INSY 5347'],[None],required
INSY 5357,ENTERPRISE RESOURCE PLANNING,[None],[None],required
INSY 5360,COMPUTATIONAL TECHNIQUES FOR BUSINESS ANALYTICS,['STAT 5325'],[None],required
INSY 5373,INFORMATION SYSTEMS PROJECT MANAGEMENT,[None],[None],required
INSY 5375,MANAGEMENT OF THE DIGITAL ENTERPRISE,[None],[None],required
INSY 5376,BIG DATA ANALYTICS,['INSY 5378'],[None],required
INSY 5377,WEB AND SOCIAL ANALYTICS,['STAT 5325'],[None],required
INSY 5378,DATA SCIENCE: A PROGRAMMING APPROACH,"['INSY 5336', 'INSY 5339']",[None],required
INSY 5379,BUSINESS ANALYTICS CAPSTONE,['INSY 5378'],[None],required
INSY 5380,SOCIAL NETWORK ANALYSIS,['INSY 5336'],[None],required
INSY 5382,INDEPENDENT STUDIES IN INFORMATION SYSTEMS,[None],[None],required
INSY 5392,SELECTED TOPICS IN INFORMATION SYSTEMS,[None],[None],required
INSY 5398,THESIS,[None],[None],required
INSY 5399,GRADUATE INFORMATION SYSTEMS INTERNSHIP,[None],[None],required
INSY 5698,THESIS,[None],[None],required
INSY 6182,INDEPENDENT STUDY IN INFORMATION SYSTEMS,[None],[None],required
INSY 6301,SEMINAR IN RESEARCH FOUNDATIONS,[None],[None],required
INSY 6306,SEMINAR IN INFORMATION TECHNOLOGIES,['INSY 6301'],[None],required
INSY 6307,SEMINAR IN IS MANAGEMENT,['INSY 6301'],[None],required
INSY 6382,INDEPENDENT STUDIES IN INFORMATION SYSTEMS,[None],[None],required
INSY 6392,SELECTED TOPICS IN INFORMATION SYSTEMS,[None],[None],required
