Formal Name,Course Name,Prerequisites,Corequisites,Requirement
INTD 1101,ACADEMIC SUCCESS SKILLS INTERIOR DESIGN,[None],[None],required
INTD 1191,CONFERENCE COURSE,[None],[None],required
INTD 1342,DESIGN COMMUNICATION II,"['ARCH 1301', 'ARCH 1341']",[None],required
INTD 2343,DESIGN COMMUNICATION III,"['ARCH 2303', 'ARCH 2551', 'ARCH 2304']",[None],required
INTD 2391,TOPICS IN INTERIOR DESIGN,[None],[None],required
INTD 2552,DESIGN STUDIO: INTERIOR DESIGN I,"['ARCH 2303', 'ARCH 2551', 'ARCH 2304', 'INTD 2343']",[None],required
INTD 3305,HISTORY OF INTERIOR DESIGN,[None],[None],required
INTD 3321,MATERIALS AND RESOURCES,[None],[None],required
INTD 3322,MATERIALS AND TECHNOLOGY,[None],[None],required
INTD 3323,LIGHTING DESIGN,[None],[None],required
INTD 3338,BUILDING CODES AND REGULATIONS,['INTD 3553'],[None],required
INTD 3357,BUILDING INFORMATION MODELING & VISUALIZATION,['INTD 2343'],[None],required
INTD 3361,ENVIRONMENTAL DESIGN & SUSTAINABILITY,[None],[None],required
INTD 3553,DESIGN STUDIO: INTERIOR DESIGN II,"['INTD 3321', 'INTD 3323', 'INTD 3338']",[None],required
INTD 3554,DESIGN STUDIO: INTERIOR DESIGN III,"['INTD 3553', 'INTD 3357']",[None],required
INTD 4191,CONFERENCE COURSE,[None],[None],required
INTD 4195,SELECTED TOPICS IN INTERIOR DESIGN,[None],[None],required
INTD 4314,HISTORIC PRESERVATION AND RESTORATION,"['ARCH 2303', 'ARCH 2304']",[None],required
INTD 4332,PROFESSIONAL PRACTICE IN INTERIOR DESIGN,[None],[None],required
INTD 4344,DESIGN COMMUNICATION IV,"['INTD 4368', 'INTD 4556']",[None],required
INTD 4345,ARCHITECTURAL GRAPHICS,[None],[None],required
INTD 4365,IMMERSIVE ENVIRONMENTS,"['INTD 3553', 'INTD 3554']",[None],required
INTD 4366,HUMAN CENTERED DESIGN,[None],[None],required
INTD 4368,INTERIOR DETAILING,"['INTD 3553', 'INTD 3554']",[None],required
INTD 4369,FURNITURE DESIGN AND CONSTRUCTION,['INTD 3553'],[None],required
INTD 3555,Restricted to Interior Design majors but open to Architecture majors as an elective based on space availability. Minimum 2.8 GPAs both cumulative and within the major required. INTD 4391. CONFERENCE COURSE,[None],[None],required
INTD 4394,DESIGN RESEARCH METHODS AND APPLICATION,[None],[None],required
INTD 4395,SPECIAL TOPICS IN INTERIOR DESIGN,[None],[None],required
INTD 4493,INTERIOR DESIGN INTERNSHIP,"['INTD 3553', 'INTD 3554']",[None],required
INTD 4556,DESIGN STUDIO: INTERIOR DESIGN IV,"['INTD 3553', 'INTD 3554']",[None],required
INTD 4557,DESIGN STUDIO: INTERIOR DESIGN V,"['INTD 4368', 'INTD 4556']",[None],required
INTD 4591,CONFERENCE COURSE,['INTD 3553'],[None],required
INTD 3555,Senior standing in program. Restricted to Interior Design majors. INTD 4595. SELECTED TOPICS IN INTERIOR DESIGN,[None],[None],required
