Formal Name,Course Name,Prerequisites,Corequisites,Requirement
INTS 1310,INTRODUCTION TO POPULAR CULTURE,[None],[None],required
INTS 2301,ENVISIONING INTERDISCIPLINARITY,[None],[None],required
INTS 2388,SPECIAL TOPICS INTERDISCIPLINARY STUDIES,[None],[None],required
INTS 3320,INTERDISCIPLINARY THEORY,[None],[None],required
INTS 4388,SPECIAL TOPICS INTERDISCIPLINARY STUDIES,['INTS 2301'],[None],required
INTS 4391,INTERDISCIPLINARY STUDIES SENIOR SEMINAR,['INTS 2301'],[None],required
INTS 4392,INTERDISCIPLINARY STUDIES SERVICE LEARNING,['INTS 2301'],[None],required
INTS 4394,INTERDISCIPLINARY STUDIES SENIOR THESIS/PROJECT,['INTS 2301'],[None],required
INTS 4395,INTERDISCIPLINARY STUDIES INTERNSHIP,['INTS 2301'],[None],required
INTS 4396,INTERDISCIPLINARY STUDIES STUDY ABROAD,['INTS 2301'],[None],required
