Formal Name,Course Name,Prerequisites,Corequisites,Requirement
JOUR 2330,INTRODUCTION TO JOURNALISM,[None],[None],required
JOUR 2340,PHOTOJOURNALISM I,[None],[None],required
JOUR 2346,REPORTING,"['COMM 2311', 'JOUR 2330']",[None],required
JOUR 3330,DATA JOURNALISM,['JOUR 2346'],[None],required
JOUR 3341,PHOTOJOURNALISM II,['JOUR 2340'],[None],required
JOUR 3345,COPY EDITING,"['JOUR 2330', 'JOUR 2346']",[None],required
JOUR 3360,SPORTS REPORTING,"['JOUR 2340', 'JOUR 2346']",[None],required
JOUR 4325,SPECIALIZED REPORTING,"['JOUR 2346', 'COMM 3315']",[None],required
JOUR 4326,FEATURE AND OPINION WRITING,"['JOUR 2346', 'COMM 3315']",[None],required
JOUR 4341,DIGITAL STORYTELLING,['COMM 3315'],[None],required
JOUR 4346,PUBLIC AFFAIRS REPORTING,"['COMM 3315', 'JOUR 2346', 'JOUR 3330']",[None],required
JOUR 4391,CONFERENCE COURSE,[None],[None],required
JOUR 4393,SPECIAL TOPICS,['JOUR 2346'],[None],required
JOUR 4395,PROFESSIONAL INTERNSHIP,[None],[None],required
