Formal Name,Course Name,Prerequisites,Corequisites,Requirement
KINE 1100,LAB SKILLS IN KINESIOLOGY AND EXERCISE SCIENCE,['KINE 1300'],[None],required
KINE 1230,FIRST AID / CPR / AED TRAINING,[None],[None],required
KINE 1300,INTRODUCTION TO KINESIOLOGY AND EXERCISE SCIENCE,[None],[None],required
KINE 1315,INTRODUCTION TO PHYSICAL EDUCATION AND SPORT,[None],[None],required
KINE 1400,INTRODUCTION TO EXERCISE SCIENCE,[None],[None],required
KINE 1314,KINE 2130. ATHLETIC TRAINING CLINICAL PRACTICUM I,[None],[None],required
KINE 2230,INTRODUCTION TO MUSCULOSKELETAL INJURIES,[None],[None],required
KINE 2301,TEACHING GAMES FOR UNDERSTANDING,['KINE 1315'],[None],required
KINE 2302,DANCE AND MOVEMENT ACTIVITIES,['KINE 1315'],[None],required
KINE 2307,SPORTS AND SOCIETY,[None],[None],required
KINE 2330,CARE AND PREVENTION OF ATHLETIC INJURIES,[None],[None],required
KINE 2350,PUBLIC HEALTH: PRINCIPLES AND POPULATIONS,[None],[None],required
KINE 2351,HEALTH ISSUES IN DIVERSE & VULNERABLE POPULATIONS,[None],[None],required
KINE 2420,INTRODUCTION TO ATHLETIC TRAINING,[None],[None],required
KINE 2120,KINE 3130. ATHLETIC TRAINING CLINICAL PRACTICUM II,['BIOL 2457'],['KINE 3320'],required
KINE 3131,ATHLETIC TRAINING CLINICAL PRACTICUM III,['BIOL 2457'],['KINE 3324'],required
KINE 3300,FUNCTIONAL ANATOMY,"['KINE 1300', 'KINE 1100', 'BIOL 2457']",[None],required
KINE 3302,SPORT AND EXERCISE PSYCHOLOGY,[None],[None],required
KINE 3303,ORGANIZATIONAL PRINCIPLES OF EXERCISE AND SPORT ACTIVITIES,[None],[None],required
KINE 3304,ADAPTED PHYSICAL EDUCATION & SPORT,[None],[None],required
KINE 3306,MOTOR INTEGRATION,"['KINE 1315', 'KINE 1400']",[None],required
