Formal Name,Course Name,Prerequisites,Corequisites,Requirement
KORE 1441,BEGINNING KOREAN I,[None],[None],required
KORE 1442,BEGINNING KOREAN II,['KORE 1441'],[None],required
KORE 1491,CONFERENCE COURSE,[None],[None],required
KORE 2301,TOPICS IN LITERATURE IN TRANSLATION,"['ENGL 1301', 'ENGL 1302']",[None],required
KORE 2310,KOREAN CULTURE IN THE WORLD,[None],[None],required
KORE 2313,INTERMEDIATE KOREAN I,['KORE 1442'],[None],required
KORE 2314,INTERMEDIATE KOREAN II,['KORE 2313'],[None],required
KORE 2391,CONFERENCE COURSE,[None],[None],required
KORE 3301,TOPICS IN KOREAN LITERATURE AND CULTURE IN TRANSLATION,[None],[None],required
KORE 3303,KOREAN CONVERSATION AND CULTURE I,['KORE 2314'],[None],required
KORE 3304,KOREAN CONVERSATION AND CULTURE II,['KORE 2314'],[None],required
KORE 3305,KOREAN READING AND COMPOSITION,['KORE 2314'],[None],required
KORE 3310,KOREAN LOCALIZATION AND TRANSLATION I,['KORE 2314'],[None],required
KORE 3311,KOREAN LOCALIZATION AND TRANSLATION II,['KORE 3310'],[None],required
KORE 3345,INTRODUCTION TO COMPUTER-ASSISTED TRANSLATION,[None],[None],required
KORE 3391,CONFERENCE COURSE,[None],[None],required
KORE 3393,KOREAN INTERNSHIP,[None],[None],required
KORE 4321,TOPICS IN KOREAN LINGUISTICS,['KORE 1442'],[None],required
KORE 4331,TOPICS IN KOREAN CULTURE AND CIVILIZATION,[None],[None],required
KORE 4332,CONTEMPORARY KOREAN CULTURE,[None],[None],required
KORE 4334,THE CULTURE OF BUSINESS,['KORE 2314'],[None],required
KORE 4335,BUSINESS KOREAN,['KORE 2314'],[None],required
KORE 4391,CONFERENCE COURSE,[None],[None],required
KORE 4393,KOREAN INTERNSHIP,['KORE 3000'],[None],required
