Formal Name,Course Name,Prerequisites,Corequisites,Requirement
LAPS 5310,LEARNING ANALYTICS FUNDAMENTALS,[None],[None],required
LAPS 5320,EXPERIMENTAL DESIGN & METHODOLOGY,[None],[None],required
LAPS 5330,PSYCHOLOGY OF LEARNING & LEARNING SCIENCES,[None],[None],required
LAPS 5340,BIG DATA METHODS,[None],[None],required
LAPS 5350,PRIVACY & ETHICS IN LEARNING ANALYTICS,[None],[None],required
LAPS 5360,INTRODUCTION TO DATA ANALYSIS AND R,[None],[None],required
LAPS 5370,INTRODUCTION TO STATISTICAL ANALYSIS,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5375,PROBABILITY AND STATISTICAL INFERENCE,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5376,APPLIED REGRESSION ANALYSIS,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5377,LINEAR MODELS AND EXPERIMENTAL DESIGN,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5378,MULTIDIMENSIONAL SCALING AND CLUSTERING,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5380,CAUSAL INFERENCE FOR PROGRAM EVALUATION,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5388,ADVANCED METHODS IN EDUCATIONAL DATA MANAGEMENT/LEARNING ANALYTICS,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5390,LEARNING DESIGN AND ANALYTICS,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5391,INDEPENDENT STUDY,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5392,"COGNITION, COMPUTERS, AND METACOGNITION","['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5393,NATURAL LANGUAGE PROCESSING FOR EDUCATIONAL RESEARCH,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5394,SOCIAL NETWORK ANALYSIS,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5395,HUMAN AND ARTIFICIAL COGNITION,"['LAPS 5310', 'LAPS 5320', 'LAPS 5330', 'LAPS 5340']",[None],required
LAPS 5610,CAPSTONE,[None],[None],required
