Formal Name,Course Name,Prerequisites,Corequisites,Requirement
LARC 4191,CONFERENCE COURSE,[None],[None],required
LARC 4300,INTRODUCTION TO LANDSCAPE ARCHITECTURE,[None],[None],required
LARC 4301,SITE PLANNING AND DEVELOPMENT PROCESSES,"['UDES 2441', 'ARCH 2551']",[None],required
LARC 4312,HISTORY AND THEORY OF LANDSCAPE ARCHITECTURE I,"['UDES 2303', 'LARC 4300', 'ARCH 2304']",[None],required
LARC 4313,HISTORY AND THEORY OF LANDSCAPE ARCHITECTURE II,['ARCH 4353'],[None],required
LARC 4320,COMMUNICATIONS FOR LANDSCAPE ARCHITECTS,"['UDES 2441', 'ARCH 2551']",[None],required
LARC 4324,ENVIRONMENTAL ART AND DATA VISUALIZATION,"['UDES 3551', 'ARCH 2551']",[None],required
LARC 4325,URBAN SKETCHING,"['UDES 2441', 'ARCH 1342']",[None],required
LARC 4326,DESIGN AND HUMAN BEHAVIOR,"['UDES 2441', 'ARCH 2551']",[None],required
LARC 4327,"REGIONALISM, CREATIVITY, AND DESIGN","['UDES 2441', 'ARCH 2551']",[None],required
LARC 4330,PLANT IDENTIFICATION AND ECOLOGY,"['UDES 4551', 'ARCH 3554']",[None],required
LARC 4341,LANDSCAPE TECHNOLOGY I,"['UDES 4551', 'ARCH 3554']",[None],required
LARC 4344,PARK AND RECREATION DESIGN AND PLANNING,"['UDES 4551', 'ARCH 3554']",[None],required
LARC 4350,LANDSCAPE ARCHITECTURE COMPUTER APPLICATIONS,"['UDES 2441', 'ARCH 2551']",[None],required
LARC 4351,ADVANCED COMPUTER AIDED DESIGN,"['LARC 4350', 'ARCH 3343', 'INTD 2343']",[None],required
LARC 4382,URBAN DESIGN SEMINAR,"['UDES 4551', 'ARCH 3554']",[None],required
LARC 4391,CONFERENCE COURSE IN LANDSCAPE ARCHITECTURE,[None],[None],required
LARC 4395,SELECTED TOPICS IN LANDSCAPE ARCHITECTURE,[None],[None],required
LARC 4695,CONFERENCE COURSE IN LANDSCAPE ARCHITECTURE,[None],[None],required
LARC 5191,CONFERENCE COURSE IN LANDSCAPE ARCHITECTURE,[None],[None],required
LARC 5294,MASTERS COMPREHENSIVE EXAMINATION,['LARC 5397'],[None],required
LARC 5300,INTRODUCTION TO LANDSCAPE ARCHITECTURE,[None],[None],required
LARC 5301,SITE PLANNING AND DEVELOPMENT PROCESSES,[None],[None],required
LARC 5302,LAND DEVELOPMENT PLANNING,[None],[None],required
LARC 5312,HISTORY AND THEORY OF LANDSCAPE ARCHITECTURE,[None],[None],required
LARC 5313,HISTORY AND THEORY OF LANDSCAPE ARCHITECTURE II,['LARC 5312'],[None],required
LARC 5320,COMMUNICATIONS FOR LANDSCAPE ARCHITECTS,['LARC 5661'],[None],required
LARC 5321,ADVANCED COMMUNICATIONS,['LARC 5320'],[None],required
LARC 5323,STUDIO TEACHING,[None],[None],required
LARC 5324,LANDSCAPE ARCHITECTURE AND ENVIRONMENTAL ART SEMINAR,[None],[None],required
LARC 5325,URBAN SKETCHING,[None],[None],required
LARC 5326,DESIGN AND HUMAN BEHAVIOR,[None],[None],required
LARC 5327,"REGIONALISM, CREATIVITY, AND DESIGN",[None],[None],required
LARC 5330,PLANT IDENTIFICATION AND ECOLOGY,[None],[None],required
LARC 5331,PLANTING DESIGN,"['LARC 5330', 'LARC 5661', 'LARC 5662']",[None],required
LARC 5340,PROFESSIONAL PRACTICE,[None],[None],required
LARC 5341,LANDSCAPE TECHNOLOGY I,[None],[None],required
LARC 5342,LANDSCAPE TECHNOLOGY II,['LARC 5341'],[None],required
LARC 5344,PARK AND RECREATION DESIGN AND PLANNING,[None],[None],required
LARC 5350,LANDSCAPE ARCHITECTURE COMPUTER APPLICATIONS,['LARC 5320'],[None],required
LARC 5351,ADVANCED COMPUTER AIDED DESIGN,['LARC 5350'],[None],required
LARC 5368,DESIGN PRACTICUM,[None],[None],required
LARC 5380,RESEARCH METHODS IN LANDSCAPE ARCHITECTURE,"['LARC 5661', 'LARC 5662']",[None],required
LARC 5382,URBAN DESIGN SEMINAR,[None],[None],required
LARC 5391,CONFERENCE COURSE IN LANDSCAPE ARCHITECTURE,[None],[None],required
LARC 5395,SELECTED TOPICS IN LANDSCAPE ARCHITECTURE,[None],[None],required
LARC 5397,THESIS PREP,['LARC 5380'],[None],required
LARC 5398,THESIS,['LARC 5397'],[None],required
LARC 5623,STUDIO TEACHING PRACTICUM,['LARC 5323'],[None],required
LARC 5660,ENRICHMENT DESIGN STUDIO,"['LARC 5661', 'LARC 5662']",[None],required
LARC 5661,DESIGN STUDIO I,[None],[None],required
LARC 5662,DESIGN STUDIO II,[None],[None],required
LARC 5663,DESIGN STUDIO III: SITE PLANNING,[None],[None],required
LARC 5664,DESIGN STUDIO IV: ENVIRONMENTAL PLANNING,"['LARC 5341', 'LARC 5661', 'LARC 5662', 'LARC 5663']",[None],required
LARC 5665,DESIGN STUDIO V: THE URBAN LANDSCAPE,"['LARC 5341', 'LARC 5342', 'LARC 5661', 'LARC 5662', 'LARC 5663', 'LARC 5664']",[None],required
LARC 5668,DESIGN PRACTICUM,[None],[None],required
LARC 5691,CONFERENCE COURSE IN LANDSCAPE ARCHITECTURE,[None],[None],required
LARC 5693,MASTERS DESIGN THESIS,['LARC 5397'],[None],required
LARC 5698,THESIS,['LARC 5397'],[None],required
LARC 5998,THESIS,['LARC 5397'],[None],required
