Formal Name,Course Name,Prerequisites,Corequisites,Requirement
LING 2301,INTRODUCTION TO THE STUDY OF HUMAN LANGUAGE,[None],[None],required
LING 2321,CONSTRUCTED LANGUAGES,[None],[None],required
LING 2351,LANGUAGE AND TECHNOLOGY,[None],[None],required
LING 2371,LANGUAGE IN A MULTICULTURAL USA,[None],[None],required
LING 2391,CONFERENCE COURSE IN LINGUISTICS,[None],[None],required
LING 3301,TOPICS IN LINGUISTICS,[None],[None],required
LING 3309,LINGUISTICS FOR LANGUAGE TEACHERS,[None],[None],required
LING 3311,PRINCIPLES OF LINGUISTIC ANALYSIS,[None],[None],required
LING 3330,PHONETICS AND PHONOLOGY,['LING 3311'],[None],required
LING 3340,SYNTAX I,['LING 3311'],[None],required
LING 3345,CRITICAL REASONING IN LINGUISTICS,"['LING 3311', 'PHIL 1301']",[None],required
LING 3350,LEXICAL SEMANTICS,['LING 3311'],[None],required
LING 3360,LANGUAGE ACQUISITION,['LING 3311'],[None],required
LING 3366,TOPICS IN RACE/ETHNICITY AND LANGUAGE IN THE U.S.,[None],[None],required
LING 3370,PSYCHOLOGY OF LANGUAGE,['LING 3311'],[None],required
LING 3391,CONFERENCE COURSE IN LINGUISTICS,[None],[None],required
LING 4301,PHONOLOGICAL THEORY I,['LING 3330'],[None],required
LING 4303,SYNTAX II,['LING 3340'],[None],required
LING 4317,SOCIOLINGUISTICS,['LING 3311'],[None],required
LING 4318,LANGUAGE AND GENDER,['LING 3311'],[None],required
LING 4320,HISTORICAL AND COMPARATIVE LINGUISTICS,['LING 3311'],[None],required
LING 4325,SLA THEORIES AND THE TEACHING OF LANGUAGE,['LING 3309'],[None],required
LING 4326,BILINGUALISM,['LING 3311'],[None],required
LING 4327,SECOND LANGUAGE ACQUISITION,"['LING 2301', 'LING 2371', 'LING 3309', 'LING 3311']",[None],required
LING 4328,PSYCHOLINGUISTICS,['LING 3370'],[None],required
LING 4330,CORPUS LINGUISTICS,['LING 3311'],[None],required
LING 4334,MORPHOLOGY,['LING 4301'],[None],required
LING 4335,LANGUAGE UNIVERSALS & LINGUISTIC TYPOLOGY,['LING 4301'],[None],required
LING 4345,FORMAL SEMANTICS,['LING 3311'],[None],required
LING 4347,PRAGMATICS,[None],[None],required
LING 4353,TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE,[None],[None],required
LING 4354,METHODS AND MATERIALS TO TEACH ENGLISH AS A SECOND OR FOREIGN LANGUAGE,"['LING 2301', 'LING 4353']",[None],required
LING 4360,NON-WESTERN LINGUISTIC STRUCTURES,"['LING 3330', 'LING 3340']",[None],required
LING 4362,LANGUAGE DOCUMENTATION,['LING 3311'],[None],required
LING 4363,LANGUAGE ENDANGERMENT AND REVITALIZATION,['LING 3311'],[None],required
LING 4370,HISTORY OF LINGUISTICS,"['LING 3330', 'LING 3340', 'LING 4301']",[None],required
LING 4389,TOPICS IN LINGUISTICS,"['LING 3330', 'LING 3340', 'LING 4317']",[None],required
LING 4391,CONFERENCE COURSE IN LINGUISTICS,"['LING 3311', 'LING 3330', 'LING 3340']",[None],required
LING 4393,INTERNSHIP IN LINGUISTICS,['LING 3311'],[None],required
LING 4394,LING 4394 HONORS THESIS/SENIOR PROJECT,[None],[None],required
LING 4395,INTERNSHIP IN TESOL,"['LING 4353', 'LING 4354']",[None],required
LING 5100,THESIS WRITING SEMINAR,[None],[None],required
LING 5110,TESOL PRACTICUM,[None],[None],required
LING 5190,CONFERENCE COURSE IN LINGUISTICS,[None],[None],required
LING 5300,LINGUISTIC ANALYSIS,[None],[None],required
LING 5301,INTRO TO COMMUNICATIVE LANGUAGE TEACHING,[None],[None],required
LING 5302,METHODS IN TEACHING READING AND WRITING,[None],[None],required
LING 5303,ERROR ANALYSIS IN THE TEACHING OF ENGLISH AS A SECOND OR FOREIGN LANGUAGE,['LING 5300'],[None],required
LING 5304,PEDAGOGICAL GRAMMAR OF ENGLISH,"['LING 5300', 'LING 5301']",[None],required
LING 5305,SECOND LANGUAGE ACQUISITION,['LING 5300'],[None],required
LING 5306,TESOL CURRICULUM DESIGN,['LING 5301'],[None],required
LING 5307,PEDAGOGICAL PHONOLOGY OF ENGLISH,"['LING 5300', 'LING 5301']",[None],required
LING 5308,LANGUAGE ASSESSMENT,"['LING 5301', 'LING 5302']",[None],required
LING 5309,LINGUISTICS FOR LANGUAGE PROFESSIONALS,[None],[None],required
LING 5310,SOCIOLINGUISTICS,[None],[None],required
LING 5311,SOCIOLINGUISTICS OF SOCIETY,['LING 5310'],[None],required
LING 5312,LANGUAGE AND GENDER,['LING 5310'],[None],required
LING 5313,TOPICS IN SOCIOLINGUISTICS,['LING 5310'],[None],required
LING 5314,HISTORICAL AND COMPARATIVE LINGUISTICS,['LING 3330'],[None],required
LING 5315,READINGS AND RESEARCH IN PEDAGOGY AND PRACTICE,['LING 5301'],[None],required
LING 5316,TEACHING WITH TECHNOLOGY,[None],[None],required
LING 5318,APPLIED PSYCHOLINGUISTICS,['LING 5300'],[None],required
LING 5319,PHONETICS AND PHONOLOGY,[None],[None],required
LING 5320,PHONOLOGICAL THEORY,[None],[None],required
LING 5321,ADVANCED PHONOLOGICAL THEORY,['LING 5320'],[None],required
LING 5322,LABORATORY PHONOLOGY,['LING 5320'],[None],required
LING 5325,SLA AND CLASSROOM PRACTICE,[None],[None],required
LING 5326,BILINGUALISM,['LING 5300'],[None],required
LING 5328,PSYCHOLINGUISTICS: SENTENCE PROCESSING,['LING 5300'],[None],required
LING 5329,SYNTAX,[None],[None],required
LING 5330,FORMAL SYNTAX,[None],[None],required
LING 5331,ADVANCED FORMAL SYNTAX,['LING 5330'],[None],required
LING 5334,MORPHOLOGY,['LING 5320'],[None],required
LING 5335,LANGUAGE UNIVERSALS AND LINGUISTIC TYPOLOGY,['LING 5330'],[None],required
LING 5338,PSYCHOLINGUISTICS: VISUAL WORD RECOGNITION,['LING 5300'],[None],required
LING 5345,SEMANTICS,['LING 3340'],[None],required
LING 5346,TOPICS IN APPLIED LINGUISTICS,[None],[None],required
LING 5347,PRAGMATICS,[None],[None],required
LING 5350,TEXT ANALYSIS,['LING 3340'],[None],required
LING 5353,TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE,[None],[None],required
LING 5354,METHODS AND MATERIALS TO TEACH ENGLISH AS A SECOND OR FOREIGN LANGUAGE,[None],[None],required
LING 5360,NON-WESTERN LINGUISTIC STRUCTURES,"['LING 3330', 'LING 3340']",[None],required
LING 5361,READINGS IN NON-WESTERN LINGUISTIC STRUCTURES,[None],[None],required
LING 5362,LANGUAGE DOCUMENTATION,['LING 5300'],[None],required
LING 5363,LANGUAGE ENDANGERMENT AND REVITALIZATION,['LING 5300'],[None],required
LING 5370,HISTORY OF LINGUISTICS,['LING 5320'],[None],required
