Formal Name,Course Name,Prerequisites,Corequisites,Requirement
LIST 4326,SECONDARY READING,[None],[None],required
LIST 4343,CONTENT AREA READING AND WRITING,[None],[None],required
LIST 4373,LITERACY LEARNING FOR EC-6 STUDENTS: READING AND WRITING,[None],[None],required
LIST 4374,LITERACY LEARNING FOR EC-6 STUDENTS: LITERATURE AND LANGUAGE,[None],[None],required
LIST 4376,ASSESSMENT IN LITERACY LEARNING,[None],[None],required
LIST 4378,"TEACHING READING, WRITING, AND LITERATURE IN THE MIDDLE LEVEL GRADES",[None],[None],required
LIST 4390,SELECTED TOPICS IN LITERACY,[None],[None],required
LIST 4391,CONFERENCE COURSE,[None],[None],required
LIST 5315,LITERACY THEORY TO PRACTICE,[None],[None],required
LIST 5316,LITERACY THEORY TO PRACTICE - PRACTICUM I,[None],[None],required
LIST 5317,LITERACY LEADERSHIP AND COACHING: PRACTICUM III,[None],[None],required
LIST 5325,UNDERSTANDING LITERACY RESEARCH,[None],[None],required
LIST 5326,PRE-ADOLECENT & ADOLESCENT LITERACY,[None],[None],required
LIST 5345,CONTENT AREA READING AND WRITING,[None],[None],required
LIST 5346,TEACHING THE WRITING PROCESS,[None],[None],required
LIST 5350,LITERACY ASSESSMENT,[None],[None],required
LIST 5353,LITERATURE FOR CHILDREN AND YOUNG ADULTS,[None],[None],required
LIST 5354,MULTICULTURAL LITERATURE FOR CHILDREN AND YOUNG ADULTS,[None],[None],required
LIST 5361,EDUCATIONAL PERSPECTIVES IN LANGUAGE AND LITERACY LEARNING-PRACTICUM II,[None],[None],required
LIST 5362,LITERACY INSTRUCTION IN ESL/BILINGUAL SETTINGS,[None],[None],required
LIST 5373,FOUNDATIONS OF LITERACY LEARNING IN EC-6 CLASSROOMS,[None],[None],required
LIST 5381,NATIONAL WRITING PROJECT PART I,[None],[None],required
LIST 5382,NATIONAL WRITING PROJECT PART II,[None],[None],required
LIST 5383,WRITING FOR PROFESSIONAL PUBLICATION,['LIST 5385'],[None],required
LIST 5384,ADVANCED PEDAGOGY OF WRITING,"['LIST 5346', 'LIST 5381', 'LIST 5382']",[None],required
LIST 5385,DESIGNING LITERACY RESEARCH,['LIST 5325'],[None],required
LIST 5390,SELECTED TOPICS IN READING,[None],[None],required
LIST 5391,INDEPENDENT RESEARCH IN READING,[None],[None],required
